Special Price Time Countdown,Special Price Time Countdown
Enable Special Price Time Countdown Extension,Enable Special Price Time Countdown Extension
Enable,Enable
Sale Content,Sale Content
Enable Sale Message,Enable Sale Message
Text of Sale Message,Text of Sale Message
Color of Sale Message,Color of Sale Message
Font Size of Sale Message,Font Size of Sale Message
Enable Sale Percent,Enable Sale Percent
Text of Sale Percent,Text of Sale Percent
Color of Sale Percent,Color of Sale Percent
Font Size of Sale Percent,Font Size of Sale Percent
Enable Start Time Countdown,Enable Start Time Countdown
Display X Days Before,Display X Days Before
Display on Catalog Page,Display on Catalog Page
Time Countdown Style,Time Countdown Style
Use Time Countdown Message,Use Time Countdown Message
Time Countdown Message,Time Countdown Message
Color of Message,Color of Message
Font Size of Message,Font Size of Message
Display on Product Page,Display on Product Page
End Time Countdown,End Time Countdown
Search Engine Optimization,Search Engine Optimization
Page Title,Page Title
URL Key,URL Key
Meta Title,Meta Title
Meta Keyword,Meta Keyword
Meta Description,Meta Description
Enable Start Time Countdown,Enable Start Time Countdown
Enable End Time Countdown,Enable End Time Countdown
BSS Time Countdown (Countdown Clock),BSS Time Countdown (Countdown Clock)
Enable Widget,Enable Widget
To date,To date
BSS Time Countdown (End Time - On Sale Product List),BSS Time Countdown (End Time - On Sale Product List)
Title,Title
Show Product Slider,Show Product Slider
Number of Products Per Slide,Number of Products Per Slide
Auto Slide Time (seconds),Auto Slide Time (seconds)
Display Page Control,Display Page Control
Number of Products Per Page,Number of Products Per Page
Number of Products to Display,Number of Products to Display
BSS Time Countdown (Start Time - Upcoming Sale Product List),BSS Time Countdown (Start Time - Upcoming Sale Product List)