"Affiliate Banners","Affiliate Banner"
"My Credit","Mein Kredit"
"Available Balance","Verfügbares Guthaben"
"Holding Balance","Holding Gleichgewicht"
"Total Earned","insgesamt verdient"
"Total Paid","Ganz bezahlt"
"Refer friends","Freunde befreien"
"Affiliate Setting","Affiliate Einstellung"
"Signup Affiliate","Registrieren Affiliate"
"My Withdrawal","Mein Rückzug"
"You can request withdraw when your balance equal or greater than %1","Sie können anfordern, wenn Ihr Guthaben gleich oder größer als %1 ist"
"You can withdraw a minimum %1","Sie können ein Minimum %1 zurückziehen"
"You can withdraw a maximum %1","Sie können maximal %1 abheben"
"Save Account","Konto speichern"
"Cancel","Stornieren"
"New Account","Neues Konto"
"Please select a customer","Bitte wählen Sie einen Kunden aus"
"Account Information","Kontoinformationen"
"Customer","Kunde"
"Affiliate Group","Affiliate Group"
"Referred By","Bezug auf"
"Affiliate account Id","Affiliate-Konto-ID"
"Status","Status"
"Email Notification","Email Benachrichtigung"
"Account","Konto"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Edit Account '%1'","Konto bearbeiten '%1'"
"Balance","Balance"
"Referral Code","Referenzcode"
"Save Banner","Banner speichern"
"Edit Banner ""%1""","Banner bearbeiten ""%1"""
"New Banner","Neues Banner"
"Banner Information","Bannerinformationen"
"Title","Titel"
"Content","Inhalt"
"Url","Url"
"If empty, home page will be used.","Wenn leer, wird die Homepage verwendet."
"Related Campaign","Ähnliche Kampagne"
"Only affiliates who are in above campaign can see this banner.","Nur Mitgliedsorganisationen, die sich in der Kampagne befinden, können diesen Banner sehen."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Setzen Sie das Attribut rel = ""nofollow"" auf den Link."
"Save Campaign","Kampagne speichern"
"Edit Campaign ""%1""","Kampagne bearbeiten ""%1"""
"New Campaign","Neue Kampagne"
"Campaign Information","Kampagneninformationen"
"Name","Name"
"Description","Beschreibung"
"Website IDs","Website-IDs"
"Affiliate Groups","Affiliate-Gruppen"
"Display","Anzeigen"
"Active From Date","Aktiv ab Datum"
"Active To Date","Aktiv bis Datum"
"Sort Order","Sortierreihenfolge"
"Pay Per Sale","Bezahlung per Verkauf"
"Add Commission Type and Value","Hinzufügen von Kommissionsart und -wert"
"Commissions","Kommissionen"
"Percentage of grand total","Prozentsatz der Gesamtsumme"
"Fixed amount","Fester Betrag"
"Apply the rule only if the following conditions are met (leave blank for all products)","Wenden Sie die Regel nur an, wenn die folgenden Bedingungen erfüllt sind (Leerzeichen für alle Produkte)"
"Condition","Bedingung"
"Conditions","Bedingungen"
"Discounts","Ermäßigungen"
"Discount","Rabatt"
"Apply","Sich bewerben"
"Discount Amount","Rabattbetrag"
"Apply to Shipping Amount","Auf Versandmenge anwenden"
"Discount Description","Rabatt Beschreibung"
"Save Group","Gruppe speichern"
"New Group","Neue Gruppe"
"Group Information","Gruppeninformationen"
"Group","Gruppe"
"label","Etikette"
"Reset banner traffic","Bannerverkehr zurücksetzen"
"Save Transaction","Sichern Sie die Transaktion"
"New Transaction","Neue Transaktion"
"Please select an affiliate account","Bitte wählen Sie ein Affiliate-Konto"
"Transaction Information","Transaktionsinformationen"
"Amount","Menge"
"Add or subtract affiliate's balance. E.g: 99 or -99","Addieren oder subtrahieren Sie das Gleichgewicht der Teilnehmer. ZB: 99 oder -99"
"Holding Transaction For","Holding-Transaktion für"
"Transaction","Transaktion"
"Are you sure you want to cancel this transaction?","Sind Sie sicher, dass Sie diese Transaktion abbrechen möchten?"
"Are you sure you want to complete this transaction?","Sind Sie sicher, dass Sie diese Transaktion abschließen möchten?"
"Complete","Komplett"
"View Transaction '%1'","Transaktion anzeigen '%1'"
"Affiliate Account","Affiliate-Konto"
"Type","Art"
"Order","Auftrag"
"Created by","Erstellt von"
"This transaction will be holed to","Diese Transaktion wird gehänselt"
"Created Time","Erstellt Zeit"
"Save and Approve","Speichern und Genehmigen"
"Save","sparen"
"New Withdraw","Neu zurückziehen"
"Withdraw Information","Informationen zurückziehen"
"Include fee.","Inklusive Gebühr."
"Fee","Gebühr"
"If empty, configuration value will be used.","Wenn leer, wird der Konfigurationswert verwendet."
"Payment Method","Bezahlverfahren"
"Payment Detail","Zahlungsdetails"
"Withdraw","Abheben"
"Edit Withdraw '%1'","Bearbeiten Withdraw '%1'"
"Transfer Amount","Überweisungsbetrag"
"Real amount will be transfer to affiliate.","Echter Betrag wird Transfer zu Affiliate."
"Affiliate Discount","Affiliate-Rabatt"
"Please input your friends email address.","Bitte geben Sie Ihre E-Mail-Adresse ein."
"Saved successfully!","Erfolgreich gespeichert!"
"Something went wrong while saving the Account.","Etwas schief gegangen beim Speichern des Kontos."
"Your account is not active. Please contact us.","Ihr Konto ist nicht aktiv. Bitte kontaktieren Sie uns."
"You have to agree with term and conditions.","Sie müssen mit den Bedingungen und Bedingungen einverstanden sein."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Glückwünsche! Sie haben sich erfolgreich registriert. Wir werden Ihr Affiliate-Konto überprüfen und informieren Sie es, sobald es genehmigt ist!"
"Congratulations! You have successfully registered.","Glückwünsche! Sie haben sich erfolgreich registriert."
"The withdraw has been canceled successfully.","Der Rücktritt wurde erfolgreich abgebrochen."
"Something went wrong while saving the request.","Etwas ging falsch beim Speichern der Anfrage."
"Cannot find item.","Artikel kann nicht gefunden werden."
"An error occur. Please contact us.","Ein Fehler tritt auf. Bitte kontaktieren Sie uns."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Ihre Anfrage wurde erfolgreich gesendet. Wir werden Ihre Anfrage überprüfen und informieren, sobald es genehmigt ist!"
"Your balance is not enough for request withdraw.","Ihr Gleichgewicht reicht nicht aus."
"The withdraw amount have to equal or greater than %1","Der Abhebungsbetrag muss gleich oder größer als %1 sein"
"The withdraw amount have to equal or less than %1","Der Rückzahlungsbetrag muss gleich oder kleiner als %1 sein"
"This account no longer exists.","Dieses Konto existiert nicht mehr."
"The Account has been deleted.","Das Konto wurde gelöscht."
"Account to delete was not found.","Konto zum Löschen wurde nicht gefunden."
"Accounts","Konten"
"Edit Account ""%1""","Konto bearbeiten ""%1"""
"A total of %1 record(s) have been deleted.","Insgesamt wurden %1 Datensätze gelöscht."
"The customer ""%1"" has registed as an affiliate already.","Der Kunde ""%1"" hat sich bereits als Affiliate angemeldet."
"Cannot find account referred.","Kann kein Konto gefunden werden."
"The Account has been created successfully.","Das Konto wurde erfolgreich erstellt."
"The Account has been saved successfully.","Das Konto wurde erfolgreich gespeichert."
"The Banner has been deleted.","Das Banner wurde gelöscht."
"Something went wrong while deleting banner data. Please review the action log and try again.","Etwas ging beim Löschen von Banner-Daten schief. Bitte überprüfen Sie das Aktionslog und versuchen Sie es erneut."
"We cannot find a banner to delete.","Wir können kein Banner zum Löschen finden."
"This banner no longer exists.","Dieser Banner existiert nicht mehr."
"Banners","Banner"
"Edit Banner","Banner bearbeiten"
"This banner does not exist.","Dieses Banner existiert nicht."
"You saved the banner.","Du hast das Banner gespeichert."
"We cannot save the banner.","Wir können das Banner nicht retten."
"This campaign no longer exists.","Diese Kampagne existiert nicht mehr."
"The Campaign has been deleted.","Die Kampagne wurde gelöscht."
"Campaign to delete was not found.","Kampagne zum Löschen wurde nicht gefunden."
"Campaigns","Kampagnen"
"Please correct the data sent.","Bitte korrigieren Sie die gesendeten Daten."
"Something went wrong while saving the Campaign.","Etwas ging beim Speichern der Kampagne schief."
"The Campaign has been saved successfully.","Die Kampagne wurde erfolgreich gespeichert."
"Tier","Tier"
"Groups","Gruppen"
"Something went wrong while saving the Group.","Etwas schief gegangen beim Speichern der Gruppe."
"Cannot remove this group","Diese Gruppe kann nicht entfernt werden"
"The Group has been created successfully.","Die Gruppe wurde erfolgreich erstellt."
"The Transaction has been canceled.","Die Transaktion wurde storniert."
"The Transaction has been completed.","Die Transaktion wurde abgeschlossen."
"Transactions","Transaktionen"
"View Transaction ""%1""","Transaktion ansehen ""%1"""
"This Transaction no longer exists.","Diese Transaktion existiert nicht mehr."
"A total of %1 record(s) have been canceled.","Insgesamt wurden %1 Datensätze abgebrochen."
"A total of %1 record(s) have been completed.","Insgesamt wurden %1 Datensätze abgeschlossen."
"Account balance is not enough to create this transaction.","Kontostand ist nicht genug, um diese Transaktion zu erstellen."
"The Transaction has been created.","Die Transaktion wurde erstellt."
"Something went wrong while saving the Transaction.","Etwas ging beim Speichern der Transaktion schief."
"This withdrawal no longer exists.","Dieser Rückzug besteht nicht mehr."
"Withdraws","Zieht sich zurück"
"Edit Withdraw ""%1""","Bearbeiten mit ""%1"""
"Edit Withdraw ""#%1""","Bearbeiten Abheben ""# %1"""
"A total of %1 record(s) have been approved successfully.","Insgesamt wurden %1 Datensätze erfolgreich vergeben."
"A total of %1 record(s) have been cancelled.","Insgesamt wurden %1 Datensätze abgebrochen."
"The Withdraw has been saved.","Der Rücktritt wurde gespeichert."
"Something went wrong while saving the Withdraw.","Etwas ging falsch beim Speichern des Rückzugs."
"My Affiliate","Mein Partner"
"My Credit (%1)","Mein Kredit (%1)"
"Active","Aktiv"
"Inactive","Inaktiv"
"Need Approved","Notwendigkeit genehmigt"
"Enabled","Aktiviert"
"Disabled","Behindert"
"Percent of cart total","Prozent des Wagens insgesamt"
"Fixed amount discount for whole cart","Fester Betrag Rabatt für den ganzen Wagen"
"Allow Guest","Erlauben Gast"
"Affiliate Member Only","Affiliate-Mitglied nur"
"-- Please Select --","-- Bitte auswählen --"
"Category page","Kategorie-Seite"
"Product page","Produktseite"
"Footer Link","Footer Link"
"Top Link","Top Link"
"Affiliate ID","Affiliate ID"
"Affiliate Code","Affiliate-Code"
"Hash","Hash"
"Parameter","Parameter"
"Address","Adresse"
"Paypal Email","Paypal Email"
"Transaction Id","Transaktions-ID"
"Affiliate Campaign","Affiliate-Kampagne"
"Campaign %1","Kampagne %1"
"Affiliate account must be existed.","Affiliate-Account muss vorhanden sein."
"Transaction amount cannot be zero.","Der Transaktionsbetrag kann nicht Null sein."
"Account balance has been reached the limit. Please contact to store owner.","Kontostand wurde erreicht. Bitte kontaktieren Sie den Besitzer."
"Invalid transaction data for canceling.","Ungültige Transaktionsdaten zum Abbrechen."
"Account balance is not enough for canceling.","Kontostand ist nicht genug für die Stornierung."
"Invalid transaction data to complete.","Ungültige Transaktionsdaten zum Abschluss."
"Maximum amount allowed in account balance is %1.","Der Höchstbetrag im Kontostand ist %1."
"Action model is invalid for %1","Action-Modell ist für %1 ungültig"
"Changed by Admin","Geändert durch Admin"
"Get commission for order %1","Holen Sie sich Provision für Bestellung %1"
"Taken back commission for refunding order %1","Rücknahmekommission zur Rückerstattung der Bestellung %1"
"Subtract balance for withdraw request","Subtrahieren Sie die Balance für die Abhebungsanforderung"
"On Hold","In Wartestellung"
"Completed","Abgeschlossen"
"Cancelled","Abgebrochen"
"Commission","Kommission"
"Paid","Bezahlt"
"Admin","Administrator"
"The amount request is not enough to pay for fee.","Die Betragsanfrage reicht nicht aus."
"Cannot create transaction for this withdraw.","Kann keine Transaktion für diese Abhebung erstellen."
"Invalid withdraw data for canceling.","Ungültige Abhebungsdaten zum Abbrechen."
"Invalid withdraw data for approved.","Ungültige Abhebungsdaten für genehmigt."
"Pending","steht aus"
"The Account has been saved.","Das Konto wurde gespeichert."
"Affiliate Welcome homepage content","Affiliate Willkommen Homepage Inhalt"
"Affiliate referfriend description","Affiliate Verweis Beschreibung"
"Affiliate terms & conditions","Affiliate Bedingungen"
"Delete ""%1""","Löschen ""%1"""
"Are you sure?","Bist du sicher?"
"Type (1st Order)","Typ (1. Auftrag)"
"Value (1st Order)","Wert (1. Auftrag)"
"Type (Next orders)","Typ (Nächste Befehle)"
"Value (Next orders)","Wert (Nächste Bestellungen)"
"Action","Aktion"
"Add","Hinzufügen"
"Delete","Löschen"
"No","Nein"
"Yes","Ja"
"Link","Verknüpfung"
"Preview","Vorschau"
"Copy and past this source code into your website or forum.","Kopiere und verfolge diesen Quellcode in deine Website oder deinem Forum."
"No banner available","Kein Banner verfügbar"
"Credit Information","Kreditinformationen"
"Created Date","Erstellungsdatum"
"No transaction found!","Keine Transaktion gefunden!"
"Referral Url and Code","Empfehlung Url und Code"
"Refer Url","Url"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Verweise, die auf diese URL zugreifen, werden als Verweis verbunden, sobald sie sich anmelden oder eine Bestellung aufgeben."
"Refer Code","Verweise Code"
"Referrals should enter the code in Coupon form at shopping cart page.","Referrals sollten den Code in Coupon Form auf Warenkorb Seite eingeben."
"Refer Email","E-Mail benachrichtigen"
"Referrals can enter your e-mail address when signing up affiliate account.","Verweise können bei der Anmeldung des Affiliate-Kontos Ihre E-Mail-Adresse eingeben."
"Referral Via Social Networks","Empfehlung über soziale Netzwerke"
"Send Invitation","Einladung senden"
"Enter your friends' emails separated by comma","Geben Sie die E-Mails Ihrer Freunde ein, die durch Komma getrennt sind"
"Add from Address Book","Aus dem Adressbuch hinzufügen"
"Subject","Fach"
"Your message","Deine Nachricht"
"Short Message","Kurznachricht"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} wird durch Ihren Freundnamen auf E-Mail-Konto ersetzt. Du solltest es nicht bearbeiten, bis du weißt, was du tust."
"Send","Senden"
"Affiliate Subscriptions","Affiliate-Abonnements"
"Receive affiliate email.","Empfangen Sie Affiliate-E-Mail."
"Affiliate Information","Affiliate-Informationen"
"Customer email or Affiliate code","Kunden-E-Mail oder Affiliate-Code"
"Create an Account","Ein Konto erstellen"
"Request Withdraw","Anfrage zurückziehen"
"Request Amount","Anforderungsbetrag"
"Select Payment Method","Wählen Sie die Zahlungsmethode"
"Withdraw Policy","Rücknahmerichtlinie"
"Send Request","Anfrage senden"
"Paypal Email Associate","Paypal Email Associate"
"Paypal Email Address","Paypal E-Mail-Adresse"
"Withdraw History","Geschichte zurückziehen"
"Requested Date","Wunschtermin"
"Withdraw Method","Abhebungsmethode"
"View","Aussicht"
"Are you sure you want to cancel this withdraw?","Bist du sicher, dass du diesen abheben willst?"
"No withdraw found!","Kein Rückzug gefunden!"
"Requested Amount","Angeforderter Betrag"
"Net. Amount","Netz. Menge"
"Resolve Date","Auflösungsdatum"
"Back","Zurück"
"%1 for first order.","%1 für Erstbestellung."
"%1 of Order Total for first order.","%1 der Bestellung Gesamt für Erstbestellung."
"%1 of Order Profit for first order.","%1 des Auftrags Gewinn für Erstbestellung"
"%1 for next orders.","%1 für die nächsten bestellungen"
"%1 of Order Total for next orders.","%1 der Bestellung Summe für die nächsten Bestellungen."
"%1 of Order Profit for next orders.","%1 des Auftrags Gewinn für die nächsten Bestellungen."
"Discount policy","Rabattpolitik"
"Valid Date","Gültiges Datum"
"Always","Immer"
"from","von"
"to","nach"
"Affiliate account approved","Affiliate-Konto genehmigt"
"%name,","%name,"
"Welcome to our Affiliate program.","Willkommen zu unserem Affiliate Programm."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Ihr Affiliate-Konto ist genehmigt und beginnen mit den herausragenden Features des Affiliate Programms."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Affiliate ist die perfekte und interessante Magento-Erweiterung und schien das Geschäftsmodell zu sein, wo man die Rolle als Mitarbeiter hat. Sie können andere Kunden zu den Produkten des Verkäufers empfehlen, und dann machen Sie ein großes Einkaufszentrum für sich selbst. Dies ist verdienen Methoden im Internet, obwohl Sie keine Produkte oder private Website benötigen."
"Specially, you will receive the typical and wonderful benefits following as:","Speziell erhalten Sie die typischen und wunderbaren Vorteile wie folgt:"
"Earning commission","Erwerb von Provisionen"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Kommen zu Affiliate, einfach, werden Sie wählen Sie ein Produkt von der Website des Verkäufers, und Samen Link des Produkts an Menschen, die es brauchen. Wenn der Presentee den Gegenstand kauft, erhältst du pro Bestellung einen Prozentsatz."
"Using available template","Verwenden der verfügbaren Vorlage"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Darüber hinaus erhalten Sie Vorlagen wie E-Mail, Banner, Newsletter, etc. auf der Website des Verkäufers. Sie werden Einladungen an Ihre Zielkunden durch diese Vorlagen senden, wodurch Sie das Netzwerk einfach und perfekt erstellen können."
"Tracking history activities","Geschichte verfolgen"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Affiliate unterstützt Sie, um den Prozess des Sendens Einladung, Empfänger Name, ihren Gewinn, etc. zu verwalten. Daher können Sie Ihre Arbeit detailliert von selbst zu folgen."
"Giving cash when achieving the target","Geld bei der Erreichung des Ziels geben"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Affiliate geben interessante Chancen, Geld zu verdienen, während Sie keine Produkte oder Dienstleistungen benötigen, Sie werben nur das Produkt der Verkäufer-Website durch verfügbare Werbemethoden. Bis zu ihrem Einkommen verdienen sie die angebotenen Preise, sie werden Geld von ihren Konten abheben."
"Thank you again, %store_name","Nochmals vielen Dank, %store_name"
"Welcome to our affiliate program","Willkommen zu unserem Affiliate Programm"
"When using our affiliate program, you can use basics features in the following:","Bei der Verwendung unseres Affiliate-Programms können Sie im Folgenden die Grundlagen nutzen:"
"Let come to Affiliate program to experience attractive opportunities!","Lassen Sie sich zu Affiliate-Programm zu attraktiven Möglichkeiten zu erleben!"
"Your balance has been updated!","Ihr Gleichgewicht wurde aktualisiert!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Wir haben die Waage für Sie aktualisiert, damit Sie relevante Informationen über Ihre Provision haben oder bezahlt haben können. Diese E-Mail hilft Ihnen, Ihre Aktivitäten aktiv zu kontrollieren."
"The transaction detail","Das Transaktionsdetail"
"Transaction title: %title","Transaktionstitel: %title"
"Transaction amount: %amount","Transaktionsbetrag: %amount"
"Transaction status: %status","Transaktionsstatus: %status"
"Current balance: %balance","Aktueller Saldo: %balance"
"Withdraw request complete!","Widerrufsanfrage komplett!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Wir möchten Sie darüber informieren, dass Ihre Widerrufsanfrage, die bei% request_at angelegt wurde, abgeschlossen ist. Sie erhalten Geld nach einigen Tagen abhängig von der Zahlungsmethode, die Sie wählen."
"The withdraw detail","Das Detail zurückziehen"
"Withdraw Id: %withdraw_id","ID zurücksetzen:% withdraw_id"
"Transfer Amount: %amount","Übertragungsbetrag: %amount"
"Request Amount: %amount","Anforderungsbetrag: %amount"
"Tax/fee: %fee","Steuern / Gebühren: %fee"
"Payment Method: %payment","Zahlungsmethode: %pEinkung"
"You can check your withdraw by ","Sie können Ihren Rücktritt überprüfen"
"logging into your account","Loggen Sie sich in Ihr Konto ein"
"Affiliate","Affiliate"
"General","General"
"Enable","Aktivieren"
"Cookie Expiration","Cookie Verfall"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","Tage). Die Anzahl der Tage für Admin, um Cookies dieses Programms zu speichern. Voreinstellung: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>"
"Allow overriding cookies","Überschüssige Cookies zulassen"
"Allow overriding exist affiliate cookie.","Erlaube Overriding existieren Affiliate Cookie."
"Show Affiliate link on","Zeige Affiliate Link auf"
"Default page","Standardseite"
"Affiliate homepage content","Affiliate Homepage Inhalt"
"Select CMS Static Block.","Wählen Sie CMS Static Block."
"Display Policy Page","Anzeigerichtlinienseite"
"Select CMS Page for Policy Page","Wählen Sie die CMS-Seite für die Richtlinienseite aus"
"Select CMS page","Wählen Sie die CMS-Seite aus"
"Affiliate URL","Affiliate-URL"
"URL Style","URL-Stil"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","ZB: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","Benutzerdefinierter Parameter"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Dies wird in URL wie folgt verwendet:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Parameterwert"
"The length of Affiliate code","Die Länge des Affiliate-Codes"
"It should be greater than 3, and smaller than 32. Default is 6.","Es sollte größer als 3 und kleiner als 32 sein. Voreinstellung ist 6."
"Account Configuration","Kontokonfiguration"
"Affiliate Sign up","Affiliate Anmeldung"
"Default Affiliate Group","Default Affiliate Group"
"Require admin's approval","Erlaube admin's Genehmigung"
"Checked ""Email notification"" by default","Checked ""E-Mail-Benachrichtigung"" standardmäßig"
"Term and condition","Nutzungsbedingungen"
"Enable Terms and Conditions","Begriffe aktivieren"
"Checkbox Text","Checkbox Text"
"Terms and Conditions Title","Allgemeine Geschäftsbedingungen Titel"
"Terms and Conditions Content","Allgemeine Geschäftsbedingungen Inhalt"
"Select CMS Block.","CMS-Block auswählen"
"Checkbox is checked by default","Checkbox ist standardmäßig aktiviert"
"Account Balance","Kontostand"
"Maximum of Affiliate Balance","Maximale Affiliate Balance"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Die maximale Balance von Affiliate. Der Affiliate kann keine Provision erhalten, wenn das Gleichgewicht gleich diesen Wert ist. Leer oder Null ist keine Beschränkung."
"Allow negative balance","Negatives Gleichgewicht zulassen"
"Commission Configuration","Konfiguration der Kommission"
"Earn commission from tax","Sammle Provision aus Steuern"
"Earn commission from shipping fee","Verdienen Sie Provision von der Verschiffengebühr"
"Commission calculation process","Berechnungsverfahren der Kommission"
"Allow Affiliate receiving commission when Invoice created","Erlaube Affiliate, die Provision erhalten, wenn Rechnung erstellt wurde"
"Hold commission transactions for","Halten Sie Provisionsgeschäfte für"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Abzug von Prospekt von Affiliate Balance, wenn die Bestellung zurückerstattet / storniert wird"
"Withdraw Configuration","Konfiguration zurückziehen"
"Allow withdraw request","Erlauben Sie die Anfrage"
"Payment Methods","Zahlungsarten"
"The minimum balance in affiliate account for requesting withdraw","Die Mindestbilanz in der Affiliate-Konto für die Rückforderung"
"Minimum withdraw amount","Mindestabzugsbetrag"
"Include Fee","Gebühren einbeziehen"
"Maximum withdraw amount","Maximaler Auszahlungsbetrag"
"Email Configuration","E-Mail-Konfiguration"
"Email Sender","E-Mail Absender"
"Account Email","Konto E-Mail"
"Send Welcome Email","Schicken Sie Welcome Email"
"Welcome Email","Willkommen E-Mail"
"Welcome Email After Account Approved","Willkommen E-Mail nach dem Konto genehmigt"
"This email will be sent instead of welcome email, after approving account.","Diese E-Mail wird anstelle der Willkommens-E-Mail gesendet werden, nach der Genehmigung Konto."
"Transaction Email","Transaktions-Email"
"Send Transaction Email","Senden Sie Transaktions-E-Mail"
"Update Balance Email","E-Mail aktualisieren"
"Withdraw Email","E-Mail zurückziehen"
"Send Withdraw Email","Senden Sie Ihre E-Mail-Adresse zurück"
"Withdraw Complete Email","E-Mail verschieben"
"Refer Friends Configuration","Verweise Freunde Konfiguration"
"Enable Refer Friends Feature","Aktivieren Sie die Empfangsfreigabe"
"Refer Sharing Email","Wenden Sie sich an E-Mail"
"Default Refer Url","Default Referenz Url"
"Select block to show referfriend description","Wählen Sie den Block aus, um die Beschreibung des Verweises anzuzeigen"
"Refer friend homepage content","Verweisen Sie Freund Homepage Inhalt"
"AddThis.com ID","AddThis.com ID"
"Use Cloudsponge to retrieve email contacts","Verwenden Sie Cloudsponge, um E-Mail-Kontakte abzurufen"
"Cloudsponge Key","Cloudsponge Schlüssel"
"Sending Email Content","Senden von E-Mail-Inhalt"
"Default Email Subject","Default E-Mail Betreff"
"Default Email Body","Standard-E-Mail-Körper"
"Default Message Shared via Social","Standard-Nachricht über Social"
"ID","ICH WÜRDE"
"Email","Email"
"Phone","Telefon"
"ZIP/Post Code","PLZ / Postleitzahl"
"Country","Land"
"State/Province","Staat / Provinz"
"Signed-up Point","Signed-up Point"
"Website","Webseite"
"Created At","Hergestellt in"
"Add New Account","Neues Konto hinzufügen"
"Delete Accounts","Konto löschen"
"Are you sure you want to delete selected Accounts?","Sind Sie sicher, dass Sie ausgewählte Konten löschen möchten?"
"Total Commission","Gesamtkommission"
"Add New Banner","Füge neue Banner hinzu"
"Delete Banners","Banner löschen"
"Are you sure you want to delete selected banners?","Sind Sie sicher, dass Sie ausgewählte Banner löschen möchten?"
"URL","URL"
"Campaign","Kampagne"
"Created","Erstellt"
"Add New Campaign","Neue Kampagne hinzufügen"
"Delete Campaigns","Kampagnen löschen"
"Are you sure you wan't to delete selected Campaigns?","Bist du sicher, dass du ausgewählte Kampagnen nicht löschen möchtest?"
"Add New Group","Neue Gruppe hinzufügen"
"Delete Groups","Gruppen löschen"
"Are you sure you want to delete selected groups?","Sind Sie sicher, dass Sie ausgewählte Gruppen löschen möchten?"
"Add New Transaction","Neue Transaktion hinzufügen"
"Complete Transactions","Vollständige Transaktionen"
"Are you sure you want to complete selected transactions?","Sind Sie sicher, dass Sie ausgewählte Transaktionen abschließen möchten?"
"Cancel Transactions","Transaktionen abbrechen"
"Are you sure you want to cancel selected Transactions?","Sind Sie sicher, dass Sie ausgewählte Transaktionen abbrechen möchten?"
"Action Type","Aktionstyp"
"Amount Used","Betrag verwendet"
"Amount Hold","Betrag halten"
"Current Balance","Aktueller Saldo"
"Store","Geschäft"
"Holding Date","Haltezeit"
"Add New Withdraw","Neuen Rückzug hinzufügen"
"Approve","Genehmigen"
"Approve Withdraws","Genehmigen Sie sich zurück"
"Are you sure you want to approve selected Withdraws?","Sind Sie sicher, dass Sie ausgewählte Abhebungen genehmigen möchten?"
"Cancel Withdraws","Abbrechen zieht ab"
"Are you sure you want to cancel selected Withdraws?","Sind Sie sicher, dass Sie ausgewählte Abhebungen abbrechen möchten?"
"Transaction ID","Transaktions-ID"
"Transferred","Übergeben"
"Account Dashboard","Benutzerkonto Übersicht"
"Home","Zuhause"
"Signup","Anmelden"
"Refer Friend","Bitte Freund"
"Setting","Rahmen"