"Affiliate Banners","מודעות באנרים"
"My Credit","האשראי שלי"
"Available Balance","יתרה זמינה"
"Holding Balance","יתרת החזקה"
"Total Earned","סך הכל"
"Total Paid","סך הכל שולם"
"Refer friends","הפנה חברים"
"Affiliate Setting","הגדרת שותפים"
"Signup Affiliate","הרשמה שותפים"
"My Withdrawal","הנסיגה שלי"
"You can request withdraw when your balance equal or greater than %1","תוכל לבקש לסגת כאשר היתרה שלך שוות או גדולה מ- %1"
"You can withdraw a minimum %1","תוכל למשוך לפחות %1"
"You can withdraw a maximum %1","תוכל למשוך מקסימום %1"
"Save Account","שמור את החשבון"
"Cancel","לְבַטֵל"
"New Account","חשבון חדש"
"Please select a customer","בחר לקוח"
"Account Information","פרטי חשבון"
"Customer","צרכן"
"Affiliate Group","קבוצת שותפים"
"Referred By","הופנה ע""י"
"Affiliate account Id","מזהה חשבון של שותף עצמאי"
"Status","סטָטוּס"
"Email Notification","הודעת אימייל"
"Account","חֶשְׁבּוֹן"
"Save and Continue Edit","שמור והמשך עריכה"
"Edit Account '%1'","ערוך חשבון '%1'"
"Balance","איזון"
"Referral Code","קוד הפניה"
"Save Banner","שמור באנר"
"Edit Banner ""%1""","ערוך מודעת באנר ""%1"""
"New Banner","כרזה חדשה"
"Banner Information","מידע על מודעת באנר"
"Title","כותרת"
"Content","תוֹכֶן"
"Url","כתובת אתר"
"If empty, home page will be used.","אם דף הבית ריק, ישמש."
"Related Campaign","מסע פרסום קשור"
"Only affiliates who are in above campaign can see this banner.","רק חברות מסונפות שנמצאות בקמפיין שלמעלה יכולות לראות את הבאנר הזה."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","שים את התכונה rel = ""nofollow"" בקישור."
"Save Campaign","שמור את הקמפיין"
"Edit Campaign ""%1""","ערוך קמפיין ""%1"""
"New Campaign","מסע פרסום חדש"
"Campaign Information","מידע על מסע הפרסום"
"Name","שֵׁם"
"Description","תאור"
"Website IDs","מזהי אתר"
"Affiliate Groups","קבוצות שותפים"
"Display","לְהַצִיג"
"Active From Date","פעיל מתאריך"
"Active To Date","פעיל עד כה"
"Sort Order","סדר המיון"
"Pay Per Sale","לשלם לכל מכירה"
"Add Commission Type and Value","הוסף סוג וערך הנציבות"
"Commissions","עמלות"
"Percentage of grand total","אחוז סך הכל"
"Fixed amount","סכום קבוע"
"Apply the rule only if the following conditions are met (leave blank for all products)","החל את הכלל רק אם מתקיימים התנאים הבאים (השאר ריק עבור כל המוצרים)"
"Condition","מַצָב"
"Conditions","תנאים"
"Discounts","הנחות"
"Discount","הנחה"
"Apply","להגיש מועמדות"
"Discount Amount","כמות ההנחה"
"Apply to Shipping Amount","החל על סכום המשלוח"
"Discount Description","תיאור הנחה"
"Save Group","שמור קבוצה"
"New Group","קבוצה חדשה"
"Group Information","מידע קבוצתי"
"Group","קְבוּצָה"
"label","תווית"
"Reset banner traffic","אפס את תנועת הבאנר"
"Save Transaction","שמור את העסקה"
"New Transaction","עסקה חדשה"
"Please select an affiliate account","בחר חשבון של שותף עצמאי"
"Transaction Information","מידע על עסקאות"
"Amount","כמות"
"Add or subtract affiliate's balance. E.g: 99 or -99","הוסף או מחסר את יתרת השותפים. למשל: 99 או -99"
"Holding Transaction For","אחזקת עסקה עבור"
"Transaction","עִסקָה"
"Are you sure you want to cancel this transaction?","האם אתה בטוח שברצונך לבטל את העסקה הזו?"
"Are you sure you want to complete this transaction?","האם אתה בטוח שברצונך להשלים את העסקה הזו?"
"Complete","לְהַשְׁלִים"
"View Transaction '%1'","הצג עסקה '%1'"
"Affiliate Account","חשבון שותף"
"Type","סוּג"
"Order","להזמין"
"Created by","נוצר על ידי"
"This transaction will be holed to","עסקה זו תהיה מוסתרת"
"Created Time","זמן נוצר"
"Save and Approve","שמור ואשר"
"Save","להציל"
"New Withdraw","נסיגה חדשה"
"Withdraw Information","משוך מידע"
"Include fee.","כולל תשלום."
"Fee","תַשְׁלוּם"
"If empty, configuration value will be used.","אם ערך תצורה ריק, ישמש."
"Payment Method","אמצעי תשלום"
"Payment Detail","פרטי תשלום"
"Withdraw","לָסֶגֶת"
"Edit Withdraw '%1'","ערוך משיכה '%1'"
"Transfer Amount","סכום להעברה"
"Real amount will be transfer to affiliate.","הסכום האמיתי יהיה להעביר שותפים."
"Affiliate Discount","דיסקונט שותפים"
"Please input your friends email address.","אנא הזן את כתובת הדוא""ל של החברים שלך."
"Saved successfully!","נשמר בהצלחה!"
"Something went wrong while saving the Account.","משהו השתבש במהלך שמירת החשבון."
"Your account is not active. Please contact us.","חשבונך אינו פעיל. אנא צרו קשר עמנו."
"You have to agree with term and conditions.","אתה צריך להסכים עם תנאי ותנאים."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","מזל טוב! נרשמת בהצלחה. אנו נבדוק את חשבון השותפים שלך ונודיע לך ברגע שתאושר!"
"Congratulations! You have successfully registered.","מזל טוב! נרשמת בהצלחה."
"The withdraw has been canceled successfully.","הנסיגה בוטלה בהצלחה."
"Something went wrong while saving the request.","משהו השתבש בעת שמירת הבקשה."
"Cannot find item.","לא ניתן למצוא פריט."
"An error occur. Please contact us.","מתרחשת שגיאה. אנא צרו קשר עמנו."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","הבקשה שלך נשלחה בהצלחה. אנו נבדוק את בקשתך ונודע לך ברגע שתאושר!"
"Your balance is not enough for request withdraw.","יתרתך אינה מספיקה לבקשה לסגת."
"The withdraw amount have to equal or greater than %1","סכום המשיכה חייב להיות שווה או גדול מ- %1"
"The withdraw amount have to equal or less than %1","סכום המשיכה חייב להיות שווה או נמוך מ %1"
"This account no longer exists.","חשבון זה אינו קיים עוד."
"The Account has been deleted.","החשבון נמחק."
"Account to delete was not found.","החשבון למחיקה לא נמצא."
"Accounts","חשבונות"
"Edit Account ""%1""","ערוך חשבון ""%1"""
"A total of %1 record(s) have been deleted.","סך של %1 רשומות נמחקו."
"The customer ""%1"" has registed as an affiliate already.","הלקוח ""%1"" נרשם כשותף כבר."
"Cannot find account referred.","לא ניתן למצוא את החשבון."
"The Account has been created successfully.","החשבון נוצר בהצלחה."
"The Account has been saved successfully.","החשבון נשמר בהצלחה."
"The Banner has been deleted.","הבאנר נמחק."
"Something went wrong while deleting banner data. Please review the action log and try again.","משהו השתבש בעת מחיקת נתוני באנר. עיין ביומן הפעולות ונסה שוב."
"We cannot find a banner to delete.","לא ניתן למצוא כרזה למחיקה."
"This banner no longer exists.","הבאנר הזה כבר לא קיים."
"Banners","כרזות"
"Edit Banner","ערוך מודעת באנר"
"This banner does not exist.","הבאנר הזה לא קיים."
"You saved the banner.","שמרת את הבאנר."
"We cannot save the banner.","אנחנו לא יכולים להציל את הדגל."
"This campaign no longer exists.","מסע פרסום זה אינו קיים עוד."
"The Campaign has been deleted.","מסע הפרסום נמחק."
"Campaign to delete was not found.","מסע הפרסום למחיקה לא נמצא."
"Campaigns","קמפיינים"
"Please correct the data sent.","תקן את הנתונים שנשלחו."
"Something went wrong while saving the Campaign.","משהו השתבש במהלך שמירת מסע הפרסום."
"The Campaign has been saved successfully.","מסע הפרסום נשמר בהצלחה."
"Tier","נִדבָּך"
"Groups","קבוצות"
"Something went wrong while saving the Group.","משהו השתבש במהלך שמירת הקבוצה."
"Cannot remove this group","לא ניתן להסיר קבוצה זו"
"The Group has been created successfully.","הקבוצה נוצרה בהצלחה."
"The Transaction has been canceled.","העסקה בוטלה."
"The Transaction has been completed.","העסקה הושלמה."
"Transactions","עסקאות"
"View Transaction ""%1""","הצג עסקה ""%1"""
"This Transaction no longer exists.","עסקה זו אינה קיימת עוד."
"A total of %1 record(s) have been canceled.","סך של %1 רשומות () בוטלו."
"A total of %1 record(s) have been completed.","סה""כ %1 רשומות הושלמו."
"Account balance is not enough to create this transaction.","היתרה בחשבון אינה מספיקה כדי ליצור את העסקה הזו."
"The Transaction has been created.","העסקה נוצרה."
"Something went wrong while saving the Transaction.","משהו השתבש במהלך שמירת העסקה."
"This withdrawal no longer exists.","הנסיגה הזאת כבר לא קיימת."
"Withdraws","נסוגה"
"Edit Withdraw ""%1""","ערוך משיכה ""%1"""
"Edit Withdraw ""#%1""","ערוך משיכה ""# %1"""
"A total of %1 record(s) have been approved successfully.","סה""כ %1 רשומות אושרו בהצלחה."
"A total of %1 record(s) have been cancelled.","סך של %1 רשומות () בוטלו."
"The Withdraw has been saved.","הנסיגה נשמרה."
"Something went wrong while saving the Withdraw.","משהו השתבש בעת שמירת הנסיגה."
"My Affiliate","השותף שלי"
"My Credit (%1)","הזיכוי שלי (%1)"
"Active","פָּעִיל"
"Inactive","לֹא פָּעִיל"
"Need Approved","זקוק לאישור"
"Enabled","מופעל"
"Disabled","נָכֶה"
"Percent of cart total","אחוז סך הכל"
"Fixed amount discount for whole cart","הנחה כמות קבועה עבור עגלה שלמה"
"Allow Guest","אפשר אורח"
"Affiliate Member Only","חבר בלבד"
"-- Please Select --","-- בבקשה תבחר --"
"Category page","דף קטגוריה"
"Product page","דף מוצר"
"Footer Link","תחתונה קישור"
"Top Link","קישור עליון"
"Affiliate ID","מזהה שותפים"
"Affiliate Code","קוד שותפים"
"Hash","בְּלִיל"
"Parameter","פָּרָמֶטֶר"
"Address","כתובת"
"Paypal Email","דוא""ל"
"Transaction Id","מזהה עסקה"
"Affiliate Campaign","מסע פרסום של שותפים עצמאיים"
"Campaign %1","מסע פרסום %1"
"Affiliate account must be existed.","חשבון שותף חייב להיות קיים."
"Transaction amount cannot be zero.","סכום העסקה אינו יכול להיות אפס."
"Account balance has been reached the limit. Please contact to store owner.","יתרת החשבון הגיעה למגבלה. צור קשר עם בעל החנות."
"Invalid transaction data for canceling.","נתוני עסקה לא חוקיים לביטול."
"Account balance is not enough for canceling.","יתרת החשבון אינה מספיקה לביטול."
"Invalid transaction data to complete.","הושלמו נתוני העסקה לא חוקיים."
"Maximum amount allowed in account balance is %1.","הסכום המרבי המותר במאזן החשבון הוא %1."
"Action model is invalid for %1","מודל הפעולה אינו חוקי עבור %1"
"Changed by Admin","השתנה על ידי מנהל המערכת"
"Get commission for order %1","קבל עמלה עבור ההזמנה %1"
"Taken back commission for refunding order %1","התקבלה עמלה עבור החזרת הזמנה %1"
"Subtract balance for withdraw request","הפחת מאזן עבור בקשה לסגת"
"On Hold","בהמתנה"
"Completed","הושלם"
"Cancelled","מבוטל"
"Commission","עמלה"
"Paid","בתשלום"
"Admin","מנהל מערכת"
"The amount request is not enough to pay for fee.","הבקשה כמות לא מספיק כדי לשלם עבור דמי."
"Cannot create transaction for this withdraw.","לא ניתן ליצור עסקה עבור משיכה זו."
"Invalid withdraw data for canceling.","נתוני משיכה לא חוקיים לביטול."
"Invalid withdraw data for approved.","נתוני משיכה לא חוקיים עבור אישור."
"Pending","ממתין ל"
"The Account has been saved.","החשבון נשמר."
"Affiliate Welcome homepage content","שותפים תוכן דף הבית של ברוכים הבאים"
"Affiliate referfriend description","תיאור הפניה של שותפים"
"Affiliate terms & conditions","תנאי שימוש של שותפים"
"Delete ""%1""","מחק את ""%1"""
"Are you sure?","האם אתה בטוח?"
"Type (1st Order)","סוג (הזמנה ראשונה)"
"Value (1st Order)","ערך (הזמנה ראשונה)"
"Type (Next orders)","סוג (הזמנות הבא)"
"Value (Next orders)","ערך (הזמנות עוקבות)"
"Action","פעולה"
"Add","לְהוֹסִיף"
"Delete","לִמְחוֹק"
"No","לא"
"Yes","כן"
"Link","קישור"
"Preview","תצוגה מקדימה"
"Copy and past this source code into your website or forum.","העתק את קוד המקור שלך אל האתר או הפורום שלך."
"No banner available","אין באנר זמין"
"Credit Information","מידע על אשראי"
"Created Date","תאריך יצירה"
"No transaction found!","לא נמצאה עסקה!"
"Referral Url and Code","כתובת אתר הפניה וקוד"
"Refer Url","הפנה כתובת אתר"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","הפניות שמגיעות לכתובת אתר זו מחוברות כהפניות לאחר ההרשמה או ביצוע הזמנה."
"Refer Code","הפנה קוד"
"Referrals should enter the code in Coupon form at shopping cart page.","הפניות יש להזין את הקוד בצורת קופון בדף עגלת הקניות."
"Refer Email","עיין בדוא""ל"
"Referrals can enter your e-mail address when signing up affiliate account.","הפניות יכול להזין את כתובת הדואר האלקטרוני שלך בעת הצטרפות לחשבון שותפים."
"Referral Via Social Networks","הפניה באמצעות רשתות חברתיות"
"Send Invitation","שלח הזמנה"
"Enter your friends' emails separated by comma","הזן את הודעות האימייל של החברים שלך מופרדות באמצעות פסיק"
"Add from Address Book","הוסף מפנקס הכתובות"
"Subject","נושא"
"Your message","ההודעה שלך"
"Short Message","הודעה קצרה"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} יוחלף בשם החבר שלך על סמך חשבון האימייל. אתה לא צריך לערוך את זה עד שאתה יודע מה אתה עושה."
"Send","לִשְׁלוֹחַ"
"Affiliate Subscriptions","מנויים שותפים"
"Receive affiliate email.","קבל דוא""ל שותפים."
"Affiliate Information","מידע על שותפים"
"Customer email or Affiliate code","דוא""ל לקוח או קוד שותף"
"Create an Account","צור חשבון"
"Request Withdraw","בקש משיכה"
"Request Amount","סכום בקשה"
"Select Payment Method","בחר שיטת תשלום"
"Withdraw Policy","ביטול מדיניות"
"Send Request","שלח בקשה"
"Paypal Email Associate","Paypal דוא""ל עמית"
"Paypal Email Address","כתובת דוא""ל של Paypal"
"Withdraw History","ביטול ההיסטוריה"
"Requested Date","תאריך מבוקש"
"Withdraw Method","שיטת משיכה"
"View","נוף"
"Are you sure you want to cancel this withdraw?","האם אתה בטוח שברצונך לבטל את המשיכה הזו?"
"No withdraw found!","לא נמצאה משיכה!"
"Requested Amount","הסכום המבוקש"
"Net. Amount","נֶטוֹ. כמות"
"Resolve Date","פתרון תאריך"
"Back","חזור"
"%1 for first order.","%1 להזמנה הראשונה."
"%1 of Order Total for first order.","%1 מסדר ההזמנה להזמנה הראשונה."
"%1 of Order Profit for first order.","%1 של הזמנת רווח להזמנה ראשונה."
"%1 for next orders.","%1 להזמנות הבאות."
"%1 of Order Total for next orders.","%1 מסדר ההזמנה להזמנה הבאה."
"%1 of Order Profit for next orders.","%1 של הזמנת רווח עבור הזמנות הבאות."
"Discount policy","מדיניות דיסקונט"
"Valid Date","תאריך חוקי"
"Always","תמיד"
"from","מ"
"to","ל"
"Affiliate account approved","חשבון שותף מאושר"
"%name,","%n,"
"Welcome to our Affiliate program.","ברוכים הבאים לתוכנית השותפים שלנו."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","חשבון השותפים שלך מאושר ומאפשר להתחיל עם תכונות מיוחדות של תוכנית שותפים."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","שותפים היא הרחבה מעשית מושלמת ומעניין ונראה להיות המודל העסקי, שבו יש לך את התפקיד כמו משתפי פעולה. תוכל להמליץ ​​ללקוחות אחרים על מוצרי המפיץ, ולאחר מכן ליצור קהל קניות גדול בעצמך. זה שיטות להרוויח באינטרנט למרות שאתה לא צריך שום מוצר או אתר אינטרנט פרטי."
"Specially, you will receive the typical and wonderful benefits following as:","במיוחד, תקבל את היתרונות טיפוסי ונפלא הבאים כדלקמן:"
"Earning commission","צובר עמלה"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","מגיע שותפים, פשוט, תוכלו לבחור כל מוצר מהאתר של המוכר, ואת הקישור זרע של המוצר לאנשים הזקוקים לו. אם הנמען לקנות את הפריט, תקבל אחוז לכל הזמנה."
"Using available template","שימוש בתבנית זמינה"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","בנוסף, אתה מסופק תבניות כגון דוא""ל, כרזה, עלונים, וכו 'על ידי אתר האינטרנט של המוכר. תוכלו לשלוח הזמנות ללקוחות היעד שלך על ידי תבניות אלה, מה שגורם לך לבנות את הרשת בקלות ובאופן מושלם."
"Tracking history activities","מעקב אחר פעילויות ההיסטוריה"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","שותפים תומך לך לנהל את תהליך שליחת ההזמנה, שם הנמען, הרווח שלהם, וכו 'לכן, אתה יכול לעקוב אחר העבודה שלך באופן מפורט על ידי עצמם."
"Giving cash when achieving the target","מתן מזומנים בעת השגת היעד"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","שותפים מעניקים הזדמנויות מעניינות להרוויח כסף בזמן שאתה לא צריך שום מוצרים או שירותים, אתה רק לפרסם את המוצר של אתר האינטרנט של המוכר על ידי שיטות הפרסום הזמינים. עד ההכנסות שלהם הם מרוויחים להגיע לשיעורים המוצעים, הם יוכלו למשוך כספים מחשבונות שלהם."
"Thank you again, %store_name","שוב תודה, %store_name"
"Welcome to our affiliate program","ברוכים הבאים לתוכנית השותפים שלנו"
"When using our affiliate program, you can use basics features in the following:","בעת שימוש בתוכנית השותפים שלנו, תוכל להשתמש בתכונות בסיסיות באופן הבא:"
"Let come to Affiliate program to experience attractive opportunities!","בואו לבוא לתוכנית שותפים לחוות הזדמנויות אטרקטיביות!"
"Your balance has been updated!","היתרה שלך עודכנה!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","עדכנו את האיזון עבורך, כך שתוכל לקבל מידע רלוונטי של עמלה או שילמת. הודעת אימייל זו עוזרת לך לשלוט באופן פעיל בפעילויות שלך."
"The transaction detail","פרטי העסקה"
"Transaction title: %title","כותרת עסקה: %title"
"Transaction amount: %amount","סכום עסקה: %amount"
"Transaction status: %status","סטטוס עסקה: %s טבלה"
"Current balance: %balance","יתרה נוכחית: %b"
"Withdraw request complete!","ביטול הבקשה הושלם!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","ברצוננו להודיעך כי בקשת המשיכה שלך, שנוצרה ב-% request_at הושלמה. אתה תקבל כסף לאחר כמה ימים, בהתאם לשיטת התשלום אשר תבחר."
"The withdraw detail","פרטי הנסיגה"
"Withdraw Id: %withdraw_id","משוך מזהה:% pull_id"
"Transfer Amount: %amount","סכום ההעברה: %a"
"Request Amount: %amount","סכום בקשה: %a מטרים"
"Tax/fee: %fee","מס / עמלה: %f"
"Payment Method: %payment","אמצעי תשלום: %p תשלום"
"You can check your withdraw by ","אתה יכול לבדוק את הנסיגה שלך"
"logging into your account","כניסה לחשבון שלך"
"Affiliate","שותפים"
"General","כללי"
"Enable","לְאַפשֵׁר"
"Cookie Expiration","תפוגת קובץ Cookie"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","יום (ים). מספר הימים עבור מנהל מערכת לאחסן עוגיות של תוכנית זו. ברירת מחדל: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank""> למידע נוסף </a>"
"Allow overriding cookies","אפשר קובצי cookie עוקפים"
"Allow overriding exist affiliate cookie.","לאפשר overriding קיים עוגיות שותפים."
"Show Affiliate link on","הצג קישור שותפים ב"
"Default page","דף ברירת מחדל"
"Affiliate homepage content","תוכן דף הבית של שותפים עצמאיים"
"Select CMS Static Block.","בחר בלוק סטטי של CMS."
"Display Policy Page","דף מדיניות לתצוגה"
"Select CMS Page for Policy Page","בחר CMS Page עבור דף מדיניות"
"Select CMS page","בחר בדף CMS"
"Affiliate URL","כתובת אתר של שותפים עצמאיים"
"URL Style","סגנון כתובת אתר"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","לדוגמה, <br /> פרמטר: http://example.com/?<strong>c12123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","פרמטר מותאם אישית"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","פעולה זו תשתמש בכתובת אתר כגון:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br /> או # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","ערך פרמטר"
"The length of Affiliate code","אורך של קוד שותפים"
"It should be greater than 3, and smaller than 32. Default is 6.","זה צריך להיות גדול מ 3, קטן מ 32. ברירת המחדל היא 6."
"Account Configuration","תצורת חשבון"
"Affiliate Sign up","שותפים להירשם"
"Default Affiliate Group","ברירת מחדל קבוצת שותפים"
"Require admin's approval","דרוש אישור של מנהל המערכת"
"Checked ""Email notification"" by default","מסומן ""הודעת דוא""ל"" כברירת מחדל"
"Term and condition","מונח ומצב"
"Enable Terms and Conditions","הפעל תנאים והגבלות"
"Checkbox Text","טקסט תיבת סימון"
"Terms and Conditions Title","תנאי השימוש והתנאים"
"Terms and Conditions Content","תנאים והגבלות"
"Select CMS Block.","בחר בלוק CMS."
"Checkbox is checked by default","תיבת הסימון מסומנת כברירת מחדל"
"Account Balance","יתרת חשבון"
"Maximum of Affiliate Balance","מקסימום של יתרת שותפים"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","היתרה המקסימלית של שותפים. שותפים לא יכול לקבל עמלה אם איזון שווה ערך זה. ריק או אפס אין הגבלה."
"Allow negative balance","אפשר יתרה שלילית"
"Commission Configuration","תצורת הנציבות"
"Earn commission from tax","להרוויח עמלה ממס"
"Earn commission from shipping fee","להרוויח עמלה מ דמי משלוח"
"Commission calculation process","תהליך חישוב הנציבות"
"Allow Affiliate receiving commission when Invoice created","אפשר לשותף לקבל עמלה בעת יצירת חשבונית"
"Hold commission transactions for","עמלות עבור עמלות"
"Deduct commission from Affiliate's balance when order is refunded/canceled","ניכוי עמלה מיתרת השותפים בעת ביצוע החזר / ביטול"
"Withdraw Configuration","ביטול תצורה"
"Allow withdraw request","אפשר בקשת משיכה"
"Payment Methods","שיטות תשלום"
"The minimum balance in affiliate account for requesting withdraw","יתרת המינימום בחשבון שותפים עבור בקשה לסגת"
"Minimum withdraw amount","סכום משיכה מינימלי"
"Include Fee","כלול בתשלום"
"Maximum withdraw amount","סכום משיכה מקסימלי"
"Email Configuration","תצורת דוא""ל"
"Email Sender","שולח דוא""ל"
"Account Email","חשבון מייל"
"Send Welcome Email","שלח ברוכים הבאים דוא""ל"
"Welcome Email","ברוכים הבאים דוא""ל"
"Welcome Email After Account Approved","ברוכים הבאים אימייל לאחר אישור החשבון"
"This email will be sent instead of welcome email, after approving account.","הודעת אימייל זו תישלח במקום הודעת אימייל, לאחר אישור החשבון."
"Transaction Email","דוא""ל העסקה"
"Send Transaction Email","שלח דוא""ל לעסקה"
"Update Balance Email","עדכן דוא""ל איזון"
"Withdraw Email","בטל אימייל"
"Send Withdraw Email","שלח דוא""ל"
"Withdraw Complete Email","בטל אימייל מלא"
"Refer Friends Configuration","עיין בתצורת חברים"
"Enable Refer Friends Feature","אפשר התכונה 'הפנה חברים'"
"Refer Sharing Email","עיין בדוא""ל שיתוף"
"Default Refer Url","ברירת מחדל הפניה כתובת אתר"
"Select block to show referfriend description","בחר בלוק כדי להציג תיאור של הפניה"
"Refer friend homepage content","עיין בתוכן דף הבית של חבר"
"AddThis.com ID","מזהה"
"Use Cloudsponge to retrieve email contacts","השתמש ב- Cloudsponge כדי לאחזר אנשי קשר בדוא""ל"
"Cloudsponge Key","מפתח קלאוד ספוג"
"Sending Email Content","שליחת תוכן דוא""ל"
"Default Email Subject","נושא דוא""ל ברירת מחדל"
"Default Email Body","גוף דוא""ל ברירת מחדל"
"Default Message Shared via Social","הודעת ברירת מחדל משותפת באמצעות חברתי"
"ID","תְעוּדַת זֶהוּת"
"Email","אֶלֶקטרוֹנִי"
"Phone","טלפון"
"ZIP/Post Code","מיקוד"
"Country","מדינה"
"State/Province","מדינה / מחוז"
"Signed-up Point","נקודה חתומה"
"Website","אתר אינטרנט"
"Created At","נוצר ב"
"Add New Account","הוסף חשבון חדש"
"Delete Accounts","מחק חשבונות"
"Are you sure you want to delete selected Accounts?","האם אתה בטוח שברצונך למחוק את החשבונות שנבחרו?"
"Total Commission","סך כל הנציבות"
"Add New Banner","הוסף מודעת באנר חדשה"
"Delete Banners","מחיקת באנרים"
"Are you sure you want to delete selected banners?","האם אתה בטוח שברצונך למחוק כרזות שנבחרו?"
"URL","כתובת אתר"
"Campaign","קמפיין"
"Created","נוצר"
"Add New Campaign","הוסף קמפיין חדש"
"Delete Campaigns","מחק קמפיינים"
"Are you sure you wan't to delete selected Campaigns?","האם אתה בטוח שלא תמחק את מסעות הפרסום שנבחרו?"
"Add New Group","הוסף קבוצה חדשה"
"Delete Groups","מחק קבוצות"
"Are you sure you want to delete selected groups?","האם אתה בטוח שברצונך למחוק קבוצות נבחרות?"
"Add New Transaction","הוסף עסקה חדשה"
"Complete Transactions","עסקאות מלאות"
"Are you sure you want to complete selected transactions?","האם אתה בטוח שברצונך להשלים עסקאות שנבחרו?"
"Cancel Transactions","בטל עסקאות"
"Are you sure you want to cancel selected Transactions?","האם אתה בטוח שברצונך לבטל עסקאות שנבחרו?"
"Action Type","סוג פעולה"
"Amount Used","סכום משומש"
"Amount Hold","סכום החזקה"
"Current Balance","יתרה נוכחית"
"Store","חֲנוּת"
"Holding Date","תאריך החזקה"
"Add New Withdraw","הוסף משיכה חדשה"
"Approve","לְאַשֵׁר"
"Approve Withdraws","אשר את משיכתך"
"Are you sure you want to approve selected Withdraws?","האם אתה בטוח שברצונך לאשר את משיכות הבחירה שנבחרו?"
"Cancel Withdraws","ביטול משיכה"
"Are you sure you want to cancel selected Withdraws?","האם אתה בטוח שברצונך לבטל את משיכות הבחירה שנבחרו?"
"Transaction ID","מזהה עסקה"
"Transferred","הועבר"
"Account Dashboard","מרכז השליטה של ​​החשבון"
"Home","בית"
"Signup","הירשם"
"Refer Friend","הפנה לחבר"
"Setting","הגדרה"