"Affiliate Banners","Banner affiliati"
"My Credit","Il mio credito"
"Available Balance","saldo disponibile"
"Holding Balance","Holding Balance"
"Total Earned","Totale guadagnato"
"Total Paid","Totale pagato"
"Refer friends","Riferisci agli amici"
"Affiliate Setting","Impostazione di affiliazione"
"Signup Affiliate","Iscriviti affiliato"
"My Withdrawal","Il mio ritiro"
"You can request withdraw when your balance equal or greater than %1","Puoi richiedere il ritiro quando il saldo è pari o superiore a %1"
"You can withdraw a minimum %1","È possibile ritirare un minimo di %1"
"You can withdraw a maximum %1","Puoi ritirare un massimo di %1"
"Save Account","Salva l'account"
"Cancel","Annulla"
"New Account","Nuovo account"
"Please select a customer","Seleziona un cliente"
"Account Information","Informazioni account"
"Customer","Cliente"
"Affiliate Group","Gruppo di affiliazione"
"Referred By","Riferito da"
"Affiliate account Id","Account di affiliazione Id"
"Status","Stato"
"Email Notification","notifica per email"
"Account","account"
"Save and Continue Edit","Salva e continua la modifica"
"Edit Account '%1'","Modifica account '%1'"
"Balance","Equilibrio"
"Referral Code","Codice di rinvio"
"Save Banner","Salva banner"
"Edit Banner ""%1""","Modifica banner ""%1"""
"New Banner","Nuovo banner"
"Banner Information","Banner Information"
"Title","Titolo"
"Content","Soddisfare"
"Url","url"
"If empty, home page will be used.","Se vuota, verrà utilizzata la home page."
"Related Campaign","Campagna correlata"
"Only affiliates who are in above campaign can see this banner.","Solo gli affiliati che si trovano nella campagna di cui sopra possono vedere questo banner."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Inserisci l'attributo rel = ""nofollow"" sul link."
"Save Campaign","Salva campagna"
"Edit Campaign ""%1""","Modifica campagna ""%1"""
"New Campaign","Nuova campagna"
"Campaign Information","Informazioni sulla campagna"
"Name","Nome"
"Description","Descrizione"
"Website IDs","ID di sito web"
"Affiliate Groups","Gruppi affiliati"
"Display","Display"
"Active From Date","Attivo dalla data"
"Active To Date","Attivo fino a data"
"Sort Order","Ordinamento"
"Pay Per Sale","Pay Per Sale"
"Add Commission Type and Value","Aggiungere il tipo e il valore della Commissione"
"Commissions","commissioni"
"Percentage of grand total","Percentuale di grand total"
"Fixed amount","Importo fisso"
"Apply the rule only if the following conditions are met (leave blank for all products)","Applicare la regola solo se sono soddisfatte le seguenti condizioni (lasciare vuoto per tutti i prodotti)"
"Condition","Condizione"
"Conditions","condizioni"
"Discounts","sconti"
"Discount","Sconto"
"Apply","Applicare"
"Discount Amount","Totale sconto"
"Apply to Shipping Amount","Applica all'importo di spedizione"
"Discount Description","Descrizione del sconto"
"Save Group","Salva gruppo"
"New Group","Nuovo gruppo"
"Group Information","Informazioni sul gruppo"
"Group","Gruppo"
"label","etichetta"
"Reset banner traffic","Azzerare il traffico banner"
"Save Transaction","Salva la transazione"
"New Transaction","Nuova transazione"
"Please select an affiliate account","Seleziona un conto affiliato"
"Transaction Information","Informazioni sulle transazioni"
"Amount","Quantità"
"Add or subtract affiliate's balance. E.g: 99 or -99","Aggiunta o sottrazione dell'accordo di affiliazione. Ad esempio: 99 o -99"
"Holding Transaction For","Holding Transazione per"
"Transaction","Transazione"
"Are you sure you want to cancel this transaction?","Sei sicuro di voler annullare questa transazione?"
"Are you sure you want to complete this transaction?","Sei sicuro di voler completare questa transazione?"
"Complete","Completare"
"View Transaction '%1'","Visualizza la transazione '%1'"
"Affiliate Account","Conto Affiliato"
"Type","Tipo"
"Order","Ordine"
"Created by","Creato da"
"This transaction will be holed to","Questa transazione sarà aperta"
"Created Time","Tempo creato"
"Save and Approve","Salva e approvi"
"Save","Salvare"
"New Withdraw","Nuovo ritiro"
"Withdraw Information","Estrarre le informazioni"
"Include fee.","Includi la tassa."
"Fee","tassa"
"If empty, configuration value will be used.","Se vuota, verrà utilizzato il valore di configurazione."
"Payment Method","Metodo di pagamento"
"Payment Detail","Dettaglio di pagamento"
"Withdraw","Ritirare"
"Edit Withdraw '%1'","Modifica Ritiro '%1'"
"Transfer Amount","Ammontare di trasferimento"
"Real amount will be transfer to affiliate.","L'importo reale sarà il trasferimento ad affiliato."
"Affiliate Discount","Sconto di affiliazione"
"Please input your friends email address.","Inserisci il tuo indirizzo email per i tuoi amici."
"Saved successfully!","Salvato con successo!"
"Something went wrong while saving the Account.","Qualcosa è andato storto mentre salva l'account."
"Your account is not active. Please contact us.","Il tuo account non è attivo. Ci contatti per favore."
"You have to agree with term and conditions.","Devi accettare termini e condizioni."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Complimenti! Ti sei registrato con successo. Verificheremo il tuo conto affiliato e ti informeremo una volta approvato!"
"Congratulations! You have successfully registered.","Complimenti! Ti sei registrato con successo."
"The withdraw has been canceled successfully.","Il ritiro è stato annullato con successo."
"Something went wrong while saving the request.","Qualcosa è andato storto mentre salvava la richiesta."
"Cannot find item.","Impossibile trovare l'elemento."
"An error occur. Please contact us.","Si verifica un errore. Ci contatti per favore."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","La tua richiesta è stata inviata con successo. Rivediamo la tua richiesta e ti informeremo una volta approvato!"
"Your balance is not enough for request withdraw.","Il tuo equilibrio non è sufficiente per ritirare la richiesta."
"The withdraw amount have to equal or greater than %1","L'importo del prelievo deve essere pari o superiore a %1"
"The withdraw amount have to equal or less than %1","L'importo del prelievo deve essere pari o inferiore a %1"
"This account no longer exists.","Questo account non esiste più."
"The Account has been deleted.","L'account è stato eliminato."
"Account to delete was not found.","Account da eliminare non è stato trovato."
"Accounts","conti"
"Edit Account ""%1""","Modifica account ""%1"""
"A total of %1 record(s) have been deleted.","Un totale di %1 record è stato eliminato."
"The customer ""%1"" has registed as an affiliate already.","Il cliente ""%1"" è già registrato come affiliato."
"Cannot find account referred.","Impossibile trovare l'account indicato."
"The Account has been created successfully.","L'account è stato creato con successo."
"The Account has been saved successfully.","L'account è stato salvato correttamente."
"The Banner has been deleted.","Il banner è stato eliminato."
"Something went wrong while deleting banner data. Please review the action log and try again.","Qualcosa è andato storto mentre elimina i dati banner. Rivedere il registro degli azioni e riprovare."
"We cannot find a banner to delete.","Non possiamo trovare un banner da eliminare."
"This banner no longer exists.","Questo banner non esiste più."
"Banners","banner"
"Edit Banner","Modifica banner"
"This banner does not exist.","Questo banner non esiste."
"You saved the banner.","Hai salvato il banner."
"We cannot save the banner.","Non possiamo salvare il banner."
"This campaign no longer exists.","Questa campagna non esiste più."
"The Campaign has been deleted.","La campagna è stata eliminata."
"Campaign to delete was not found.","La campagna da eliminare non è stata trovata."
"Campaigns","campagne"
"Please correct the data sent.","Correggi i dati inviati."
"Something went wrong while saving the Campaign.","Qualcosa è andato storto mentre salvava la campagna."
"The Campaign has been saved successfully.","La campagna è stata salvata con successo."
"Tier","fila"
"Groups","gruppi"
"Something went wrong while saving the Group.","Qualcosa è andato storto mentre salvava il gruppo."
"Cannot remove this group","Impossibile rimuovere questo gruppo"
"The Group has been created successfully.","Il gruppo è stato creato con successo."
"The Transaction has been canceled.","La transazione è stata annullata."
"The Transaction has been completed.","La transazione è stata completata."
"Transactions","Le transazioni"
"View Transaction ""%1""","Visualizza transazione ""%1"""
"This Transaction no longer exists.","Questa transazione non esiste più."
"A total of %1 record(s) have been canceled.","Un totale di %1 record è stato annullato."
"A total of %1 record(s) have been completed.","Sono stati completati un totale di %1 record."
"Account balance is not enough to create this transaction.","Il saldo dell'account non è sufficiente per creare questa transazione."
"The Transaction has been created.","La transazione è stata creata."
"Something went wrong while saving the Transaction.","Qualcosa è andato storto mentre salvava la transazione."
"This withdrawal no longer exists.","Questo ritiro non esiste più."
"Withdraws","si ritira"
"Edit Withdraw ""%1""","Modifica Ritiro ""%1"""
"Edit Withdraw ""#%1""","Modifica Ritiro ""# %1"""
"A total of %1 record(s) have been approved successfully.","Un totale di %1 record (i) è stato approvato con successo."
"A total of %1 record(s) have been cancelled.","Un totale di %1 record è stato annullato."
"The Withdraw has been saved.","Il ritiro è stato salvato."
"Something went wrong while saving the Withdraw.","Qualcosa è andato storto mentre salvava il ritiro."
"My Affiliate","Il mio affiliato"
"My Credit (%1)","Il mio credito (%1)"
"Active","Attivo"
"Inactive","Inattivo"
"Need Approved","Hai bisogno di approvato"
"Enabled","Abilitato"
"Disabled","Disabilitato"
"Percent of cart total","Percentuale del totale del carrello"
"Fixed amount discount for whole cart","Sconto fisso per tutto il carrello"
"Allow Guest","Consenti Ospite"
"Affiliate Member Only","Solo membro affiliato"
"-- Please Select --","- Seleziona -"
"Category page","Categoria pagina"
"Product page","Pagina del prodotto"
"Footer Link","Footer Link"
"Top Link","Top Link"
"Affiliate ID","ID affiliato"
"Affiliate Code","Codice di affiliazione"
"Hash","hash"
"Parameter","Parametro"
"Address","Indirizzo"
"Paypal Email","PayPal Email"
"Transaction Id","ID transazione"
"Affiliate Campaign","Campagna di affiliazione"
"Campaign %1","Campagna %1"
"Affiliate account must be existed.","Deve esistere un account affiliato."
"Transaction amount cannot be zero.","La quantità di transazione non può essere zero."
"Account balance has been reached the limit. Please contact to store owner.","Il saldo dell'account è stato raggiunto il limite. Si prega di contattare per immagazzinare il proprietario."
"Invalid transaction data for canceling.","Dati di transazione non validi per la cancellazione."
"Account balance is not enough for canceling.","Il saldo dell'account non è sufficiente per annullare."
"Invalid transaction data to complete.","Dati di transazione non validi da completare."
"Maximum amount allowed in account balance is %1.","L'ammontare massimo consentito nel saldo del conto è %1."
"Action model is invalid for %1","Il modello di azione non è valido per %1"
"Changed by Admin","Modificato da Admin"
"Get commission for order %1","Ottenere la commissione per l'ordine %1"
"Taken back commission for refunding order %1","Commissione di rimborso per l'ordine di rimborso %1"
"Subtract balance for withdraw request","Sottrarre l'equilibrio per la richiesta di recesso"
"On Hold","In attesa"
"Completed","Completato"
"Cancelled","Annullato"
"Commission","Commissione"
"Paid","Pagato"
"Admin","Admin"
"The amount request is not enough to pay for fee.","La richiesta di importo non è sufficiente per pagare la tassa."
"Cannot create transaction for this withdraw.","Impossibile creare transazioni per questo ritirato."
"Invalid withdraw data for canceling.","I dati di annullamento non validi per l'annullamento."
"Invalid withdraw data for approved.","I dati di ritiro non validi per l'approvazione."
"Pending","in attesa di"
"The Account has been saved.","L'account è stato salvato."
"Affiliate Welcome homepage content","Contenuto della homepage di Welcome Partner"
"Affiliate referfriend description","Descrizione del referfriend affiliato"
"Affiliate terms & conditions","Termini e condizioni affiliati"
"Delete ""%1""","Elimina ""%1"""
"Are you sure?","Sei sicuro?"
"Type (1st Order)","Tipo (primo ordine)"
"Value (1st Order)","Valore (primo ordine)"
"Type (Next orders)","Tipo (ordini successivi)"
"Value (Next orders)","Valore (ordini successivi)"
"Action","Azione"
"Add","Inserisci"
"Delete","Elimina"
"No","No"
"Yes","sì"
"Link","collegamento"
"Preview","Anteprima"
"Copy and past this source code into your website or forum.","Copia e passare questo codice sorgente nel tuo sito web o nel tuo forum."
"No banner available","Nessun banner disponibile"
"Credit Information","Informazioni sul credito"
"Created Date","Data di Creazione"
"No transaction found!","Nessuna transazione trovata!"
"Referral Url and Code","Url e codice di riferimento"
"Refer Url","Fare riferimento all'URL"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","I referenti che accedono a questo URL sono connessi come riferimenti una volta che hanno firmato o hanno ordinato un ordine."
"Refer Code","Fai riferimento al codice"
"Referrals should enter the code in Coupon form at shopping cart page.","I referral devono immettere il codice in forma Cedola nella pagina del carrello."
"Refer Email","Riferisci Email"
"Referrals can enter your e-mail address when signing up affiliate account.","I referenti possono inserire il tuo indirizzo di posta elettronica al momento della firma dell'account di affiliazione."
"Referral Via Social Networks","Referral Via Social Networks"
"Send Invitation","Spedire un invito"
"Enter your friends' emails separated by comma","Inserisci le email degli amici separati da virgola"
"Add from Address Book","Aggiungi dalla Rubrica"
"Subject","Soggetto"
"Your message","Il tuo messaggio"
"Short Message","Breve messaggio"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} verrà sostituito dal nome del tuo amico basato sull'account di posta elettronica. Non dovresti modificarlo finché non sai cosa stai facendo."
"Send","Inviare"
"Affiliate Subscriptions","Abbonamenti affiliati"
"Receive affiliate email.","Ricevi email di affiliazione."
"Affiliate Information","Informazioni di affiliazione"
"Customer email or Affiliate code","E-mail del cliente o codice di affiliazione"
"Create an Account","Crea un account"
"Request Withdraw","Richiedi ritiro"
"Request Amount","Richiesta importo"
"Select Payment Method","scegli il metodo di pagamento"
"Withdraw Policy","Ritiro della politica"
"Send Request","Invia richiesta"
"Paypal Email Associate","Paypal Email Associate"
"Paypal Email Address","Indirizzo e-mail Paypal"
"Withdraw History","Ritirare la storia"
"Requested Date","Data richiesta"
"Withdraw Method","Richiamare il metodo"
"View","vista"
"Are you sure you want to cancel this withdraw?","Sei sicuro di voler annullare questo ritirato?"
"No withdraw found!","Nessun ritrovamento trovato!"
"Requested Amount","Importo richiesto"
"Net. Amount","Netto. Quantità"
"Resolve Date","Risolvere la data"
"Back","Indietro"
"%1 for first order.","%1 per primo ordine."
"%1 of Order Total for first order.","%1 di Ordine Totale per primo ordine."
"%1 of Order Profit for first order.","%1 di Ordine Profitto per primo ordine."
"%1 for next orders.","%1 per gli ordini successivi."
"%1 of Order Total for next orders.","%1 di Ordine Totale per ordini successivi."
"%1 of Order Profit for next orders.","%1 di Ordine Profitto per ordini successivi."
"Discount policy","Politica di sconto"
"Valid Date","Data valida"
"Always","Sempre"
"from","a partire dal"
"to","a"
"Affiliate account approved","Account affiliato approvato"
"%name,","%name,"
"Welcome to our Affiliate program.","Benvenuti nel nostro programma di affiliazione."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Il tuo account affiliato è approvato e comincia con le caratteristiche eccezionali del programma di affiliazione."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","L'affiliato è l'estensione perfetta e interessante di Magento e sembra essere il modello di business, dove si ha il ruolo di collaboratori. Puoi consigliare altri clienti ai prodotti del venditore e fare un grande pubblico commerciale per te stesso. Questo è il metodo di guadagnare su Internet anche se non hai bisogno di alcun prodotto o sito web privato."
"Specially, you will receive the typical and wonderful benefits following as:","In particolare, riceverai i vantaggi tipici e meravigliosi come:"
"Earning commission","Commissione di guadagno"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Entrando in affiliazione, semplicemente, scegliete qualsiasi prodotto del sito web del venditore e il link seme del prodotto alle persone che lo richiedono. Se il presentee compra l'articolo, otterrai percentuale per ordine."
"Using available template","Utilizzo del modello disponibile"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Inoltre, vengono fornite modelli come email, banner, newsletter, ecc. Dal sito web del venditore. Sarai inviato inviti ai tuoi clienti di destinazione da questi modelli, il che ti fa costruire la rete in modo semplice e perfetto."
"Tracking history activities","Attività di monitoraggio della storia"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","L'affiliato ti supporta per gestire il processo di invio dell'invito, del nome del destinatario, del loro profitto, ecc. Perciò potete seguire in modo dettagliato il proprio lavoro da soli."
"Giving cash when achieving the target","Dare denaro quando si raggiunge il bersaglio"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Affiliato offre opportunità interessanti per guadagnare soldi mentre non è necessario alcun prodotto o servizio, pubblicizza solo il prodotto del sito web del venditore tramite metodi pubblicitari disponibili. Fino a che i loro guadagni non raggiungano i tassi offerti, preleveranno i soldi dai loro conti."
"Thank you again, %store_name","Grazie ancora, %store_name"
"Welcome to our affiliate program","Benvenuti nel nostro programma di affiliazione"
"When using our affiliate program, you can use basics features in the following:","Quando utilizzi il nostro programma di affiliazione, puoi utilizzare le funzionalità di base come segue:"
"Let come to Affiliate program to experience attractive opportunities!","Lasciate venire al programma di affiliazione per sperimentare opportunità interessanti!"
"Your balance has been updated!","Il tuo saldo è stato aggiornato!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Abbiamo aggiornato l'equilibrio in modo da poter avere le informazioni pertinenti della tua commissione o pagare. Questa email ti aiuta a controllare attivamente le tue attività."
"The transaction detail","Il dettaglio delle transazioni"
"Transaction title: %title","Titolo di transazione: %title"
"Transaction amount: %amount","Importo transazione: %amount"
"Transaction status: %status","Stato transazione: %status"
"Current balance: %balance","Bilancia attuale: %balance"
"Withdraw request complete!","Richiamare la richiesta completa!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Vorremmo informarLa che la tua richiesta di recesso, creata a% request_at, è stata completata. Riceverai denaro dopo alcuni giorni a seconda del metodo di pagamento scelto."
"The withdraw detail","Il dettaglio del ritiro"
"Withdraw Id: %withdraw_id","Ritiro Id:% withdraw_id"
"Transfer Amount: %amount","Importo trasferimento: %amount"
"Request Amount: %amount","Quantità richiesta: %amount"
"Tax/fee: %fee","Imposta / imposta: %fee"
"Payment Method: %payment","Metodo di pagamento: %ppagamento"
"You can check your withdraw by ","Puoi controllare il tuo ritirato"
"logging into your account","Accedere al tuo account"
"Affiliate","affiliato"
"General","Generale"
"Enable","Abilitare"
"Cookie Expiration","Scadenza Cookie"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","giorno (s). Il numero di giorni per l'amministratore per memorizzare i cookie di questo programma. Predefinito: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">pagina di più</a>"
"Allow overriding cookies","Consenti i cookie dominanti"
"Allow overriding exist affiliate cookie.","Consenti che esistano cookie affiliati."
"Show Affiliate link on","Mostra link di affiliazione"
"Default page","Pagina predefinita"
"Affiliate homepage content","Contenuti della home page di affiliazione"
"Select CMS Static Block.","Selezionare il blocco statico CMS."
"Display Policy Page","Pagina di criteri di visualizzazione"
"Select CMS Page for Policy Page","Selezionare la pagina CMS per la pagina dei criteri"
"Select CMS page","Seleziona la pagina CMS"
"Affiliate URL","URL di affiliazione"
"URL Style","Stile del URL"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Ad esempio: <br />Parametro: http://esempio.com/?<strong>c=123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","Parametro personalizzato"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Questo verrà utilizzato in URL come:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Valore del parametro"
"The length of Affiliate code","La lunghezza del codice di affiliazione"
"It should be greater than 3, and smaller than 32. Default is 6.","Dovrebbe essere superiore a 3 e inferiore a 32. Il valore predefinito è 6."
"Account Configuration","Configurazione dell'account"
"Affiliate Sign up","Affiliati Registrati"
"Default Affiliate Group","Gruppo di affiliazione predefinito"
"Require admin's approval","Richiedi l'approvazione dell'amministratore"
"Checked ""Email notification"" by default","Per impostazione predefinita, viene segnalata la ""notifica tramite posta elettronica"""
"Term and condition","Termini e condizioni"
"Enable Terms and Conditions","Abilita termini e condizioni"
"Checkbox Text","Testo di casella di controllo"
"Terms and Conditions Title","Termini e Condizioni Titolo"
"Terms and Conditions Content","Termini e Condizioni Contenuto"
"Select CMS Block.","Seleziona il blocco CMS."
"Checkbox is checked by default","La casella di controllo è selezionata per impostazione predefinita"
"Account Balance","Saldo del conto"
"Maximum of Affiliate Balance","Massimo del bilancio affiliato"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Il saldo massimo di affiliazione. L'affiliato non può ottenere la commissione se il saldo è uguale a questo valore. Vuoto o Zero non è alcuna limitazione."
"Allow negative balance","Consenti un saldo negativo"
"Commission Configuration","Configurazione della Commissione"
"Earn commission from tax","Guadagna provvigioni dalla tassa"
"Earn commission from shipping fee","Guadagna commissione dalla tassa di spedizione"
"Commission calculation process","Processo di calcolo della Commissione"
"Allow Affiliate receiving commission when Invoice created","Consenti agli affiliati di ricevere commissione quando la fattura è stata creata"
"Hold commission transactions for","Tenere le transazioni delle commissioni per"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Deduce la commissione dall'equilibrio affiliato quando l'ordine viene rimborsato / annullato"
"Withdraw Configuration","Estrarre la configurazione"
"Allow withdraw request","Consenti la richiesta di recesso"
"Payment Methods","Modalità di pagamento"
"The minimum balance in affiliate account for requesting withdraw","Il saldo minimo dell'account affiliato per richiedere il ritiro"
"Minimum withdraw amount","Importo minimo di recesso"
"Include Fee","Includa la tariffa"
"Maximum withdraw amount","Importo massimo di recesso"
"Email Configuration","Configurazione e-mail"
"Email Sender","Email Mittente"
"Account Email","Account e-mail"
"Send Welcome Email","Invia e-mail di benvenuto"
"Welcome Email","Benvenuto Email"
"Welcome Email After Account Approved","Benvenuto Email dopo l'approvazione dell'account"
"This email will be sent instead of welcome email, after approving account.","Questa e-mail verrà inviata invece di un'e-mail di benvenuto, dopo aver approvato l'account."
"Transaction Email","Email di transazione"
"Send Transaction Email","Invia il messaggio di transazione"
"Update Balance Email","Aggiorna Email Balance"
"Withdraw Email","Estrarre la posta elettronica"
"Send Withdraw Email","Invia invia email"
"Withdraw Complete Email","Ritirare la posta elettronica completa"
"Refer Friends Configuration","Fare riferimento alla configurazione degli amici"
"Enable Refer Friends Feature","Attiva funzionalità di funzionalità di riferimento"
"Refer Sharing Email","Consente di condividere la posta elettronica"
"Default Refer Url","Predefinito Riferisci Url"
"Select block to show referfriend description","Seleziona blocco per mostrare la descrizione del referfriend"
"Refer friend homepage content","Fare riferimento al contenuto della homepage dell'amico"
"AddThis.com ID","ID di AddThis.com"
"Use Cloudsponge to retrieve email contacts","Usa Cloudsponge per recuperare i contatti di posta elettronica"
"Cloudsponge Key","Key Cloudsponge"
"Sending Email Content","Invio di contenuti di posta elettronica"
"Default Email Subject","Predefinito posta elettronica"
"Default Email Body","Corpo di posta elettronica predefinito"
"Default Message Shared via Social","Messaggio predefinito condiviso tramite social"
"ID","ID"
"Email","E-mail"
"Phone","Telefono"
"ZIP/Post Code","Codice di avviamento postale"
"Country","Nazione"
"State/Province","Stato / Provincia"
"Signed-up Point","Punto firmato"
"Website","Sito web"
"Created At","Creato a"
"Add New Account","Aggiungi nuovo account"
"Delete Accounts","Elimina account"
"Are you sure you want to delete selected Accounts?","Sei sicuro di voler eliminare gli account selezionati?"
"Total Commission","Totale Commissione"
"Add New Banner","Aggiungi nuovo banner"
"Delete Banners","Elimina banner"
"Are you sure you want to delete selected banners?","Sei sicuro di voler eliminare i banner selezionati?"
"URL","URL"
"Campaign","Campagna"
"Created","Creato"
"Add New Campaign","Aggiungi nuova campagna"
"Delete Campaigns","Elimina campagne"
"Are you sure you wan't to delete selected Campaigns?","Sei sicuro di non eliminare le campagne selezionate?"
"Add New Group","Aggiungi nuovo gruppo"
"Delete Groups","Elimina gruppi"
"Are you sure you want to delete selected groups?","Sei sicuro di voler eliminare i gruppi selezionati?"
"Add New Transaction","Aggiungi nuova transazione"
"Complete Transactions","Transazioni complete"
"Are you sure you want to complete selected transactions?","Sei sicuro di voler completare le transazioni selezionate?"
"Cancel Transactions","Annulla le transazioni"
"Are you sure you want to cancel selected Transactions?","Sei sicuro di voler annullare le transazioni selezionate?"
"Action Type","Tipo di azione"
"Amount Used","Importo utilizzato"
"Amount Hold","Ammontare Hold"
"Current Balance","Bilancio corrente"
"Store","Negozio"
"Holding Date","Data di possesso"
"Add New Withdraw","Aggiungi nuovo ritiro"
"Approve","Approvare"
"Approve Withdraws","Approvare le richieste"
"Are you sure you want to approve selected Withdraws?","Sei sicuro di voler approvare le ritardate selezionate?"
"Cancel Withdraws","Annulla Annullamenti"
"Are you sure you want to cancel selected Withdraws?","Sei sicuro di voler annullare le ritirate selezionate?"
"Transaction ID","ID transazione"
"Transferred","trasferito"
"Account Dashboard","Dashboard dell'account"
"Home","Casa"
"Signup","Registrazione"
"Refer Friend","Consulta l'amico"
"Setting","Ambientazione"