"Affiliate Banners","アフィリエイトバナー"
"My Credit","私のクレジット"
"Available Balance","利用可能残高"
"Holding Balance","保有残高"
"Total Earned","合計獲得額"
"Total Paid","支払総額"
"Refer friends","友達に紹介する"
"Affiliate Setting","アフィリエイト設定"
"Signup Affiliate","サインアップアフィリエイト"
"My Withdrawal","私の引退"
"You can request withdraw when your balance equal or greater than %1","残高が%1以上の場合に引き出しをリクエストすることができます"
"You can withdraw a minimum %1","最低%1を引き出すことができます"
"You can withdraw a maximum %1","最大%1を引き出すことができます"
"Save Account","アカウントを保存"
"Cancel","キャンセル"
"New Account","新しいアカウント"
"Please select a customer","顧客を選択してください"
"Account Information","口座情報"
"Customer","顧客"
"Affiliate Group","アフィリエイトグループ"
"Referred By","紹介者"
"Affiliate account Id","アフィリエイトアカウントID"
"Status","状態"
"Email Notification","電子メール通知"
"Account","アカウント"
"Save and Continue Edit","保存して編集を継続"
"Edit Account '%1'","アカウント '%1'を編集"
"Balance","バランス"
"Referral Code","紹介コード"
"Save Banner","バナーを保存"
"Edit Banner ""%1""","バナーの編集 ""%1"""
"New Banner","新しいバナー"
"Banner Information","バナー情報"
"Title","タイトル"
"Content","コンテンツ"
"Url","URL"
"If empty, home page will be used.","空の場合は、ホームページが使用されます。"
"Related Campaign","関連キャンペーン"
"Only affiliates who are in above campaign can see this banner.","上記のキャンペーンに参加しているアフィリエイトのみがこのバナーを見ることができます。"
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","リンクにrel = ""nofollow""属性を設定します。"
"Save Campaign","キャンペーンを保存する"
"Edit Campaign ""%1""","キャンペーン「%1」を編集"
"New Campaign","新しいキャンペーン"
"Campaign Information","キャンペーン情報"
"Name","名"
"Description","説明"
"Website IDs","ウェブサイトID"
"Affiliate Groups","アフィリエイトグループ"
"Display","表示"
"Active From Date","日付からアクティブ"
"Active To Date","今日までアクティブ"
"Sort Order","ソート順"
"Pay Per Sale","ペイ・パー・バイ・セール"
"Add Commission Type and Value","コミッションタイプと値を追加する"
"Commissions","手数料"
"Percentage of grand total","総額の割合"
"Fixed amount","定額"
"Apply the rule only if the following conditions are met (leave blank for all products)","次の条件が満たされている場合にのみルールを適用します（すべての製品で空白のままにします）"
"Condition","調子"
"Conditions","条件"
"Discounts","割引"
"Discount","ディスカウント"
"Apply","適用"
"Discount Amount","割引額"
"Apply to Shipping Amount","送料に適用されます"
"Discount Description","割引の説明"
"Save Group","グループを保存"
"New Group","新しいグループ"
"Group Information","グループ情報"
"Group","グループ"
"label","ラベル"
"Reset banner traffic","バナートラフィックをリセットする"
"Save Transaction","取引を保存する"
"New Transaction","新規取引"
"Please select an affiliate account","アフィリエイトアカウントを選択してください"
"Transaction Information","取引情報"
"Amount","量"
"Add or subtract affiliate's balance. E.g: 99 or -99","アフィリエイトの残高を加算または減算します。例：99または-99"
"Holding Transaction For","保有取引"
"Transaction","トランザクション"
"Are you sure you want to cancel this transaction?","この取引をキャンセルしてもよろしいですか？"
"Are you sure you want to complete this transaction?","この取引を完了してもよろしいですか？"
"Complete","コンプリート"
"View Transaction '%1'","トランザクション '%1'を表示"
"Affiliate Account","アフィリエイトアカウント"
"Type","タイプ"
"Order","注文"
"Created by","によって作成された"
"This transaction will be holed to","この取引は、"
"Created Time","作成時刻"
"Save and Approve","保存して承認する"
"Save","セーブ"
"New Withdraw","新しい撤退"
"Withdraw Information","情報の取り消し"
"Include fee.","料金を含む。"
"Fee","費用"
"If empty, configuration value will be used.","空の場合、設定値が使用されます。"
"Payment Method","支払方法"
"Payment Detail","支払詳細"
"Withdraw","撤退"
"Edit Withdraw '%1'","撤回の編集 '%1'"
"Transfer Amount","振込額"
"Real amount will be transfer to affiliate.","実際の金額は、アフィリエイトに移行されます。"
"Affiliate Discount","アフィリエイトディスカウント"
"Please input your friends email address.","あなたの友達のメールアドレスを入力してください。"
"Saved successfully!","正常に保存！"
"Something went wrong while saving the Account.","アカウントの保存中に問題が発生しました。"
"Your account is not active. Please contact us.","あなたのアカウントはアクティブではありません。お問い合わせください。"
"You have to agree with term and conditions.","あなたは利用規約に同意する必要があります。"
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","おめでとう！あなたは登録に成功しました。あなたのアフィリエイトアカウントを確認し、承認されたら通知します。"
"Congratulations! You have successfully registered.","おめでとう！あなたは登録に成功しました。"
"The withdraw has been canceled successfully.","引き出しが正常にキャンセルされました。"
"Something went wrong while saving the request.","リクエストを保存している間に何か問題が発生しました。"
"Cannot find item.","アイテムを見つけることができません。"
"An error occur. Please contact us.","エラーが発生します。お問い合わせください。"
"Your request has been sent successfully. We will review your request and inform you once it's approved!","あなたのリクエストは正常に送信されました。お客様のリクエストを確認し、承認されたらお知らせいたします。"
"Your balance is not enough for request withdraw.","リクエストの取り消しに残高が足りません。"
"The withdraw amount have to equal or greater than %1","引き出し額は%1以上でなければなりません"
"The withdraw amount have to equal or less than %1","引き出し額は%1以下でなければなりません"
"This account no longer exists.","このアカウントは存在しません。"
"The Account has been deleted.","アカウントは削除されました。"
"Account to delete was not found.","削除するアカウントが見つかりませんでした。"
"Accounts","アカウント"
"Edit Account ""%1""","アカウントの編集 ""%1"""
"A total of %1 record(s) have been deleted.","合計%1件のレコードが削除されました。"
"The customer ""%1"" has registed as an affiliate already.","顧客 ""%1""はすでにアフィリエイトとして登録されています。"
"Cannot find account referred.","アカウントの参照が見つかりません。"
"The Account has been created successfully.","アカウントは正常に作成されました。"
"The Account has been saved successfully.","アカウントは正常に保存されました。"
"The Banner has been deleted.","バナーが削除されました。"
"Something went wrong while deleting banner data. Please review the action log and try again.","バナーデータを削除する際に問題が発生しました。処置のログを確認して、もう一度お試しください。"
"We cannot find a banner to delete.","削除するバナーは見つかりません。"
"This banner no longer exists.","このバナーはもう存在しません。"
"Banners","バナー"
"Edit Banner","編集バナー"
"This banner does not exist.","このバナーは存在しません。"
"You saved the banner.","あなたはバナーを保存しました。"
"We cannot save the banner.","バナーを保存することはできません。"
"This campaign no longer exists.","このキャンペーンはもう存在しません。"
"The Campaign has been deleted.","キャンペーンが削除されました。"
"Campaign to delete was not found.","削除するキャンペーンが見つかりませんでした。"
"Campaigns","キャンペーン"
"Please correct the data sent.","送信されたデータを修正してください。"
"Something went wrong while saving the Campaign.","キャンペーンの保存中に問題が発生しました。"
"The Campaign has been saved successfully.","キャンペーンは正常に保存されました。"
"Tier","ティア"
"Groups","グループ"
"Something went wrong while saving the Group.","グループの保存中に何か問題が発生しました。"
"Cannot remove this group","このグループを削除できません"
"The Group has been created successfully.","グループは正常に作成されました。"
"The Transaction has been canceled.","取引はキャンセルされました。"
"The Transaction has been completed.","取引は完了しました。"
"Transactions","トランザクション"
"View Transaction ""%1""","トランザクション「%1」を表示"
"This Transaction no longer exists.","この取引はもはや存在しません。"
"A total of %1 record(s) have been canceled.","合計%1件のレコードがキャンセルされました。"
"A total of %1 record(s) have been completed.","合計%1件のレコードが完了しました。"
"Account balance is not enough to create this transaction.","この取引を作成するには口座残高が足りません。"
"The Transaction has been created.","取引が作成されました。"
"Something went wrong while saving the Transaction.","取引を保存する際に何か問題が発生しました。"
"This withdrawal no longer exists.","この撤退はもはや存在しない。"
"Withdraws","撤退"
"Edit Withdraw ""%1""","撤回を編集する ""%1"""
"Edit Withdraw ""#%1""","撤回 ""＃%1""を編集"
"A total of %1 record(s) have been approved successfully.","合計%1個のレコードが正常に承認されました。"
"A total of %1 record(s) have been cancelled.","合計%1件のレコードがキャンセルされました。"
"The Withdraw has been saved.","引退は救われました。"
"Something went wrong while saving the Withdraw.","引き出しを保存している間に何かが間違っていました。"
"My Affiliate","私のアフィリエイト"
"My Credit (%1)","私の信用（%1）"
"Active","アクティブ"
"Inactive","非アクティブ"
"Need Approved","承認が必要"
"Enabled","有効"
"Disabled","無効"
"Percent of cart total","カートの合計の割合"
"Fixed amount discount for whole cart","カート全体の固定金額割引"
"Allow Guest","ゲストを許可する"
"Affiliate Member Only","アフィリエイトメンバーのみ"
"-- Please Select --","-  選んでください  -"
"Category page","カテゴリページ"
"Product page","製品ページ"
"Footer Link","フッターリンク"
"Top Link","トップリンク"
"Affiliate ID","アフィリエイトID"
"Affiliate Code","アフィリエイトコード"
"Hash","ハッシュ"
"Parameter","パラメータ"
"Address","住所"
"Paypal Email","Paypalのメール"
"Transaction Id","トランザクションID"
"Affiliate Campaign","アフィリエイトキャンペーン"
"Campaign %1","キャンペーン%1"
"Affiliate account must be existed.","アフィリエイトアカウントが存在する必要があります。"
"Transaction amount cannot be zero.","取引金額をゼロにすることはできません。"
"Account balance has been reached the limit. Please contact to store owner.","口座残高が上限に達しました。店主にご連絡ください。"
"Invalid transaction data for canceling.","キャンセルするトランザクションデータが無効です。"
"Account balance is not enough for canceling.","アカウントの残高がキャンセルには不十分です。"
"Invalid transaction data to complete.","完了するための無効なトランザクションデータ。"
"Maximum amount allowed in account balance is %1.","アカウントの残高に許可される最大金額は%1です。"
"Action model is invalid for %1","%1のアクションモデルが無効です"
"Changed by Admin","管理者によって変更されました"
"Get commission for order %1","注文%1の手数料を受け取る"
"Taken back commission for refunding order %1","%1払い戻し手数料を引き取る"
"Subtract balance for withdraw request","引き出し依頼の残高を差し引く"
"On Hold","保留"
"Completed","完了しました"
"Cancelled","キャンセル"
"Commission","手数料"
"Paid","有料"
"Admin","管理者"
"The amount request is not enough to pay for fee.","金額請求では料金を支払うには十分ではありません。"
"Cannot create transaction for this withdraw.","この取り消しのトランザクションを登録することはできません。"
"Invalid withdraw data for canceling.","キャンセルするデータを無効にしています。"
"Invalid withdraw data for approved.","承認されたデータを無効にしました。"
"Pending","保留中"
"The Account has been saved.","アカウントは保存されました。"
"Affiliate Welcome homepage content","アフィリエイト歓迎ホームページコンテンツ"
"Affiliate referfriend description","アフィリエイトの紹介者の説明"
"Affiliate terms & conditions","アフィリエイト利用規約"
"Delete ""%1""","""%1""を削除"
"Are you sure?","本気ですか？"
"Type (1st Order)","タイプ（1次）"
"Value (1st Order)","値（1次注文）"
"Type (Next orders)","タイプ（次の注文）"
"Value (Next orders)","値（次の注文）"
"Action","アクション"
"Add","追加"
"Delete","削除"
"No","いいえ"
"Yes","はい"
"Link","リンク"
"Preview","プレビュー"
"Copy and past this source code into your website or forum.","このソースコードをコピーしてあなたのウェブサイトやフォーラムに残してください。"
"No banner available","バナーなし"
"Credit Information","与信情報"
"Created Date","作成日"
"No transaction found!","トランザクションは見つかりませんでした。"
"Referral Url and Code","参照URLとコード"
"Refer Url","参照URL"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","このURLにアクセスするリフェラルは、サインアップまたは発注すると参照として接続されます。"
"Refer Code","参照コード"
"Referrals should enter the code in Coupon form at shopping cart page.","紹介はショッピングカートページのクーポンフォームにコードを入力する必要があります。"
"Refer Email","電子メールを参照"
"Referrals can enter your e-mail address when signing up affiliate account.","アフィリエイトアカウントにサインアップするときに紹介者があなたの電子メールアドレスを入力することができます。"
"Referral Via Social Networks","ソーシャルネットワークによる紹介"
"Send Invitation","招待状を送る"
"Enter your friends' emails separated by comma","友達のメールアドレスをコンマで区切って入力する"
"Add from Address Book","アドレス帳から追加"
"Subject","件名"
"Your message","あなたのメッセージ"
"Short Message","ショートメッセージ"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}}は、メールアカウントに基づいてお友達の名前に置き換えられます。あなたが何をしているかを知るまでは編集しないでください。"
"Send","送信"
"Affiliate Subscriptions","アフィリエイト登録"
"Receive affiliate email.","アフィリエイトの電子メールを受信します。"
"Affiliate Information","アフィリエイト情報"
"Customer email or Affiliate code","顧客の電子メールまたはアフィリエイトコード"
"Create an Account","アカウントを作成する"
"Request Withdraw","リクエストの撤回"
"Request Amount","請求額"
"Select Payment Method","支払い方法の選択"
"Withdraw Policy","ポリシーの撤回"
"Send Request","リクエストを送信する"
"Paypal Email Associate","Paypal Email Associate"
"Paypal Email Address","Paypalのメールアドレス"
"Withdraw History","引退の歴史"
"Requested Date","依頼日"
"Withdraw Method","引退方法"
"View","ビュー"
"Are you sure you want to cancel this withdraw?","キャンセルをキャンセルしてもよろしいですか？"
"No withdraw found!","引き出しは見つかりませんでした！"
"Requested Amount","要求額"
"Net. Amount","ネット。量"
"Resolve Date","解決日"
"Back","バック"
"%1 for first order.","%1は1次です。"
"%1 of Order Total for first order.","最初の注文の注文総額の%1"
"%1 of Order Profit for first order.","%1の注文利益の最初の注文。"
"%1 for next orders.","次の注文の場合は%1です。"
"%1 of Order Total for next orders.","次の注文の注文総額の%1"
"%1 of Order Profit for next orders.","次の注文の注文利益の%1です。"
"Discount policy","割引ポリシー"
"Valid Date","有効日"
"Always","常に"
"from","から"
"to","に"
"Affiliate account approved","アフィリエイトアカウントが承認されました"
"%name,","%name、"
"Welcome to our Affiliate program.","アフィリエイトプログラムへようこそ。"
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","あなたのアフィリエイトアカウントは承認され、アフィリエイトプログラムの優れた機能から始めましょう。"
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","アフィリエイトは完璧で興味深いMagentoの拡張機能で、あなたが協力者としての役割を担うビジネスモデルのようです。あなたは他の顧客を売り手の商品に勧めることができ、あなた自身のために大きなショッピングを公開することができます。これは、製品や個人のウェブサイトを必要としないが、インターネット上で収益を上げる方法です。"
"Specially, you will receive the typical and wonderful benefits following as:","特に、次のような典型的で素晴らしい利点を受け取ります："
"Earning commission","獲得手数料"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","アフィリエイトに来るだけで、あなたは売り手のウェブサイトから任意の製品を選択し、それを必要とする人に製品のシードリンクを張ります。呈示された人がアイテムを購入すると、注文当たりのパーセンテージが得られます。"
"Using available template","使用可能なテンプレートの使用"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","さらに、電子メール、バナー、ニュースレターなどのテンプレートは、販売者のWebサイトから提供されます。これらのテンプレートを使用してターゲット顧客に招待状を送信すると、ネットワークを簡単かつ完全に構築できます。"
"Tracking history activities","履歴アクティビティの追跡"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","アフィリエイトは、招待状、受取人の名前、利益などを送信するプロセスを管理することをサポートしています。したがって、あなた自身が詳細に従うことができます。"
"Giving cash when achieving the target","目標達成時に現金を与える"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","アフィリエイトは、商品やサービスを必要とせずにお金を稼ぐという面白い機会を与え、利用可能な広告方法で売り手のウェブサイトの商品を宣伝するだけです。彼らの収益が彼らが提供する金利に達するまで、彼らは彼らの口座から金を引き出すでしょう。"
"Thank you again, %store_name","再度ありがとうございます、%store_name"
"Welcome to our affiliate program","アフィリエイトプログラムへようこそ"
"When using our affiliate program, you can use basics features in the following:","アフィリエイトプログラムを使用する際には、以下の基本機能を使用できます。"
"Let come to Affiliate program to experience attractive opportunities!","魅力的な機会を体験するためにアフィリエイトプログラムに来てみましょう！"
"Your balance has been updated!","残高が更新されました！"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","手数料や手数料の関連情報を入手できるように、残高を更新しました。このメールは、あなたの活動を積極的に制御するのに役立ちます。"
"The transaction detail","取引の詳細"
"Transaction title: %title","取引のタイトル：%title"
"Transaction amount: %amount","取引金額：%amount"
"Transaction status: %status","取引ステータス：%status"
"Current balance: %balance","現在の残高：%b残高"
"Withdraw request complete!","撤回要求が完了しました！"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","％request_atで作成された撤回リクエストが完了したことをお知らせしたいと思います。あなたはあなたが選んだ支払い方法に応じて数日後にお金を受け取るでしょう。"
"The withdraw detail","引き出しの詳細"
"Withdraw Id: %withdraw_id","引退ID：％withdraw_id"
"Transfer Amount: %amount","振込金額：%amount"
"Request Amount: %amount","依頼金額：%amount"
"Tax/fee: %fee","税金/手数料：%fee"
"Payment Method: %payment","お支払い方法：%payment"
"You can check your withdraw by ","あなたは撤回を"
"logging into your account","あなたのアカウントにログインする"
"Affiliate","アフィリエイト"
"General","一般"
"Enable","有効にする"
"Cookie Expiration","Cookieの有効期限"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","日々）。管理者がこのプログラムのCookieを保存する日数。デフォルト：365、<a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">詳細</a>"
"Allow overriding cookies","クッキーの上書きを許可する"
"Allow overriding exist affiliate cookie.","既存のアフィリエイトCookieを上書きできるようにする。"
"Show Affiliate link on","アフィリエイトリンクを表示"
"Default page","デフォルトページ"
"Affiliate homepage content","アフィリエイトホームページのコンテンツ"
"Select CMS Static Block.","CMS Static Blockを選択します。"
"Display Policy Page","ポリシーページを表示する"
"Select CMS Page for Policy Page","ポリシーページのCMSページを選択"
"Select CMS page","CMSページを選択"
"Affiliate URL","アフィリエイトURL"
"URL Style","URLスタイル"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","例：<br />パラメータ：http://example.com/?<strong>c=123</strong><br />ハッシュ：http：//example.com<strong>#c123</strong>"
"Custom parameter","カスタムパラメータ"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","これは、次のようなURLで使用されます：？<span style=""font-weight:bold;color:red;"">c</span> = 123 <br />または＃<span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","パラメータ値"
"The length of Affiliate code","アフィリエイトコードの長さ"
"It should be greater than 3, and smaller than 32. Default is 6.","3より大きく、32未満でなければなりません。デフォルトは6です。"
"Account Configuration","アカウント設定"
"Affiliate Sign up","アフィリエイト登録"
"Default Affiliate Group","デフォルトアフィリエイトグループ"
"Require admin's approval","管理者の承認が必要"
"Checked ""Email notification"" by default","デフォルトで「電子メール通知」がチェックされています"
"Term and condition","取引条件"
"Enable Terms and Conditions","利用規約を有効にする"
"Checkbox Text","チェックボックスのテキスト"
"Terms and Conditions Title","利用規約タイトル"
"Terms and Conditions Content","利用規約"
"Select CMS Block.","CMSブロックを選択します。"
"Checkbox is checked by default","チェックボックスはデフォルトでオンになっています"
"Account Balance","勘定残高"
"Maximum of Affiliate Balance","アフィリエイト残高の最大値"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","アフィリエイトの最大残高。アフィリエイトは、残高がこの値と等しい場合に手数料を得ることはできません。空またはゼロは制限がありません。"
"Allow negative balance","負の残高を許可する"
"Commission Configuration","コミッション構成"
"Earn commission from tax","税金から手数料を得る"
"Earn commission from shipping fee","手数料から手数料を得る"
"Commission calculation process","コミッション計算プロセス"
"Allow Affiliate receiving commission when Invoice created","請求書の作成時にアフィリエイトに手数料を受け取ることを許可する"
"Hold commission transactions for","のための手数料取引を保持"
"Deduct commission from Affiliate's balance when order is refunded/canceled","注文が払い戻された/キャンセルされたときにアフィリエイトの残高からコミッションを控除する"
"Withdraw Configuration","設定を取り消す"
"Allow withdraw request","引き出し依頼を許可する"
"Payment Methods","お支払い方法"
"The minimum balance in affiliate account for requesting withdraw","引き出しを要求するアフィリエイトアカウントの最低残高"
"Minimum withdraw amount","最低引き出し額"
"Include Fee","料金を含む"
"Maximum withdraw amount","最大引き出し額"
"Email Configuration","メール設定"
"Email Sender","メール送信者"
"Account Email","アカウントメール"
"Send Welcome Email","ようこそメールを送信"
"Welcome Email","ようこそメール"
"Welcome Email After Account Approved","アカウント承認後のウェルカムメール"
"This email will be sent instead of welcome email, after approving account.","このメールは、アカウントを承認した後、ウェルカムメールの代わりに送信されます。"
"Transaction Email","トランザクション電子メール"
"Send Transaction Email","トランザクション電子メールを送信"
"Update Balance Email","残高メールを更新する"
"Withdraw Email","電子メールを取り消す"
"Send Withdraw Email","送信メールを撤回する"
"Withdraw Complete Email","完全なメールを撤回"
"Refer Friends Configuration","友人の設定を参照する"
"Enable Refer Friends Feature","参照友だち機能を有効にする"
"Refer Sharing Email","参照共有メール"
"Default Refer Url","デフォルト参照URL"
"Select block to show referfriend description","参照先の説明を表示するブロックを選択"
"Refer friend homepage content","友人のホームページの内容を参照する"
"AddThis.com ID","AddThis.com ID"
"Use Cloudsponge to retrieve email contacts","Cloudspongeを使用して電子メールの連絡先を取得する"
"Cloudsponge Key","Cloudsponge Key"
"Sending Email Content","電子メールコンテンツの送信"
"Default Email Subject","デフォルトの電子メールの件名"
"Default Email Body","デフォルトのメール本文"
"Default Message Shared via Social","社会から共有されるデフォルトのメッセージ"
"ID","ID"
"Email","Eメール"
"Phone","電話"
"ZIP/Post Code","郵便番号/郵便番号"
"Country","国"
"State/Province","州/県"
"Signed-up Point","サインアップされたポイント"
"Website","ウェブサイト"
"Created At","作成者："
"Add New Account","新しいアカウントを追加"
"Delete Accounts","アカウントの削除"
"Are you sure you want to delete selected Accounts?","選択したアカウントを削除してもよろしいですか？"
"Total Commission","トータルコミッション"
"Add New Banner","新しいバナーを追加"
"Delete Banners","バナーの削除"
"Are you sure you want to delete selected banners?","選択したバナーを削除してもよろしいですか？"
"URL","URL"
"Campaign","キャンペーン"
"Created","作成した"
"Add New Campaign","新しいキャンペーンを追加"
"Delete Campaigns","キャンペーンの削除"
"Are you sure you wan't to delete selected Campaigns?","選択したキャンペーンを削除したくないですか？"
"Add New Group","新しいグループを追加"
"Delete Groups","グループの削除"
"Are you sure you want to delete selected groups?","選択したグループを削除してもよろしいですか？"
"Add New Transaction","新しい取引を追加する"
"Complete Transactions","トランザクションの完了"
"Are you sure you want to complete selected transactions?","選択した取引を完了してもよろしいですか？"
"Cancel Transactions","トランザクションのキャンセル"
"Are you sure you want to cancel selected Transactions?","選択した取引をキャンセルしてもよろしいですか？"
"Action Type","アクションタイプ"
"Amount Used","使用量"
"Amount Hold","金額保留"
"Current Balance","経常収支"
"Store","格納"
"Holding Date","開催日"
"Add New Withdraw","新しい撤退を追加する"
"Approve","承認する"
"Approve Withdraws","撤退を承認する"
"Are you sure you want to approve selected Withdraws?","選択した撤退を承認してもよろしいですか？"
"Cancel Withdraws","取り消しを取り消す"
"Are you sure you want to cancel selected Withdraws?","選択した撤退をキャンセルしてもよろしいですか？"
"Transaction ID","トランザクションID"
"Transferred","転送された"
"Account Dashboard","アカウントダッシュボード"
"Home","ホーム"
"Signup","サインアップ"
"Refer Friend","友達に紹介する"
"Setting","設定"