"Affiliate Banners","제휴 배너"
"My Credit","나의 크레딧"
"Available Balance","사용 가능한 잔액"
"Holding Balance","보유 잔액"
"Total Earned","총 수입"
"Total Paid","총 지불액"
"Refer friends","친구에게 추천하기"
"Affiliate Setting","제휴 설정"
"Signup Affiliate","가입 제휴사"
"My Withdrawal","내 탈퇴"
"You can request withdraw when your balance equal or greater than %1","잔고가 %1 이상인 경우 철회를 요청할 수 있습니다."
"You can withdraw a minimum %1","최소 %1을 철회 할 수 있습니다."
"You can withdraw a maximum %1","최대 %1을 철회 할 수 있습니다."
"Save Account","계정 저장"
"Cancel","취소"
"New Account","새 계정"
"Please select a customer","고객을 선택하십시오."
"Account Information","계정 정보"
"Customer","고객"
"Affiliate Group","제휴 그룹"
"Referred By","추천자"
"Affiliate account Id","제휴 계정 ID"
"Status","지위"
"Email Notification","전자 메일 알림"
"Account","계정"
"Save and Continue Edit","저장하고 계속하기 편집"
"Edit Account '%1'","계정 '%1'수정"
"Balance","밸런스"
"Referral Code","추천 코드"
"Save Banner","배너 저장"
"Edit Banner ""%1""","배너 '%1'수정"
"New Banner","새 배너"
"Banner Information","배너 정보"
"Title","표제"
"Content","함유량"
"Url","URL"
"If empty, home page will be used.","비어 있으면 홈 페이지가 사용됩니다."
"Related Campaign","관련 캠페인"
"Only affiliates who are in above campaign can see this banner.","위의 캠페인에 속한 제휴사 만이 배너를 볼 수 있습니다."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","링크에 rel = ""nofollow""속성을 추가하십시오."
"Save Campaign","캠페인 저장"
"Edit Campaign ""%1""","캠페인 '%1'수정"
"New Campaign","새 캠페인"
"Campaign Information","캠페인 정보"
"Name","이름"
"Description","기술"
"Website IDs","웹 사이트 ID"
"Affiliate Groups","제휴 단체"
"Display","디스플레이"
"Active From Date","날짜로부터 활성"
"Active To Date","활성 날짜"
"Sort Order","정렬 순서"
"Pay Per Sale","판매 별 지불"
"Add Commission Type and Value","커미션 유형 및 값 추가"
"Commissions","커미션"
"Percentage of grand total","총계의 백분율"
"Fixed amount","정액"
"Apply the rule only if the following conditions are met (leave blank for all products)","다음 조건이 충족되는 경우에만 규칙을 적용하십시오 (모든 제품에 대해 비워 두십시오)."
"Condition","조건"
"Conditions","정황"
"Discounts","할인"
"Discount","할인"
"Apply","대다"
"Discount Amount","할인 금액"
"Apply to Shipping Amount","배송 금액 적용"
"Discount Description","할인 설명"
"Save Group","그룹 저장"
"New Group","새 그룹"
"Group Information","그룹 정보"
"Group","그룹"
"label","상표"
"Reset banner traffic","배너 트래픽 재설정"
"Save Transaction","거래 저장"
"New Transaction","새 거래"
"Please select an affiliate account","제휴사 계정을 선택하십시오."
"Transaction Information","거래 정보"
"Amount","양"
"Add or subtract affiliate's balance. E.g: 99 or -99","제휴사 잔액을 더하거나 뺍니다. 예 : 99 또는 -99"
"Holding Transaction For","지주 거래"
"Transaction","트랜잭션"
"Are you sure you want to cancel this transaction?","이 거래를 취소 하시겠습니까?"
"Are you sure you want to complete this transaction?","이 거래를 완료 하시겠습니까?"
"Complete","완전한"
"View Transaction '%1'","거래 '%1'보기"
"Affiliate Account","제휴 계정"
"Type","유형"
"Order","주문"
"Created by","작성자 :"
"This transaction will be holed to","이 거래는"
"Created Time","생성 시간"
"Save and Approve","저장 및 승인"
"Save","구하다"
"New Withdraw","새로운 철수"
"Withdraw Information","정보 철회"
"Include fee.","수수료를 포함하십시오."
"Fee","보수"
"If empty, configuration value will be used.","비어 있으면 구성 값이 사용됩니다."
"Payment Method","지불 방법"
"Payment Detail","지불 세부 정보"
"Withdraw","빼다"
"Edit Withdraw '%1'","철회 편집 '%1'"
"Transfer Amount","이전 금액"
"Real amount will be transfer to affiliate.","실제 금액은 제휴사로 이전됩니다."
"Affiliate Discount","제휴사 할인"
"Please input your friends email address.","친구 이메일 주소를 입력하십시오."
"Saved successfully!","성공적으로 저장되었습니다."
"Something went wrong while saving the Account.","계정을 저장하는 동안 문제가 발생했습니다."
"Your account is not active. Please contact us.","귀하의 계정이 활성화되어 있지 않습니다. 문의하시기 바랍니다."
"You have to agree with term and conditions.","이용 약관에 동의해야합니다."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","치하! 등록을 완료했습니다. 귀하의 제휴사 계정을 검토하고 승인되면 알려 드리겠습니다."
"Congratulations! You have successfully registered.","치하! 등록을 완료했습니다."
"The withdraw has been canceled successfully.","철회가 성공적으로 취소되었습니다."
"Something went wrong while saving the request.","요청을 저장하는 동안 문제가 발생했습니다."
"Cannot find item.","항목을 찾을 수 없습니다."
"An error occur. Please contact us.","오류가 발생합니다. 문의하시기 바랍니다."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","요청이 성공적으로 전송되었습니다. 귀하의 요청을 검토하고 승인되면 알려 드리겠습니다."
"Your balance is not enough for request withdraw.","요청 취소에 대한 잔액만으로는 충분하지 않습니다."
"The withdraw amount have to equal or greater than %1","인출 금액이 %1 이상이어야합니다."
"The withdraw amount have to equal or less than %1","인출 금액은 %1 이하 여야합니다."
"This account no longer exists.","이 계정은 더 이상 존재하지 않습니다."
"The Account has been deleted.","계정이 삭제되었습니다."
"Account to delete was not found.","삭제할 계정을 찾을 수 없습니다."
"Accounts","계정"
"Edit Account ""%1""","계정 수정 ""%1"""
"A total of %1 record(s) have been deleted.","총 %1 개의 레코드가 삭제되었습니다."
"The customer ""%1"" has registed as an affiliate already.","고객 ""%1""은 이미 제휴사로 등록되어 있습니다."
"Cannot find account referred.","추천 된 계정을 찾을 수 없습니다."
"The Account has been created successfully.","계정이 성공적으로 생성되었습니다."
"The Account has been saved successfully.","계정이 성공적으로 저장되었습니다."
"The Banner has been deleted.","배너가 삭제되었습니다."
"Something went wrong while deleting banner data. Please review the action log and try again.","배너 데이터를 삭제하는 동안 문제가 발생했습니다. 작업 로그를 검토하고 다시 시도하십시오."
"We cannot find a banner to delete.","삭제할 배너를 찾을 수 없습니다."
"This banner no longer exists.","이 배너는 더 이상 존재하지 않습니다."
"Banners","배너"
"Edit Banner","배너 편집"
"This banner does not exist.","이 배너는 존재하지 않습니다."
"You saved the banner.","배너를 저장했습니다."
"We cannot save the banner.","우리는 배너를 저장할 수 없습니다."
"This campaign no longer exists.","이 캠페인은 더 이상 존재하지 않습니다."
"The Campaign has been deleted.","캠페인이 삭제되었습니다."
"Campaign to delete was not found.","삭제할 캠페인을 찾을 수 없습니다."
"Campaigns","캠페인"
"Please correct the data sent.","전송 된 데이터를 수정하십시오."
"Something went wrong while saving the Campaign.","캠페인을 저장하는 동안 문제가 발생했습니다."
"The Campaign has been saved successfully.","캠페인이 성공적으로 저장되었습니다."
"Tier","층"
"Groups","여러 떼"
"Something went wrong while saving the Group.","그룹을 저장하는 동안 문제가 발생했습니다."
"Cannot remove this group","이 그룹을 삭제할 수 없습니다."
"The Group has been created successfully.","그룹이 성공적으로 생성되었습니다."
"The Transaction has been canceled.","거래가 취소되었습니다."
"The Transaction has been completed.","거래가 완료되었습니다."
"Transactions","업무"
"View Transaction ""%1""","거래 '%1'보기"
"This Transaction no longer exists.","이 거래가 더 이상 존재하지 않습니다."
"A total of %1 record(s) have been canceled.","총 %1 개의 레코드가 취소되었습니다."
"A total of %1 record(s) have been completed.","총 %1 개의 레코드가 완료되었습니다."
"Account balance is not enough to create this transaction.","계정 잔액만으로는이 거래를 생성 할 수 없습니다."
"The Transaction has been created.","거래가 생성되었습니다."
"Something went wrong while saving the Transaction.","거래를 저장하는 동안 문제가 발생했습니다."
"This withdrawal no longer exists.","이 철수는 더 이상 존재하지 않습니다."
"Withdraws","인출"
"Edit Withdraw ""%1""","철회 편집 ""%1"""
"Edit Withdraw ""#%1""","철수 편집 ""# %1"""
"A total of %1 record(s) have been approved successfully.","총 %1 개의 레코드가 성공적으로 승인되었습니다."
"A total of %1 record(s) have been cancelled.","총 %1 개의 레코드가 취소되었습니다."
"The Withdraw has been saved.","철수가 저장되었습니다."
"Something went wrong while saving the Withdraw.","인출을 저장하는 동안 문제가 발생했습니다."
"My Affiliate","내 제휴사"
"My Credit (%1)","내 신용 (%1)"
"Active","유효한"
"Inactive","비활성"
"Need Approved","승인이 필요함"
"Enabled","사용"
"Disabled","장애인"
"Percent of cart total","총 카트 비율"
"Fixed amount discount for whole cart","전체 카트에 대한 고정 금액 할인"
"Allow Guest","게스트 허용"
"Affiliate Member Only","제휴 회원 전용"
"-- Please Select --","-- 선택 해주세요 --"
"Category page","카테고리 페이지"
"Product page","제품 페이지"
"Footer Link","바닥 글 링크"
"Top Link","상위 링크"
"Affiliate ID","제휴사 ID"
"Affiliate Code","제휴 코드"
"Hash","해시시"
"Parameter","매개 변수"
"Address","주소"
"Paypal Email","페이팔 이메일"
"Transaction Id","거래 ID"
"Affiliate Campaign","제휴 캠페인"
"Campaign %1","캠페인 %1"
"Affiliate account must be existed.","제휴 계정이 있어야합니다."
"Transaction amount cannot be zero.","거래 금액은 0 일 수 없습니다."
"Account balance has been reached the limit. Please contact to store owner.","계정 잔액 한도에 도달했습니다. 상점 주인에게 연락하십시오."
"Invalid transaction data for canceling.","취소 할 거래 데이터가 잘못되었습니다."
"Account balance is not enough for canceling.","계정 잔액만으로는 취소 할 수 없습니다."
"Invalid transaction data to complete.","완료 할 유효하지 않은 트랜잭션 데이터."
"Maximum amount allowed in account balance is %1.","계정 잔액에서 허용되는 최대 금액은 %1입니다."
"Action model is invalid for %1","%1의 작업 모델이 잘못되었습니다."
"Changed by Admin","관리자가 변경"
"Get commission for order %1","%1 주문 수수료 받기"
"Taken back commission for refunding order %1","환불 주문 %1에 대한 수수료 반납"
"Subtract balance for withdraw request","인출 요청에 대한 잔액 빼기"
"On Hold","보류 중"
"Completed","완료 됨"
"Cancelled","취소 된"
"Commission","위원회"
"Paid","유료"
"Admin","관리자"
"The amount request is not enough to pay for fee.","금액 청구로 수수료를 지불하기에 충분하지 않습니다."
"Cannot create transaction for this withdraw.","이 인출을위한 거래를 생성 할 수 없습니다."
"Invalid withdraw data for canceling.","취소 할 데이터를 잘못 입력했습니다."
"Invalid withdraw data for approved.","승인 된 데이터를 취소했습니다."
"Pending","대기중인"
"The Account has been saved.","계정이 저장되었습니다."
"Affiliate Welcome homepage content","제휴 환영 홈 페이지 콘텐츠"
"Affiliate referfriend description","제휴사 추천 친구 설명"
"Affiliate terms & conditions","제휴사 이용 약관"
"Delete ""%1""","'%1'삭제"
"Are you sure?","확실합니까?"
"Type (1st Order)","유형 (1 차 주문)"
"Value (1st Order)","가치 (1 차 주문)"
"Type (Next orders)","유형 (다음 주문)"
"Value (Next orders)","가치 (다음 주문)"
"Action","동작"
"Add","더하다"
"Delete","지우다"
"No","아니"
"Yes","예"
"Link","링크"
"Preview","시사"
"Copy and past this source code into your website or forum.","이 소스 코드를 복사하여 웹 사이트 또는 포럼에 게시하십시오."
"No banner available","사용 가능한 배너가 없습니다."
"Credit Information","신용 정보"
"Created Date","만든 날짜"
"No transaction found!","거래 없음"
"Referral Url and Code","추천 URL 및 코드"
"Refer Url","참조 URL"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","이 URL에 액세스하는 추천은 일단 가입하거나 주문하면 추천으로 연결됩니다."
"Refer Code","코드 참조"
"Referrals should enter the code in Coupon form at shopping cart page.","추천은 장바구니 페이지의 쿠폰 양식에 코드를 입력해야합니다."
"Refer Email","이메일 참조"
"Referrals can enter your e-mail address when signing up affiliate account.","제휴사 계정을 등록 할 때 추천서에 전자 메일 주소를 입력 할 수 있습니다."
"Referral Via Social Networks","소셜 네트워크를 통한 추천"
"Send Invitation","초대장 보내기"
"Enter your friends' emails separated by comma","친구의 이메일을 쉼표로 구분하여 입력하십시오."
"Add from Address Book","주소록에서 추가"
"Subject","제목"
"Your message","귀하의 메시지"
"Short Message","짧은 메시지"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}}은 (는) 이메일 계정을 기반으로 한 친구 이름으로 바뀝니다. 자신이하는 일을 알기 전까지는 편집하지 마십시오."
"Send","보내다"
"Affiliate Subscriptions","제휴 구독"
"Receive affiliate email.","제휴 전자 메일 수신."
"Affiliate Information","제휴사 정보"
"Customer email or Affiliate code","고객 이메일 또는 제휴사 코드"
"Create an Account","계정 만들기"
"Request Withdraw","요청 철수"
"Request Amount","요청 금액"
"Select Payment Method","지불 방법 선택"
"Withdraw Policy","철회 정책"
"Send Request","요청 보내기"
"Paypal Email Associate","Paypal Email Associate"
"Paypal Email Address","페이팔 이메일 주소"
"Withdraw History","역사 철회"
"Requested Date","요청 날짜"
"Withdraw Method","인출 방법"
"View","전망"
"Are you sure you want to cancel this withdraw?","취소를 취소 하시겠습니까?"
"No withdraw found!","철회가 발견되지 않았습니다!"
"Requested Amount","요청 금액"
"Net. Amount","그물. 양"
"Resolve Date","날짜 결정"
"Back","뒤로"
"%1 for first order.","첫 번째 주문은 %1입니다."
"%1 of Order Total for first order.","첫 주문에 대한 주문 합계 %1"
"%1 of Order Profit for first order.","첫 주문에 대해 %1의 주문 이익입니다."
"%1 for next orders.","다음 주문 %1"
"%1 of Order Total for next orders.","다음 주문의 주문 총계 중 %1입니다."
"%1 of Order Profit for next orders.","다음 주문에 대해 %1의 주문 이익입니다."
"Discount policy","할인 정책"
"Valid Date","유효한 날짜"
"Always","항상"
"from","...에서"
"to","에"
"Affiliate account approved","제휴사 승인"
"%name,","%name,"
"Welcome to our Affiliate program.","Affiliate 프로그램에 오신 것을 환영합니다."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","귀하의 제휴 계정이 승인되며 제휴 프로그램의 뛰어난 기능부터 시작하십시오."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","제휴사는 완벽하고 흥미로운 Magento 확장이며 공동 작업자로서의 역할을 담당하는 비즈니스 모델 인 것처럼 보입니다. 다른 고객에게 판매자의 제품을 추천 한 다음 큰 쇼핑을 공개적으로 만들 수 있습니다. 이것은 제품이나 개인 웹 사이트가 필요하지는 않지만 인터넷에서 수익을 올리는 방법입니다."
"Specially, you will receive the typical and wonderful benefits following as:","특별히 다음과 같은 전형적이고 훌륭한 혜택을 받게됩니다."
"Earning commission","수익 커미션"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","제휴사에 오면 간단하게 판매자의 웹 사이트에서 제품을 선택하고 필요한 제품에 제품을 연결합니다. 발표자가 아이템을 구매하면 주문 당 퍼센트를 얻을 수 있습니다."
"Using available template","사용 가능한 템플릿 사용"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","또한 판매자의 웹 사이트에서 전자 메일, 배너, 뉴스 레터 등과 같은 템플릿을 제공합니다. 이 템플릿을 통해 대상 고객에게 초대장을 보내면 네트워크를 쉽고 완벽하게 구축 할 수 있습니다."
"Tracking history activities","활동 내역 추적"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","제휴사는 귀하가 초대장, 수취인 이름, 이익 등을 보내는 프로세스를 관리 할 수 ​​있도록 지원합니다. 따라서 귀하는 자신의 작업을 자세히 수행 할 수 있습니다."
"Giving cash when achieving the target","목표 달성시 현금 지급"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","제휴사는 제품이나 서비스가 필요없는 동안 수익을 올릴 수있는 흥미로운 기회를 제공하며, 이용 가능한 광고 방법으로 판매자 웹 사이트의 제품을 광고합니다. 그들이 제공 한 수익에 도달 할 때까지 그들은 자신의 계좌에서 돈을 인출 할 것입니다."
"Thank you again, %store_name","다시 감사합니다. %store_name"
"Welcome to our affiliate program","우리의 제휴 프로그램에 오신 것을 환영합니다."
"When using our affiliate program, you can use basics features in the following:","Google 제휴 프로그램을 사용할 때 다음과 같은 기본 기능을 사용할 수 있습니다."
"Let come to Affiliate program to experience attractive opportunities!","매력적인 기회를 경험하기 위해 제휴 프로그램에 참여하십시오!"
"Your balance has been updated!","잔액이 업데이트되었습니다."
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","커미션이나 지불 관련 정보를 얻을 수 있도록 균형을 업데이트했습니다. 이 이메일은 귀하의 활동을 적극적으로 통제하는 데 도움이됩니다."
"The transaction detail","거래 내역"
"Transaction title: %title","거래 제목 : %title"
"Transaction amount: %amount","거래 금액 : %amount"
"Transaction status: %status","거래 상태 : %s 태스킹"
"Current balance: %balance","현재 잔액 : %b 잔액"
"Withdraw request complete!","철회 요청 완료!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","% request_at에서 생성 된 철회 요청이 완료되었음을 알려드립니다. 당신은 당신이 선택한 지불 방법에 따라 며칠 후에 돈을받을 것입니다."
"The withdraw detail","철회 세부 사항"
"Withdraw Id: %withdraw_id","철회 ID : % withdraw_id"
"Transfer Amount: %amount","이전 금액 : %amount"
"Request Amount: %amount","요청 금액 : %amount"
"Tax/fee: %fee","세금 / 수수료 : %fee"
"Payment Method: %payment","지불 방법 : %payment"
"You can check your withdraw by ","철수를 다음과 같이 확인할 수 있습니다."
"logging into your account","귀하의 계정에 로그인"
"Affiliate","제휴사"
"General","일반"
"Enable","사용"
"Cookie Expiration","쿠키 만료"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","하루. 관리자가이 프로그램의 쿠키를 저장하는 기간 (일)입니다. 기본값 : 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank""> 자세히 알아보기 </a>"
"Allow overriding cookies","쿠키 무시 허용"
"Allow overriding exist affiliate cookie.","존재하는 제휴 쿠키를 무시할 수 있습니다."
"Show Affiliate link on","제휴사 링크 표시"
"Default page","기본 페이지"
"Affiliate homepage content","제휴 홈페이지 콘텐츠"
"Select CMS Static Block.","CMS 정적 블록을 선택하십시오."
"Display Policy Page","정책 페이지 표시"
"Select CMS Page for Policy Page","정책 페이지의 CMS 페이지 선택"
"Select CMS page","CMS 페이지 선택"
"Affiliate URL","제휴 URL"
"URL Style","URL 스타일"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","예 : <br /> 매개 변수 : http://example.com/?<strong>c=123</strong><br /> 해시 : http : //example.com<strong>#c123</strong>"
"Custom parameter","맞춤 매개 변수"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","다음과 같은 URL에 사용됩니다 :? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br /> 또는 <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","매개 변수 값"
"The length of Affiliate code","제휴 코드의 길이"
"It should be greater than 3, and smaller than 32. Default is 6.","3보다 크고 32보다 작아야합니다. 기본값은 6입니다."
"Account Configuration","계정 구성"
"Affiliate Sign up","제휴사 가입"
"Default Affiliate Group","기본 제휴 그룹"
"Require admin's approval","관리자의 승인 필요"
"Checked ""Email notification"" by default","""전자 메일 알림""기본적으로 선택됨"
"Term and condition","용어 및 조건"
"Enable Terms and Conditions","이용 약관 사용"
"Checkbox Text","확인란 텍스트"
"Terms and Conditions Title","이용 약관 제목"
"Terms and Conditions Content","이용 약관 내용"
"Select CMS Block.","CMS 블록을 선택하십시오."
"Checkbox is checked by default","확인란은 기본적으로 선택되어 있습니다."
"Account Balance","계정 잔액"
"Maximum of Affiliate Balance","제휴 잔액의 최대 한도"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","제휴사의 최대 잔액. 제휴사가이 금액과 동일한 경우 커미션을받을 수 없습니다. Empty 또는 Zero는 제한이 없습니다."
"Allow negative balance","마이너스 잔액 허용"
"Commission Configuration","위원회 구성"
"Earn commission from tax","세금에서 수수료를 올리십시오."
"Earn commission from shipping fee","수수료를 수수료로 적립하십시오."
"Commission calculation process","위원회 계산 프로세스"
"Allow Affiliate receiving commission when Invoice created","송장 생성시 제휴사가 수수료를받을 수 있도록 허용"
"Hold commission transactions for","에 대한 커미션 트랜잭션 보류"
"Deduct commission from Affiliate's balance when order is refunded/canceled","주문이 환불 / 취소되었을 때 제휴사 잔액에서 커미션 차감"
"Withdraw Configuration","철회 구성"
"Allow withdraw request","인출 요청 허용"
"Payment Methods","지불 방법"
"The minimum balance in affiliate account for requesting withdraw","인출 요청에 대한 제휴 계정의 최소 잔액"
"Minimum withdraw amount","최소 인출 금액"
"Include Fee","수수료 포함"
"Maximum withdraw amount","최대 인출 금액"
"Email Configuration","전자 메일 구성"
"Email Sender","이메일 발신자"
"Account Email","계정 이메일"
"Send Welcome Email","환영 전자 메일 보내기"
"Welcome Email","환영 전자 메일"
"Welcome Email After Account Approved","계정 승인 후 환영 이메일"
"This email will be sent instead of welcome email, after approving account.","이 이메일은 계정을 승인 한 후 환영 이메일 대신 전송됩니다."
"Transaction Email","거래 이메일"
"Send Transaction Email","거래 이메일 보내기"
"Update Balance Email","잔액 이메일 업데이트"
"Withdraw Email","이메일 철회"
"Send Withdraw Email","보내기 이메일 보내기"
"Withdraw Complete Email","완전한 이메일 철회"
"Refer Friends Configuration","친구 구성 참조"
"Enable Refer Friends Feature","추천 친구 기능 사용"
"Refer Sharing Email","이메일 공유 참조"
"Default Refer Url","기본 참조 URL"
"Select block to show referfriend description","추천 사용자 설명을 표시 할 블록 선택"
"Refer friend homepage content","친구 홈페이지 내용 참조"
"AddThis.com ID","AddThis.com ID"
"Use Cloudsponge to retrieve email contacts","Cloudsponge를 사용하여 전자 메일 연락처 검색"
"Cloudsponge Key","Cloudsponge Key"
"Sending Email Content","이메일 내용 보내기"
"Default Email Subject","기본 이메일 제목"
"Default Email Body","기본 이메일 본문"
"Default Message Shared via Social","소셜을 통해 공유되는 기본 메시지"
"ID","신분증"
"Email","이메일"
"Phone","전화"
"ZIP/Post Code","우편 번호 / 우편 번호"
"Country","국가"
"State/Province","시 /도"
"Signed-up Point","가입 포인트"
"Website","웹 사이트"
"Created At","작성 시간"
"Add New Account","새 계정 추가"
"Delete Accounts","계정 삭제"
"Are you sure you want to delete selected Accounts?","선택한 계정을 삭제 하시겠습니까?"
"Total Commission","총위원회"
"Add New Banner","새 배너 추가"
"Delete Banners","배너 삭제"
"Are you sure you want to delete selected banners?","선택한 배너를 삭제 하시겠습니까?"
"URL","URL"
"Campaign","운동"
"Created","만들어진"
"Add New Campaign","새 캠페인 추가"
"Delete Campaigns","캠페인 삭제"
"Are you sure you wan't to delete selected Campaigns?","선택한 캠페인을 삭제하지 않으시겠습니까?"
"Add New Group","새 그룹 추가"
"Delete Groups","그룹 삭제"
"Are you sure you want to delete selected groups?","선택한 그룹을 삭제 하시겠습니까?"
"Add New Transaction","새 거래 추가"
"Complete Transactions","거래 완료"
"Are you sure you want to complete selected transactions?","선택한 거래를 완료 하시겠습니까?"
"Cancel Transactions","거래 취소"
"Are you sure you want to cancel selected Transactions?","선택한 거래를 취소 하시겠습니까?"
"Action Type","액션 유형"
"Amount Used","사용량"
"Amount Hold","금액 보류"
"Current Balance","현재의 균형"
"Store","저장"
"Holding Date","개최일"
"Add New Withdraw","새로 인출 추가"
"Approve","승인하다"
"Approve Withdraws","인출 승인"
"Are you sure you want to approve selected Withdraws?","선택한 인출을 승인 하시겠습니까?"
"Cancel Withdraws","취소 철회"
"Are you sure you want to cancel selected Withdraws?","선택한 철회를 취소 하시겠습니까?"
"Transaction ID","거래 ID"
"Transferred","이전 됨"
"Account Dashboard","계정 대시 보드"
"Home","집"
"Signup","가입"
"Refer Friend","추천 친구"
"Setting","환경"