"Affiliate Banners","Banery Affiliate"
"My Credit","Mój kredyt"
"Available Balance","Dostępne saldo"
"Holding Balance","Trzymanie równowagi"
"Total Earned","Łączna zarobiona"
"Total Paid","Pełna kwota"
"Refer friends","Poleć znajomemu"
"Affiliate Setting","Ustawienie Partnerski"
"Signup Affiliate","Rejestracja Affiliate"
"My Withdrawal","Moje wycofanie"
"You can request withdraw when your balance equal or greater than %1","Możesz poprosić o odstąpienie, gdy saldo jest równe lub większe niż %1"
"You can withdraw a minimum %1","Możesz cofnąć minimum %1"
"You can withdraw a maximum %1","Możesz wycofać maksymalnie %1"
"Save Account","Zapisz konto"
"Cancel","Anuluj"
"New Account","Nowe konto"
"Please select a customer","Proszę wybrać klienta"
"Account Information","informacje o koncie"
"Customer","Klient"
"Affiliate Group","Grupa stowarzyszona"
"Referred By","Zaproszono przez"
"Affiliate account Id","Identyfikator konta koncowego"
"Status","Status"
"Email Notification","Powiadomienie e-mail"
"Account","Konto"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Edit Account '%1'","Edytuj konto '%1'"
"Balance","Bilansowy"
"Referral Code","kod polecającego"
"Save Banner","Zapisz baner"
"Edit Banner ""%1""","Edytuj baner ""%1"""
"New Banner","Nowy baner"
"Banner Information","Informacje o banerze"
"Title","Tytuł"
"Content","Zadowolony"
"Url","Url"
"If empty, home page will be used.","Jeśli jest pusty, będzie używana strona domowa."
"Related Campaign","Kampania powiązana"
"Only affiliates who are in above campaign can see this banner.","Można zobaczyć ten sztandar tylko oddziałów, którzy są w powyższej kampanii."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Umieść atrybut rel = ""nofollow"" na link."
"Save Campaign","Zapisz kampanię"
"Edit Campaign ""%1""","Edytuj kampanię ""%1"""
"New Campaign","Nowa kampania"
"Campaign Information","Informacje o kampanii"
"Name","Nazwa"
"Description","Opis"
"Website IDs","Identyfikatory witryn internetowych"
"Affiliate Groups","Grupy partnerskie"
"Display","Pokaz"
"Active From Date","Aktywny od daty"
"Active To Date","Aktywny do daty"
"Sort Order","Sortuj kolejność"
"Pay Per Sale","Pay Per Sale"
"Add Commission Type and Value","Dodaj typ i wartość typu Komisji"
"Commissions","Komisje"
"Percentage of grand total","Procent całości"
"Fixed amount","Stała kwota"
"Apply the rule only if the following conditions are met (leave blank for all products)","Zastosuj regułę tylko wtedy, gdy spełnione są następujące warunki (pozostaw puste dla wszystkich produktów)"
"Condition","Stan"
"Conditions","Warunki"
"Discounts","Zniżki"
"Discount","Zniżka"
"Apply","Zastosować"
"Discount Amount","Kwota rabatu"
"Apply to Shipping Amount","Zastosuj do kwoty wysyłki"
"Discount Description","Opis rabatu"
"Save Group","Zapisz grupę"
"New Group","Nowa grupa"
"Group Information","Informacje o grupie"
"Group","Grupa"
"label","etykieta"
"Reset banner traffic","Zresetowanie ruchu banerowego"
"Save Transaction","Zapisz transakcję"
"New Transaction","Nowa transakcja"
"Please select an affiliate account","Proszę wybrać konto partnerskie"
"Transaction Information","Informacje o transakcji"
"Amount","Ilość"
"Add or subtract affiliate's balance. E.g: 99 or -99","Dodaj lub usuń saldo partnera. Np .: 99 lub -99"
"Holding Transaction For","Prowadzenie transakcji dla"
"Transaction","Transakcja"
"Are you sure you want to cancel this transaction?","Czy na pewno chcesz anulować tę transakcję?"
"Are you sure you want to complete this transaction?","Czy na pewno chcesz zakończyć tę transakcję?"
"Complete","Kompletny"
"View Transaction '%1'","Wyświetl transakcję '%1'"
"Affiliate Account","Konto partnerskie"
"Type","Rodzaj"
"Order","Zamówienie"
"Created by","Stworzone przez"
"This transaction will be holed to","Ta transakcja zostanie ukryta"
"Created Time","Czas utworzenia"
"Save and Approve","Zapisz i zaakceptuj"
"Save","Zapisać"
"New Withdraw","Nowy Wycofaj"
"Withdraw Information","Wycofaj informacje"
"Include fee.","Uwzględnij opłatę."
"Fee","Opłata"
"If empty, configuration value will be used.","Jeśli jest pusty, zostanie użyta wartość konfiguracji."
"Payment Method","Metoda płatności"
"Payment Detail","Szczegóły płatności"
"Withdraw","Wycofać"
"Edit Withdraw '%1'","Edytuj Wysuń '%1'"
"Transfer Amount","Kwota transferu"
"Real amount will be transfer to affiliate.","Rzeczywista kwota zostanie przekazana do oddziału."
"Affiliate Discount","Affiliate Discount"
"Please input your friends email address.","Wpisz swój adres e-mail znajomego."
"Saved successfully!","Zapisano pomyślnie!"
"Something went wrong while saving the Account.","Coś poszło nie tak podczas zapisywania konta."
"Your account is not active. Please contact us.","Twoje konto nie jest aktywne. Proszę skontaktuj się z nami."
"You have to agree with term and conditions.","Musisz zgodzić się z warunkami i warunkami."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Gratulacje! Zarejestrowałeś się pomyślnie. Sprawdzimy Twoje konto partnerskie i poinformujemy Cię o tym, gdy zostanie zatwierdzony!"
"Congratulations! You have successfully registered.","Gratulacje! Zarejestrowałeś się pomyślnie."
"The withdraw has been canceled successfully.","Wycofanie zostało anulowane z powodzeniem."
"Something went wrong while saving the request.","Wystąpił błąd podczas zapisywania żądania."
"Cannot find item.","Nie można znaleźć elementu."
"An error occur. Please contact us.","Wystąpił błąd. Proszę skontaktuj się z nami."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Twoja prośba została wysłana pomyślnie. Sprawdzimy Twoją prośbę i poinformujemy Cię, gdy zostanie ona zatwierdzona!"
"Your balance is not enough for request withdraw.","Saldo Twojego konta nie wystarczy do wycofania wniosku."
"The withdraw amount have to equal or greater than %1","Kwota wypłaty musi być równa lub większa niż %1"
"The withdraw amount have to equal or less than %1","Kwota wypłaty musi być równa lub mniejsza niż %1"
"This account no longer exists.","To konto już nie istnieje."
"The Account has been deleted.","Konto zostało usunięte."
"Account to delete was not found.","Nie znaleziono konta do usunięcia."
"Accounts","Konta"
"Edit Account ""%1""","Edytuj konto ""%1"""
"A total of %1 record(s) have been deleted.","Usunięto co najmniej %1 rekordów."
"The customer ""%1"" has registed as an affiliate already.","Klient ""%1"" zarejestrował się już jako partner."
"Cannot find account referred.","Nie można odnaleźć konta."
"The Account has been created successfully.","Konto zostało utworzone pomyślnie."
"The Account has been saved successfully.","Konto zostało zapisane pomyślnie."
"The Banner has been deleted.","Banner został usunięty."
"Something went wrong while deleting banner data. Please review the action log and try again.","Wystąpił błąd podczas usuwania danych banerowych. Sprawdź dziennik działań i spróbuj ponownie."
"We cannot find a banner to delete.","Nie możemy znaleźć baneru do usunięcia."
"This banner no longer exists.","Ten baner nie istnieje."
"Banners","Banery"
"Edit Banner","Edytuj baner"
"This banner does not exist.","Ten sztandar nie istnieje."
"You saved the banner.","Zapisałeś sztandar."
"We cannot save the banner.","Nie możemy zapisać banera."
"This campaign no longer exists.","Ta kampania już nie istnieje."
"The Campaign has been deleted.","Kampania została usunięta."
"Campaign to delete was not found.","Nie znaleziono kampanii do usunięcia."
"Campaigns","Kampanie"
"Please correct the data sent.","Proszę poprawić wysyłane dane."
"Something went wrong while saving the Campaign.","Coś poszło nie tak, oszczędzając kampanię."
"The Campaign has been saved successfully.","Kampania została zapisana pomyślnie."
"Tier","Poziom"
"Groups","Grupy"
"Something went wrong while saving the Group.","Coś poszło nie tak, pomagając Grupie."
"Cannot remove this group","Nie można usunąć tej grupy"
"The Group has been created successfully.","Grupa została pomyślnie utworzona."
"The Transaction has been canceled.","Transakcja została anulowana."
"The Transaction has been completed.","Transakcja została zakończona."
"Transactions","Transakcje"
"View Transaction ""%1""","Wyświetl transakcję ""%1"""
"This Transaction no longer exists.","Ta transakcja już nie istnieje."
"A total of %1 record(s) have been canceled.","Rekordy %1 zostały anulowane."
"A total of %1 record(s) have been completed.","Zakończono łącznie %1 rekordów."
"Account balance is not enough to create this transaction.","Saldo konta nie wystarczy do utworzenia tej transakcji."
"The Transaction has been created.","Transakcja została utworzona."
"Something went wrong while saving the Transaction.","Coś poszło nie tak, zachowując transakcję."
"This withdrawal no longer exists.","To wycofanie już nie istnieje."
"Withdraws","Wycofuje się"
"Edit Withdraw ""%1""","Edytuj Wycofaj ""%1"""
"Edit Withdraw ""#%1""","Edytuj Wycofaj ""# %1"""
"A total of %1 record(s) have been approved successfully.","Rekordy %1 zostały zatwierdzone pomyślnie."
"A total of %1 record(s) have been cancelled.","Rekordy %1 zostały anulowane."
"The Withdraw has been saved.","Wycofanie zostało zapisane."
"Something went wrong while saving the Withdraw.","Coś poszło nie tak, zachowując Wycofanie."
"My Affiliate","Mój partner"
"My Credit (%1)","Mój kredyt (%1)"
"Active","Aktywny"
"Inactive","Nieaktywny"
"Need Approved","Potrzeba zatwierdzenia"
"Enabled","Włączone"
"Disabled","Niepełnosprawny"
"Percent of cart total","Procent całkowitego koszyka"
"Fixed amount discount for whole cart","Zniżka w stałej kwocie dla całego koszyka"
"Allow Guest","Pozwól Gość"
"Affiliate Member Only","Tylko Członek Stowarzyszony"
"-- Please Select --","-- Proszę wybrać --"
"Category page","Strona kategorii"
"Product page","Strona produktu"
"Footer Link","Link do stopki"
"Top Link","Top Link"
"Affiliate ID","Identyfikator partnera"
"Affiliate Code","Kod stowarzyszony"
"Hash","Haszysz"
"Parameter","Parametr"
"Address","Adres"
"Paypal Email","Paypal email"
"Transaction Id","Identyfikator transakcji"
"Affiliate Campaign","Kampania partnerska"
"Campaign %1","Kampania %1"
"Affiliate account must be existed.","Musisz istnieć konto stowarzyszone."
"Transaction amount cannot be zero.","Kwota transakcji nie może być równa zero."
"Account balance has been reached the limit. Please contact to store owner.","Saldo konta zostało osiągnięte. Skontaktuj się z właścicielem sklepu."
"Invalid transaction data for canceling.","Nieprawidłowe dane o anulowaniu."
"Account balance is not enough for canceling.","Saldo konta nie wystarczy do anulowania."
"Invalid transaction data to complete.","Nieprawidłowe dane transakcji zostały zakończone."
"Maximum amount allowed in account balance is %1.","Maksymalna kwota dozwolona na koncie wynosi %1."
"Action model is invalid for %1","Model działania jest nieprawidłowy dla %1"
"Changed by Admin","Zmieniony przez administratora"
"Get commission for order %1","Otrzymaj prowizję od zamówienia %1"
"Taken back commission for refunding order %1","Zrealizowana prowizja za zwrot zlecenia %1"
"Subtract balance for withdraw request","Odebrać saldo dla żądania wycofania"
"On Hold","W oczekiwaniu"
"Completed","Zakończony"
"Cancelled","Odwołany"
"Commission","Komisja"
"Paid","Płatny"
"Admin","Admin"
"The amount request is not enough to pay for fee.","Wniosek o kwotę nie wystarcza, aby zapłacić za honorarium."
"Cannot create transaction for this withdraw.","Nie można utworzyć transakcji dla tego wycofania."
"Invalid withdraw data for canceling.","Nieprawidłowe dane wycofania dotyczące anulowania."
"Invalid withdraw data for approved.","Nieprawidłowe dane wycofania zostały zatwierdzone."
"Pending","W oczekiwaniu"
"The Account has been saved.","Konto zostało zapisane."
"Affiliate Welcome homepage content","Affiliate Witamy zawartość strony głównej"
"Affiliate referfriend description","Opis odsyłający dla partnerów"
"Affiliate terms & conditions","Warunki umowy partnerskiej"
"Delete ""%1""","Usuń ""%1"""
"Are you sure?","Jesteś pewny?"
"Type (1st Order)","Typ (pierwsze zamówienie)"
"Value (1st Order)","Wartość (pierwsze zamówienie)"
"Type (Next orders)","Typ (kolejne zamówienia)"
"Value (Next orders)","Wartość (kolejne zamówienia)"
"Action","Akcja"
"Add","Dodaj"
"Delete","Kasować"
"No","Nie"
"Yes","tak"
"Link","Połączyć"
"Preview","Zapowiedź"
"Copy and past this source code into your website or forum.","Skopiuj i wklej ten kod źródłowy w swojej witrynie lub na forum."
"No banner available","Brak banera"
"Credit Information","Informacje o kredytach"
"Created Date","stworz Date"
"No transaction found!","Nie znaleziono transakcji!"
"Referral Url and Code","Url i kod referralny"
"Refer Url","Odczytaj adres URL"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Osoby, które uzyskują dostęp do tego adresu URL, są połączone jako odesłania po zarejestrowaniu się lub złożeniu zamówienia."
"Refer Code","Odesłuj kod"
"Referrals should enter the code in Coupon form at shopping cart page.","Odsyłacze powinny wprowadzić kod w formularzu Kupon na stronie koszyka."
"Refer Email","Wyślij e-mail"
"Referrals can enter your e-mail address when signing up affiliate account.","Odsyłacze mogą wprowadzić swój adres e-mail przy rejestracji konta partnerskiego."
"Referral Via Social Networks","Odesłanie przez sieci społecznościowe"
"Send Invitation","Wyślij zaproszenie"
"Enter your friends' emails separated by comma","Wpisz e-maile znajomych, rozdzielone przecinkami"
"Add from Address Book","Dodaj z książki adresowej"
"Subject","Przedmiot"
"Your message","Twoja wiadomość"
"Short Message","Krótka wiadomość"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} zostanie zastąpione nazwą Twojego przyjaciela na koncie e-mail. Nie należy jej edytować, dopóki nie wiesz, co robisz."
"Send","Wysłać"
"Affiliate Subscriptions","Subskrypcje Affiliate"
"Receive affiliate email.","Odbierz adres poczty elektronicznej."
"Affiliate Information","Informacje o Stowarzyszeniu"
"Customer email or Affiliate code","Adres e-mail klienta lub kod partnerski"
"Create an Account","Utwórz konto"
"Request Withdraw","Żądanie wycofania"
"Request Amount","Poproś o kwotę"
"Select Payment Method","Wybierz Metodę Płatności"
"Withdraw Policy","Wycofaj politykę"
"Send Request","Wysłać prośbę"
"Paypal Email Associate","Paypal Email Associate"
"Paypal Email Address","Adres e-mail Paypal"
"Withdraw History","Wycofaj historię"
"Requested Date","Wyznaczona data"
"Withdraw Method","Wycofaj metodę"
"View","Widok"
"Are you sure you want to cancel this withdraw?","Czy na pewno chcesz anulować wypłatę?"
"No withdraw found!","Nie znaleziono wycofania!"
"Requested Amount","Żądana kwota"
"Net. Amount","Netto. Ilość"
"Resolve Date","Rozwiąż datę"
"Back","Plecy"
"%1 for first order.","%1 dla pierwszego zamówienia."
"%1 of Order Total for first order.","%1 zlecenia Razem na pierwsze zamówienie."
"%1 of Order Profit for first order.","%1 Zlecenia Zysk na pierwsze zamówienie."
"%1 for next orders.","%1 dla kolejnych zamówień."
"%1 of Order Total for next orders.","%1 z zamówienia całkowitego dla kolejnych zamówień."
"%1 of Order Profit for next orders.","%1 Zlecenia Zysk dla kolejnych zamówień."
"Discount policy","Polityka rabatów"
"Valid Date","Ważna data"
"Always","Zawsze"
"from","od"
"to","do"
"Affiliate account approved","Zatwierdzono konto podmiotu stowarzyszonego"
"%name,","%name,"
"Welcome to our Affiliate program.","Witamy w naszym programie partnerskim."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Twoje konto Affiliate zostało zatwierdzone i rozpocznij od wybitnych funkcji programu Affiliate."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Affiliate to doskonałe i interesujące rozszerzenie Magento i wydawało się, że jest to model biznesowy, w którym pełni rolę współpracownika. Możesz kazać innym klientom sprzedawać produkty, a następnie zrobić duże zakupy dla Ciebie. To jest zarabianie w internecie, chociaż nie potrzebujesz żadnego produktu lub prywatnej strony internetowej."
"Specially, you will receive the typical and wonderful benefits following as:","Specjalnie otrzymasz typowe i wspaniałe korzyści, jak:"
"Earning commission","Zarobienie prowizji"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Do firmy partnerskiej, po prostu, wybierzesz jakiś produkt ze strony sprzedającego, a link do nasion produktu do osób potrzebujących. Jeśli prezentujący kupuje przedmiot, otrzymasz procent na zamówienie."
"Using available template","Korzystanie z dostępnego szablonu"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Ponadto dostarczane są szablony, takie jak e-mail, banner, biuletyny, itp. Przez stronę sprzedającego. Wyślemy zaproszenia do docelowych klientów za pomocą tych szablonów, dzięki czemu można łatwo i wygodnie zbudować sieć."
"Tracking history activities","Śledzenie historii działalności"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Affiliate pomaga Ci zarządzać procesem wysyłania zaproszenia, nazwiska odbiorcy, ich zysku, itd. Dlatego też możesz samodzielnie przeprowadzać szczegółowe prace."
"Giving cash when achieving the target","Zapewnienie gotówki przy osiągnięciu celu"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Partner stwarza interesujące szanse na zarabianie pieniędzy, podczas gdy nie potrzebujesz żadnych produktów lub usług, reklamujesz tylko produkt witryny sprzedającego za pomocą dostępnych metod reklamowych. Dopóki zarobki zarobione przez nich nie osiągną proponowanych stawek, będą wypłacać pieniądze z kont."
"Thank you again, %store_name","Jeszcze raz dziękuję, %stutaj"
"Welcome to our affiliate program","Witamy w naszym programie partnerskim"
"When using our affiliate program, you can use basics features in the following:","Korzystając z naszego programu partnerskiego, możesz użyć następujących funkcji:"
"Let come to Affiliate program to experience attractive opportunities!","Niech przyjdzie do programu partnerskiego, aby doświadczyć atrakcyjnych możliwości!"
"Your balance has been updated!","Twoja saldo została zaktualizowana!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Zaktualizowaliśmy saldo dla Ciebie, aby można było uzyskać istotne informacje o prowizji lub zapłacić. Ten e-mail pomaga aktywnie kontrolować aktywność."
"The transaction detail","Szczegóły transakcji"
"Transaction title: %title","Tytuł transakcji: %title"
"Transaction amount: %amount","Kwota transakcji: %amount"
"Transaction status: %status","Stan transakcji: %stakt"
"Current balance: %balance","Bieżące saldo: %balencja"
"Withdraw request complete!","Wycofaj prośbę!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Pragniemy poinformować, że został zakończony wniosek o wycofanie, który został utworzony w% request_at. Po kilku dniach otrzymasz pieniądze w zależności od wybranej metody płatności."
"The withdraw detail","Szczegóły wycofania"
"Withdraw Id: %withdraw_id","Wycofuj Id:% withdraw_id"
"Transfer Amount: %amount","Kwota transferu: %amount"
"Request Amount: %amount","Żądanie kwoty: %amount"
"Tax/fee: %fee","Podatek / opłata: %fee"
"Payment Method: %payment","Metoda płatności: %payment"
"You can check your withdraw by ","Możesz sprawdzić wypłatę"
"logging into your account","Zaloguj się na swoje konto"
"Affiliate","Przyłączać"
"General","Generał"
"Enable","Włączyć"
"Cookie Expiration","Wygaśnięcie Cookie"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","dni). Liczba dni dla administratorów w przechowywaniu plików cookie tego programu. Domyślnie: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">więcej</a>"
"Allow overriding cookies","Zezwól na nadpisywanie plików cookie"
"Allow overriding exist affiliate cookie.","Zezwalaj na nadpisanie istniejącego pliku cookie powiązanego."
"Show Affiliate link on","Pokaż link partnerski"
"Default page","Strona domyślna"
"Affiliate homepage content","Treść strony partnerskiej"
"Select CMS Static Block.","Wybierz CMS Static Block."
"Display Policy Page","Wyświetl stronę zasad"
"Select CMS Page for Policy Page","Wybierz stronę CMS dla strony zasad"
"Select CMS page","Wybierz stronę CMS"
"Affiliate URL","URL partnerski"
"URL Style","Styl URL"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Np .: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Przeszczenie: http: //example.com<strong>#c123</strong>"
"Custom parameter","Parametr niestandardowy"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Zostanie on użyty w adresie URL, na przykład:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Wartość parametru"
"The length of Affiliate code","Długość kodu Affiliate"
"It should be greater than 3, and smaller than 32. Default is 6.","Powinna być większa niż 3 i mniejsza niż 32. Domyślnie jest to 6."
"Account Configuration","Konfiguracja konta"
"Affiliate Sign up","Affiliate Zarejestruj się"
"Default Affiliate Group","Domyślna Grupa Partnerski"
"Require admin's approval","Wymagaj zatwierdzenia administratora"
"Checked ""Email notification"" by default","Zaznaczył ""Powiadomienie e-mail"" domyślnie"
"Term and condition","Okres i warunki"
"Enable Terms and Conditions","Włącz zasady i warunki"
"Checkbox Text","Tekst pola wyboru"
"Terms and Conditions Title","Warunki korzystania z serwisu"
"Terms and Conditions Content","Warunki i zasady Treść"
"Select CMS Block.","Wybierz blok CMS."
"Checkbox is checked by default","Pole wyboru Checkbox jest domyślnie zaznaczone"
"Account Balance","Bilans konta"
"Maximum of Affiliate Balance","Maksymalna kwota salda partnerskiego"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Maksymalna kwota Affiliate. Partner nie może uzyskać prowizji, jeśli równowaga jest taka sama. Pusty lub Zero nie jest ograniczeniem."
"Allow negative balance","Zezwól na ujemne saldo"
"Commission Configuration","Konfiguracja Komisji"
"Earn commission from tax","Zarobić prowizję od podatku"
"Earn commission from shipping fee","Zarabiaj od prowizji za wysyłkę"
"Commission calculation process","Proces obliczania Komisji"
"Allow Affiliate receiving commission when Invoice created","Zezwalaj firmie partnerskiej na otrzymanie prowizji przy utworzeniu faktury"
"Hold commission transactions for","Prowadzenie transakcji prowizji dla"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Odliczyć prowizję od salda Affiliate, gdy zamówienie zostanie zwrócone / anulowane"
"Withdraw Configuration","Wycofaj konfigurację"
"Allow withdraw request","Zezwól na wycofanie żądania"
"Payment Methods","Metody Płatności"
"The minimum balance in affiliate account for requesting withdraw","Minimalna równowaga w kontach partnerskich dla żądania wycofania"
"Minimum withdraw amount","Minimalna kwota wycofania"
"Include Fee","Łącznie z opłatą"
"Maximum withdraw amount","Maksymalna kwota wypłaty"
"Email Configuration","Konfiguracja poczty elektronicznej"
"Email Sender","Nadawca poczty elektronicznej"
"Account Email","Konto e-mail"
"Send Welcome Email","Wyślij wiadomość powitalną"
"Welcome Email","Witamy Email"
"Welcome Email After Account Approved","Powitanie e-mail po zatwierdzeniu konta"
"This email will be sent instead of welcome email, after approving account.","Ten e-mail zostanie wysłany zamiast powitalnego e-maila, po zatwierdzeniu konta."
"Transaction Email","E-mail transakcji"
"Send Transaction Email","Wyślij transakcję e-mail"
"Update Balance Email","Zaktualizuj pocztę e-mailową"
"Withdraw Email","Wycofaj e-mail"
"Send Withdraw Email","Wyślij Wycofaj e-maila"
"Withdraw Complete Email","Wycofaj pełny e-mail"
"Refer Friends Configuration","Zobacz konfigurację znajomych"
"Enable Refer Friends Feature","Włącz funkcję Poleć znajomym"
"Refer Sharing Email","Zobacz Udostępnianie e-maila"
"Default Refer Url","Domyślny adres referencyjny"
"Select block to show referfriend description","Wybierz blok, aby wyświetlić opis referfriend"
"Refer friend homepage content","Poleć stronę główną znajomego"
"AddThis.com ID","Identyfikator AddThis.com"
"Use Cloudsponge to retrieve email contacts","Użyj Cloudsponge, aby pobrać kontakty e-mailowe"
"Cloudsponge Key","Klucz Cloudsponge"
"Sending Email Content","Wysyłanie zawartości poczty elektronicznej"
"Default Email Subject","Domyślny temat wiadomości e-mail"
"Default Email Body","Domyślny organ poczty elektronicznej"
"Default Message Shared via Social","Domyślnie Wiadomość udostępniona przez społeczność"
"ID","ID"
"Email","E-mail"
"Phone","Telefon"
"ZIP/Post Code","Kod pocztowy"
"Country","Kraj"
"State/Province","Państwo / województwo"
"Signed-up Point","Punkt podpisania"
"Website","Stronie internetowej"
"Created At","Utworzone w"
"Add New Account","Dodaj nowe konto"
"Delete Accounts","Usuń konta"
"Are you sure you want to delete selected Accounts?","Czy na pewno chcesz usunąć wybrane konta?"
"Total Commission","Całkowita Komisja"
"Add New Banner","Dodaj nowy baner"
"Delete Banners","Usuń banery"
"Are you sure you want to delete selected banners?","Czy na pewno chcesz usunąć wybrane banery?"
"URL","Adres URL"
"Campaign","Kampania"
"Created","Stworzony"
"Add New Campaign","Dodaj nową kampanię"
"Delete Campaigns","Usuń kampanie"
"Are you sure you wan't to delete selected Campaigns?","Czy na pewno nie chcesz usunąć wybranych kampanii?"
"Add New Group","Dodaj nową grupę"
"Delete Groups","Usuń grupy"
"Are you sure you want to delete selected groups?","Czy na pewno chcesz usunąć wybrane grupy?"
"Add New Transaction","Dodaj nową transakcję"
"Complete Transactions","Pełne transakcje"
"Are you sure you want to complete selected transactions?","Czy na pewno chcesz wykonać wybrane transakcje?"
"Cancel Transactions","Anuluj transakcje"
"Are you sure you want to cancel selected Transactions?","Czy na pewno chcesz anulować wybrane transakcje?"
"Action Type","Typ działania"
"Amount Used","Kwota używana"
"Amount Hold","Amount Hold"
"Current Balance","Aktualne saldo"
"Store","Sklep"
"Holding Date","Data Holdingu"
"Add New Withdraw","Dodaj nowe wypłaty"
"Approve","Zatwierdzać"
"Approve Withdraws","Zatwierdza Wycofuje się"
"Are you sure you want to approve selected Withdraws?","Czy na pewno chcesz zatwierdzić wybrane wypłaty?"
"Cancel Withdraws","Anuluj wycofanie"
"Are you sure you want to cancel selected Withdraws?","Czy na pewno chcesz anulować wybrane wypłaty?"
"Transaction ID","Identyfikator transakcji"
"Transferred","Przeniesiony"
"Account Dashboard","Panel konta"
"Home","Dom"
"Signup","Zapisz się"
"Refer Friend","Poleć znajomym"
"Setting","Oprawa"