"Affiliate Banners","Banners de afiliados"
"My Credit","Meu crédito"
"Available Balance","Saldo disponível"
"Holding Balance","Saldo de retenção"
"Total Earned","Total Ganhou"
"Total Paid","Total pago"
"Refer friends","Referir amigos"
"Affiliate Setting","Configuração de afiliados"
"Signup Affiliate","Cadastro de inscrição"
"My Withdrawal","Minha retirada"
"You can request withdraw when your balance equal or greater than %1","Você pode solicitar retirada quando seu saldo igual ou maior que %1"
"You can withdraw a minimum %1","Você pode retirar um mínimo de %1"
"You can withdraw a maximum %1","Você pode retirar um máximo de %1"
"Save Account","Salvar conta"
"Cancel","Cancelar"
"New Account","Nova conta"
"Please select a customer","Selecione um cliente"
"Account Information","Informação da conta"
"Customer","Cliente"
"Affiliate Group","Grupo de afiliados"
"Referred By","Referido por"
"Affiliate account Id","ID da conta do afiliado"
"Status","Status"
"Email Notification","Notificação de Email"
"Account","Conta"
"Save and Continue Edit","Salvar e continuar Editar"
"Edit Account '%1'","Editar conta '%1'"
"Balance","Equilibrar"
"Referral Code","Código de Referencia"
"Save Banner","Salvar Banner"
"Edit Banner ""%1""","Editar banner ""%1"""
"New Banner","Novo banner"
"Banner Information","Informações da bandeira"
"Title","Título"
"Content","Conteúdo"
"Url","Url"
"If empty, home page will be used.","Se estiver vazio, a página inicial será usada."
"Related Campaign","Campanha relacionada"
"Only affiliates who are in above campaign can see this banner.","Somente os afiliados que estão na campanha acima podem ver esse banner."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Coloque o atributo rel = ""nofollow"" no link."
"Save Campaign","Save Campaign"
"Edit Campaign ""%1""","Editar campanha ""%1"""
"New Campaign","Nova Campanha"
"Campaign Information","Informações da campanha"
"Name","Nome"
"Description","Descrição"
"Website IDs","IDs do site"
"Affiliate Groups","Grupos de afiliados"
"Display","Exibição"
"Active From Date","Ativo a partir da data"
"Active To Date","Ativo até à data"
"Sort Order","Ordem de classificação"
"Pay Per Sale","Pagamento por venda"
"Add Commission Type and Value","Adicionar Tipo e Valor da Comissão"
"Commissions","Comissões"
"Percentage of grand total","Porcentagem do total geral"
"Fixed amount","Quantia fixa"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplique a regra somente se as seguintes condições forem atendidas (deixe em branco para todos os produtos)"
"Condition","Condição"
"Conditions","Condições"
"Discounts","Descontos"
"Discount","Desconto"
"Apply","Aplique"
"Discount Amount","Valor de desconto"
"Apply to Shipping Amount","Aplicar ao valor de envio"
"Discount Description","Descrição do desconto"
"Save Group","Salvar grupo"
"New Group","Novo grupo"
"Group Information","Informações do grupo"
"Group","Grupo"
"label","rótulo"
"Reset banner traffic","Redefinir tráfego de banner"
"Save Transaction","Salvar transação"
"New Transaction","Nova transação"
"Please select an affiliate account","Selecione uma conta afiliada"
"Transaction Information","Informação de Transação"
"Amount","Montante"
"Add or subtract affiliate's balance. E.g: 99 or -99","Adicione ou subtraia o saldo da afiliada. Por exemplo: 99 ou -99"
"Holding Transaction For","Transação de depósito para"
"Transaction","Transação"
"Are you sure you want to cancel this transaction?","Tem certeza de que deseja cancelar esta transação?"
"Are you sure you want to complete this transaction?","Tem certeza de que deseja concluir esta transação?"
"Complete","Completo"
"View Transaction '%1'","Ver transação '%1'"
"Affiliate Account","Conta de afiliado"
"Type","Tipo"
"Order","Ordem"
"Created by","Criado por"
"This transaction will be holed to","Esta transação será atrapalhada para"
"Created Time","Tempo criado"
"Save and Approve","Salvar e aprovar"
"Save","Salve "
"New Withdraw","Novo Retiro"
"Withdraw Information","Retirar informações"
"Include fee.","Incluir taxa."
"Fee","Taxa"
"If empty, configuration value will be used.","Se estiver vazio, o valor de configuração será usado."
"Payment Method","Método de pagamento"
"Payment Detail","Detalhes de pagamento"
"Withdraw","retirar o"
"Edit Withdraw '%1'","Editar Retirar '%1'"
"Transfer Amount","Valor da transferência"
"Real amount will be transfer to affiliate.","O valor real será transferido para o afiliado."
"Affiliate Discount","Desconto afiliado"
"Please input your friends email address.","Digite o endereço de e-mail de seus amigos."
"Saved successfully!","Salvo com sucesso!"
"Something went wrong while saving the Account.","Algo deu errado ao salvar a Conta."
"Your account is not active. Please contact us.","Sua conta não está ativa. Por favor, entre em contato conosco."
"You have to agree with term and conditions.","Você precisa concordar com termos e condições."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Parabéns! Você se registrou com sucesso. Vamos rever a sua conta afiliada e informá-lo uma vez que seja aprovado!"
"Congratulations! You have successfully registered.","Parabéns! Você se registrou com sucesso."
"The withdraw has been canceled successfully.","A retirada foi cancelada com sucesso."
"Something went wrong while saving the request.","Algo deu errado ao salvar o pedido."
"Cannot find item.","Não é possível encontrar o item."
"An error occur. Please contact us.","Ocorreu um erro. Por favor, entre em contato conosco."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Seu pedido foi enviado com sucesso. Vamos rever o seu pedido e informá-lo uma vez aprovado!"
"Your balance is not enough for request withdraw.","Seu saldo não é suficiente para retirar o pedido."
"The withdraw amount have to equal or greater than %1","O valor de retirada deve ser igual ou superior a %1"
"The withdraw amount have to equal or less than %1","O montante da retirada deve ser igual ou inferior a %1"
"This account no longer exists.","Esta conta não existe mais."
"The Account has been deleted.","A Conta foi excluída."
"Account to delete was not found.","A conta para excluir não foi encontrada."
"Accounts","Contas"
"Edit Account ""%1""","Editar conta ""%1"""
"A total of %1 record(s) have been deleted.","Um total de %1 registro (s) foram excluídos."
"The customer ""%1"" has registed as an affiliate already.","O cliente ""%1"" registed como um afiliado já."
"Cannot find account referred.","Não foi possível encontrar a conta referida."
"The Account has been created successfully.","A conta foi criada com sucesso."
"The Account has been saved successfully.","A conta foi salva com sucesso."
"The Banner has been deleted.","A Banner foi excluída."
"Something went wrong while deleting banner data. Please review the action log and try again.","Algo deu errado ao excluir dados de banner. Por favor, reveja o registro de ação e tente novamente."
"We cannot find a banner to delete.","Não podemos encontrar um banner para deletar."
"This banner no longer exists.","Este banner já não existe."
"Banners","Banners"
"Edit Banner","Edit Banner"
"This banner does not exist.","Este banner não existe."
"You saved the banner.","Você salvou o banner."
"We cannot save the banner.","Não podemos salvar o banner."
"This campaign no longer exists.","Esta campanha não existe mais."
"The Campaign has been deleted.","A Campanha foi excluída."
"Campaign to delete was not found.","A campanha para excluir não foi encontrada."
"Campaigns","Campanhas"
"Please correct the data sent.","Corrija os dados enviados."
"Something went wrong while saving the Campaign.","Algo deu errado ao salvar a Campanha."
"The Campaign has been saved successfully.","A Campanha foi salva com sucesso."
"Tier","Camada"
"Groups","Grupos"
"Something went wrong while saving the Group.","Algo deu errado ao salvar o Grupo."
"Cannot remove this group","Não é possível remover este grupo"
"The Group has been created successfully.","O Grupo foi criado com sucesso."
"The Transaction has been canceled.","A transação foi cancelada."
"The Transaction has been completed.","A transação foi concluída."
"Transactions","Transações"
"View Transaction ""%1""","Ver transação ""%1"""
"This Transaction no longer exists.","Essa transação não existe mais."
"A total of %1 record(s) have been canceled.","Um total de %1 registros (s) foram cancelados."
"A total of %1 record(s) have been completed.","Um total de %1 registro (s) foi concluído."
"Account balance is not enough to create this transaction.","O saldo da conta não é suficiente para criar esta transação."
"The Transaction has been created.","A transação foi criada."
"Something went wrong while saving the Transaction.","Algo deu errado ao salvar a transação."
"This withdrawal no longer exists.","Essa retirada não existe mais."
"Withdraws","Retirar"
"Edit Withdraw ""%1""","Editar Retirar ""%1"""
"Edit Withdraw ""#%1""","Editar Retirar ""# %1"""
"A total of %1 record(s) have been approved successfully.","Um total de %1 registro (s) foi aprovado com sucesso."
"A total of %1 record(s) have been cancelled.","Um total de %1 registros (s) foram cancelados."
"The Withdraw has been saved.","O Retirado foi salvo."
"Something went wrong while saving the Withdraw.","Algo deu errado ao salvar o Retiro."
"My Affiliate","Meu afiliado"
"My Credit (%1)","Meu crédito (%1)"
"Active","Ativo"
"Inactive","Inativo"
"Need Approved","Necessário Aprovado"
"Enabled","ativado"
"Disabled","Desativado"
"Percent of cart total","Porcentagem do total do carrinho"
"Fixed amount discount for whole cart","Desconto de quantidade fixa para todo o carrinho"
"Allow Guest","Permitir Convidado"
"Affiliate Member Only","Apenas Membro Afiliado"
"-- Please Select --","-- Por favor selecione --"
"Category page","Página da categoria"
"Product page","Página do produto"
"Footer Link","Footer Link"
"Top Link","Top Link"
"Affiliate ID","ID de afiliado"
"Affiliate Code","Código de afiliado"
"Hash","Jogo da velha"
"Parameter","Parâmetro"
"Address","Endereço"
"Paypal Email","Email do Paypal"
"Transaction Id","ID de transação"
"Affiliate Campaign","Campanha de afiliados"
"Campaign %1","Campanha %1"
"Affiliate account must be existed.","A conta de afiliado deve existir."
"Transaction amount cannot be zero.","O montante da transação não pode ser zero."
"Account balance has been reached the limit. Please contact to store owner.","O limite da conta atingiu o limite. Entre em contato com o proprietário da loja."
"Invalid transaction data for canceling.","Dados de transação inválidos para cancelamento."
"Account balance is not enough for canceling.","O saldo da conta não é suficiente para cancelar."
"Invalid transaction data to complete.","Dados de transação inválidos para concluir."
"Maximum amount allowed in account balance is %1.","O valor máximo permitido no saldo da conta é %1."
"Action model is invalid for %1","Modelo de ação inválido para %1"
"Changed by Admin","Alterado pelo Admin"
"Get commission for order %1","Obter comissão por encomenda %1"
"Taken back commission for refunding order %1","Retirado comissão para reembolso de ordem %1"
"Subtract balance for withdraw request","Subtrair o saldo para retirar o pedido"
"On Hold","Em espera"
"Completed","Concluído"
"Cancelled","Cancelado"
"Commission","Comissão"
"Paid","Pago"
"Admin","Administrador"
"The amount request is not enough to pay for fee.","A quantia solicitada não é suficiente para pagar taxa."
"Cannot create transaction for this withdraw.","Não é possível criar transações para essa retirada."
"Invalid withdraw data for canceling.","Inválido retirar dados para cancelamento."
"Invalid withdraw data for approved.","Dados de retirada inválidos para aprovação."
"Pending","Pendente"
"The Account has been saved.","A conta foi salva."
"Affiliate Welcome homepage content","Afiliado Bem-vindo ao conteúdo da página inicial"
"Affiliate referfriend description","Descrição do referente da afiliada"
"Affiliate terms & conditions","Termos e condições da filial"
"Delete ""%1""","Excluir ""%1"""
"Are you sure?","Você tem certeza?"
"Type (1st Order)","Tipo (1ª ordem)"
"Value (1st Order)","Valor (1ª ordem)"
"Type (Next orders)","Tipo (Próximas ordens)"
"Value (Next orders)","Valor (Próximos pedidos)"
"Action","Açao"
"Add","Adicionar"
"Delete","Excluir"
"No","Não"
"Yes","sim"
"Link","Ligação"
"Preview","Visualização"
"Copy and past this source code into your website or forum.","Copie e passe este código-fonte para o seu site ou fórum."
"No banner available","Nenhum banner disponível"
"Credit Information","Informação de Crédito"
"Created Date","data criada"
"No transaction found!","Nenhuma transação encontrada!"
"Referral Url and Code","Url e Código de Referência"
"Refer Url","URL de referência"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","As referências que acessam este URL estão conectadas como referências uma vez que se inscrevem ou fazem um pedido."
"Refer Code","Consulte o Código"
"Referrals should enter the code in Coupon form at shopping cart page.","As referências devem inserir o código no formulário do cupom na página do carrinho de compras."
"Refer Email","Recomendar Email"
"Referrals can enter your e-mail address when signing up affiliate account.","As referências podem inserir seu endereço de e-mail ao registrar a conta afiliada."
"Referral Via Social Networks","Referência via redes sociais"
"Send Invitation","Enviar convite"
"Enter your friends' emails separated by comma","Digite os e-mails de seus amigos separados por vírgula"
"Add from Address Book","Adicionar do Catálogo de endereços"
"Subject","Sujeito"
"Your message","Sua mensagem"
"Short Message","Mensagem curta"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} será substituído pelo nome do seu amigo com base na conta de e-mail. Você não deve editá-lo até que você saiba o que está fazendo."
"Send","Enviar"
"Affiliate Subscriptions","Assinaturas de afiliados"
"Receive affiliate email.","Receba e-mail afiliado."
"Affiliate Information","Informação de afiliado"
"Customer email or Affiliate code","Email do cliente ou código de afiliado"
"Create an Account","Crie a sua conta aqui"
"Request Withdraw","Solicitar Retirar"
"Request Amount","Montante da Solicitação"
"Select Payment Method","Selecione o método de pagamento"
"Withdraw Policy","Retirar Política"
"Send Request","Enviar pedido"
"Paypal Email Associate","Paypal Email Associate"
"Paypal Email Address","Endereço de e-mail Paypal"
"Withdraw History","Retirar História"
"Requested Date","Data solicitada"
"Withdraw Method","Método de retirada"
"View","Visão"
"Are you sure you want to cancel this withdraw?","Tem certeza de que deseja cancelar esta retirada?"
"No withdraw found!","Nenhuma retirada encontrada!"
"Requested Amount","Montante Requerido"
"Net. Amount","Líquido. Montante"
"Resolve Date","Resolve Date"
"Back","Costas"
"%1 for first order.","%1 para primeira ordem."
"%1 of Order Total for first order.","%1 de Ordem Total para primeira ordem."
"%1 of Order Profit for first order.","%1 de Ordem de lucro para primeira ordem."
"%1 for next orders.","%1 para os próximos pedidos."
"%1 of Order Total for next orders.","%1 do pedido total para pedidos seguintes."
"%1 of Order Profit for next orders.","%1 do lucro da ordem para os próximos pedidos."
"Discount policy","Política de desconto"
"Valid Date","Data válida"
"Always","Sempre"
"from","a partir de"
"to","para"
"Affiliate account approved","Conta de afiliado aprovada"
"%name,","%name,"
"Welcome to our Affiliate program.","Bem-vindo ao nosso programa de afiliados."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Sua conta de afiliado é aprovada e comece com as características pendentes do programa de afiliados."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","O afiliado é a extensão Magento perfeita e interessante e parece ser o modelo de negócios, onde você tem o papel de colaboradores. Você pode recomendar outros clientes aos produtos do vendedor e, em seguida, fazer um grande shopping público para você. Isso está ganhando métodos na internet, embora você não precise de nenhum produto ou site privado."
"Specially, you will receive the typical and wonderful benefits following as:","Especialmente, você receberá os benefícios típicos e maravilhosos seguintes, como:"
"Earning commission","Comitê ganhando"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Vindo para o afiliado, simplesmente, você escolherá qualquer produto do site do vendedor e o link de semente do produto para as pessoas que o precisem. Se o presente presente comprar o item, você receberá porcentagem por pedido."
"Using available template","Usando o modelo disponível"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Além disso, você fornece modelos como e-mail, banner, boletins informativos, etc., pelo site do vendedor. Você enviará convites para seus clientes-alvo por esses modelos, o que o faz construir a rede facilmente e perfeitamente."
"Tracking history activities","Seguindo as atividades da história"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","O afiliado apoia você para administrar o processo de envio de convite, nome do destinatário, seus lucros, etc. Portanto, você pode seguir o seu trabalho detalhadamente por si mesmos."
"Giving cash when achieving the target","Dando dinheiro ao alcançar o alvo"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","O afiliado dá chances interessantes de ganhar dinheiro enquanto não precisa de produtos ou serviços, você apenas anuncia o produto do site do vendedor por métodos de publicidade disponíveis. Até que suas receitas que ganhem atinjam as taxas oferecidas, retirarão dinheiro de suas contas."
"Thank you again, %store_name","Obrigado novamente, %store_name"
"Welcome to our affiliate program","Bem-vindo ao nosso programa de afiliados"
"When using our affiliate program, you can use basics features in the following:","Ao usar nosso programa de afiliados, você pode usar os recursos básicos do seguinte:"
"Let come to Affiliate program to experience attractive opportunities!","Deixe ir ao programa de afiliados para experimentar oportunidades atraentes!"
"Your balance has been updated!","Seu saldo foi atualizado!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Atualizamos o saldo para você, para que você possa ter informações relevantes sobre sua comissão ou pago. Este e-mail ajuda você a controlar suas atividades ativamente."
"The transaction detail","O detalhe da transação"
"Transaction title: %title","Título da transação: %title"
"Transaction amount: %amount","Valor da transação: %amount"
"Transaction status: %status","Status da transação: %status"
"Current balance: %balance","Saldo atual: %balance"
"Withdraw request complete!","Retirar pedido completo!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Gostaríamos de informá-lo de que o pedido de retirada, que foi criado em% request_at, foi concluído. Você receberá dinheiro após alguns dias, dependendo do método de pagamento que você escolher."
"The withdraw detail","O detalhe da retirada"
"Withdraw Id: %withdraw_id","Retirar ID:% retirar_id"
"Transfer Amount: %amount","Valor de transferência: %amount"
"Request Amount: %amount","Montante da Solicitação: %amount"
"Tax/fee: %fee","Taxa / taxa: %fee"
"Payment Method: %payment","Método de pagamento: %payment"
"You can check your withdraw by ","Você pode verificar sua retirada por"
"logging into your account","Efetuando login em sua conta"
"Affiliate","Afiliado"
"General","Geral"
"Enable","Habilitar"
"Cookie Expiration","Expiração de cookies"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","dias). O número de dias para admin armazenar cookies deste programa. Padrão: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">leja mais</a>"
"Allow overriding cookies","Permitir a substituição de cookies"
"Allow overriding exist affiliate cookie.","Permitir substituir existe cookie afiliado."
"Show Affiliate link on","Mostrar link de afiliado em"
"Default page","Página padrão"
"Affiliate homepage content","Conteúdo da página inicial da filial"
"Select CMS Static Block.","Selecione o bloco estático do CMS."
"Display Policy Page","Página de política de exibição"
"Select CMS Page for Policy Page","Selecione Página CMS para Página de Política"
"Select CMS page","Selecione a página CMS"
"Affiliate URL","URL do afiliado"
"URL Style","Estilo de URL"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Exemplo: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","Parâmetro personalizado"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Isso será usado em URL, como:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Valor de parâmetro"
"The length of Affiliate code","O comprimento do código de afiliado"
"It should be greater than 3, and smaller than 32. Default is 6.","Deve ser maior que 3 e menor que 32. O padrão é 6."
"Account Configuration","Configuração da conta"
"Affiliate Sign up","Inscrição de afiliado"
"Default Affiliate Group","Grupo de afiliados padrão"
"Require admin's approval","Exigir aprovação do administrador"
"Checked ""Email notification"" by default","Verificado ""Notificação por e-mail"" por padrão"
"Term and condition","Termo e condição"
"Enable Terms and Conditions","Habilitar Termos e Condições"
"Checkbox Text","Texto da caixa de seleção"
"Terms and Conditions Title","Termos e Condições Título"
"Terms and Conditions Content","Termos e Condições Conteúdo"
"Select CMS Block.","Selecione o bloco CMS."
"Checkbox is checked by default","A caixa de seleção está marcada por padrão"
"Account Balance","Saldo da conta"
"Maximum of Affiliate Balance","Máximo de saldo da filial"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","O saldo máximo da afiliada. O afiliado não pode obter comissão se o saldo igual esse valor. Vazio ou Zero não é limitação."
"Allow negative balance","Permitir saldo negativo"
"Commission Configuration","Configuração da Comissão"
"Earn commission from tax","Ganhe comissão de impostos"
"Earn commission from shipping fee","Ganhe comissão da taxa de envio"
"Commission calculation process","Processo de cálculo da Comissão"
"Allow Affiliate receiving commission when Invoice created","Permitir a comissão de recebimento de afiliados quando a Fatura criou"
"Hold commission transactions for","Realizar transações de comissão para"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Comissão de dedução do saldo da Afiliada quando a ordem é reembolsada / cancelada"
"Withdraw Configuration","Retirar Configuração"
"Allow withdraw request","Permitir retirar o pedido"
"Payment Methods","Métodos de Pagamento"
"The minimum balance in affiliate account for requesting withdraw","O saldo mínimo na conta de afiliado para solicitar a retirada"
"Minimum withdraw amount","Montante mínimo de retirada"
"Include Fee","Incluir Taxa"
"Maximum withdraw amount","Valor máximo de retirada"
"Email Configuration","Configuração de e-mail"
"Email Sender","Email Sender"
"Account Email","Conta de e-mail"
"Send Welcome Email","Enviar e-mail de boas-vindas"
"Welcome Email","E-mail de boas-vindas"
"Welcome Email After Account Approved","E-mail de boas-vindas após a aprovação da conta"
"This email will be sent instead of welcome email, after approving account.","Este e-mail será enviado em vez de e-mail de boas-vindas, após a aprovação da conta."
"Transaction Email","E-mail de transação"
"Send Transaction Email","Enviar E-mail de Transação"
"Update Balance Email","Atualizar Equilíbrio E-mail"
"Withdraw Email","Retirar e-mail"
"Send Withdraw Email","Enviar Retirar Email"
"Withdraw Complete Email","Retirar e-mail completo"
"Refer Friends Configuration","Referir configuração de amigos"
"Enable Refer Friends Feature","Ativar Referir Função de Amigos"
"Refer Sharing Email","Consulte o email de compartilhamento"
"Default Refer Url","URL de referência padrão"
"Select block to show referfriend description","Selecione o bloco para mostrar a descrição do referfriend"
"Refer friend homepage content","Referir o conteúdo da página inicial do amigo"
"AddThis.com ID","ID de AddThis.com"
"Use Cloudsponge to retrieve email contacts","Use Cloudsponge para recuperar contatos de e-mail"
"Cloudsponge Key","Chave Cloudsponge"
"Sending Email Content","Enviando Conteúdo de Email"
"Default Email Subject","Assunto de Email Padrão"
"Default Email Body","Corpo padrão do email"
"Default Message Shared via Social","Mensagem Padrão Compartilhada via Social"
"ID","identidade"
"Email","O email"
"Phone","telefone"
"ZIP/Post Code","Código postal"
"Country","País"
"State/Province","Estado / Província"
"Signed-up Point","Ponto de assinatura"
"Website","Local na rede Internet"
"Created At","Criado em"
"Add New Account","Adicionar nova conta"
"Delete Accounts","Excluir contas"
"Are you sure you want to delete selected Accounts?","Tem certeza de que deseja excluir as contas selecionadas?"
"Total Commission","Comissão Total"
"Add New Banner","Adicionar nova bandeira"
"Delete Banners","Eliminar Banners"
"Are you sure you want to delete selected banners?","Tem certeza de que deseja excluir os banners selecionados?"
"URL","URL"
"Campaign","Campanha"
"Created","Criada"
"Add New Campaign","Adicionar nova campanha"
"Delete Campaigns","Excluir campanhas"
"Are you sure you wan't to delete selected Campaigns?","Tem certeza de que não deseja excluir campanhas selecionadas?"
"Add New Group","Adicionar novo grupo"
"Delete Groups","Eliminar grupos"
"Are you sure you want to delete selected groups?","Tem certeza de que deseja excluir grupos selecionados?"
"Add New Transaction","Adicionar nova transação"
"Complete Transactions","Transações completas"
"Are you sure you want to complete selected transactions?","Tem certeza de que deseja concluir as transações selecionadas?"
"Cancel Transactions","Cancelar transações"
"Are you sure you want to cancel selected Transactions?","Tem certeza de que deseja cancelar Transações selecionadas?"
"Action Type","Tipo de acão"
"Amount Used","Quantidade utilizada"
"Amount Hold","Quantidade de retenção"
"Current Balance","Equilíbrio atual"
"Store","Loja"
"Holding Date","Data de prisão"
"Add New Withdraw","Adicionar Novo Retirada"
"Approve","Aprovar"
"Approve Withdraws","Aprovar Retiradas"
"Are you sure you want to approve selected Withdraws?","Tem certeza de que deseja aprovar Retiradas selecionadas?"
"Cancel Withdraws","Cancelar Retirar"
"Are you sure you want to cancel selected Withdraws?","Tem certeza de que deseja cancelar retiradas selecionadas?"
"Transaction ID","ID da transação"
"Transferred","Transferido"
"Account Dashboard","Painel de conta"
"Home","Casa"
"Signup","Inscrever-se"
"Refer Friend","Referir Amigo"
"Setting","Configuração"