"Affiliate Banners","Bannere afiliate"
"My Credit","Creditul meu"
"Available Balance","Sold disponibil"
"Holding Balance","Holding Balance"
"Total Earned","Total câștigat"
"Total Paid","Plata totala"
"Refer friends","Adresați-vă prietenilor"
"Affiliate Setting","Afiliere Setare"
"Signup Affiliate","Înscrieți-vă afiliatul"
"My Withdrawal","Retragerea mea"
"You can request withdraw when your balance equal or greater than %1","Puteți solicita retragerea atunci când soldul dvs. este egal sau mai mare de %1"
"You can withdraw a minimum %1","Puteți retrage un minim de %1"
"You can withdraw a maximum %1","Puteți să retrageți maximum %1"
"Save Account","Salvați contul"
"Cancel","Anulare"
"New Account","Cont nou"
"Please select a customer","Selectați un client"
"Account Information","informatii despre cont"
"Customer","Client"
"Affiliate Group","Afiliere Grup"
"Referred By","Menționate prin"
"Affiliate account Id","Codul contului de afiliere Id"
"Status","stare"
"Email Notification","notificare prin e-mail"
"Account","Cont"
"Save and Continue Edit","Salvați și continuați editarea"
"Edit Account '%1'","Editați contul '%1'"
"Balance","Echilibru"
"Referral Code","Codul de recomandare"
"Save Banner","Salvați bannerul"
"Edit Banner ""%1""","Editați bannerul ""%1"""
"New Banner","Banner nou"
"Banner Information","Informații banner"
"Title","Titlu"
"Content","Conţinut"
"Url","Url"
"If empty, home page will be used.","Dacă este goală, va fi folosită pagina de pornire."
"Related Campaign","Campanie similară"
"Only affiliates who are in above campaign can see this banner.","Numai afiliații care se află în campania de mai sus pot vedea acest banner."
"Rel Nofollow","Reluați-l pe Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Puneți atributul rel = ""nofollow"" pe link."
"Save Campaign","Salvați campania"
"Edit Campaign ""%1""","Editați campania ""%1"""
"New Campaign","Campanie nouă"
"Campaign Information","Informații despre campanii"
"Name","Nume"
"Description","Descriere"
"Website IDs","Coduri de site"
"Affiliate Groups","Afiliate Grupuri"
"Display","Afişa"
"Active From Date","Activ din data"
"Active To Date","Activ la data"
"Sort Order","Ordinea de sortare"
"Pay Per Sale","Plătiți pe vânzare"
"Add Commission Type and Value","Adăugați tipul și valoarea Comisiei"
"Commissions","comisioane"
"Percentage of grand total","Procentajul totalului total"
"Fixed amount","Cantitate fixă"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicați regula numai dacă sunt îndeplinite următoarele condiții (lăsați necompletate pentru toate produsele)"
"Condition","Condiție"
"Conditions","Condiții"
"Discounts","reduceri"
"Discount","Reducere"
"Apply","aplica"
"Discount Amount","Suma de reducere"
"Apply to Shipping Amount","Aplicați Suma de expediere"
"Discount Description","Descrierea reducerii"
"Save Group","Salvați grupul"
"New Group","Grup nou"
"Group Information","Informații despre grup"
"Group","grup"
"label","eticheta"
"Reset banner traffic","Resetați traficul banner"
"Save Transaction","Salvați tranzacția"
"New Transaction","Noua tranzacție"
"Please select an affiliate account","Selectați un cont afiliat"
"Transaction Information","Informații despre tranzacții"
"Amount","Cantitate"
"Add or subtract affiliate's balance. E.g: 99 or -99","Adăugați sau scădeți soldul afiliatului. De exemplu: 99 sau -99"
"Holding Transaction For","Tranzacție de tranzacționare pentru"
"Transaction","Tranzacţie"
"Are you sure you want to cancel this transaction?","Sigur doriți să anulați această tranzacție?"
"Are you sure you want to complete this transaction?","Sigur doriți să finalizați această tranzacție?"
"Complete","Complet"
"View Transaction '%1'","Vizualizați tranzacția '%1'"
"Affiliate Account","Contul afiliat"
"Type","Tip"
"Order","Ordin"
"Created by","Creat de"
"This transaction will be holed to","Această tranzacție va fi trasă la"
"Created Time","Timpul creat"
"Save and Approve","Salvați și aprobați"
"Save","Salvați"
"New Withdraw","Noua retragere"
"Withdraw Information","Retrageți informațiile"
"Include fee.","Includeți taxa."
"Fee","taxă"
"If empty, configuration value will be used.","Dacă este gol, va fi folosită valoarea de configurare."
"Payment Method","Modalitate de plată"
"Payment Detail","Plata detaliilor"
"Withdraw","Retrage"
"Edit Withdraw '%1'","Editați retrage '%1'"
"Transfer Amount","Suma de transfer"
"Real amount will be transfer to affiliate.","Suma reală va fi transferul la afiliat."
"Affiliate Discount","Afiliere de reducere"
"Please input your friends email address.","Introduceți adresa de e-mail a prietenilor."
"Saved successfully!","Salvat cu succes!"
"Something went wrong while saving the Account.","Sa întâmplat ceva în timpul salvării Contului."
"Your account is not active. Please contact us.","Contul dvs. nu este activ. Va rog sa ne contactati."
"You have to agree with term and conditions.","Trebuie să fiți de acord cu termenii și condițiile."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Felicitări! Te-ai înregistrat cu succes. Vom revizui contul dvs. de afiliere și vă vom informa odată ce acesta va fi aprobat!"
"Congratulations! You have successfully registered.","Felicitări! Te-ai înregistrat cu succes."
"The withdraw has been canceled successfully.","Retragerea a fost anulată cu succes."
"Something went wrong while saving the request.","Sa întâmplat ceva în timp ce salvezi solicitarea."
"Cannot find item.","Nu găsiți elementul."
"An error occur. Please contact us.","Apare o eroare. Va rog sa ne contactati."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Solicitarea dvs. a fost trimisă cu succes. Vă vom examina solicitarea și vă vom informa odată ce aceasta va fi aprobată!"
"Your balance is not enough for request withdraw.","Soldul dvs. nu este suficient pentru retragerea cererii."
"The withdraw amount have to equal or greater than %1","Suma retragerii trebuie să fie egală sau mai mare decât %1"
"The withdraw amount have to equal or less than %1","Suma retragerii trebuie să fie egală sau mai mică de %1"
"This account no longer exists.","Acest cont nu mai există."
"The Account has been deleted.","Contul a fost șters."
"Account to delete was not found.","Contul de șters nu a fost găsit."
"Accounts","Conturi"
"Edit Account ""%1""","Editați contul ""%1"""
"A total of %1 record(s) have been deleted.","Un total de înregistrări %1 au fost șterse."
"The customer ""%1"" has registed as an affiliate already.","Clientul ""%1"" sa înregistrat deja ca afiliat."
"Cannot find account referred.","Nu se poate găsi cont."
"The Account has been created successfully.","Contul a fost creat cu succes."
"The Account has been saved successfully.","Contul a fost salvat cu succes."
"The Banner has been deleted.","Bannerul a fost șters."
"Something went wrong while deleting banner data. Please review the action log and try again.","În timpul ștergerii datelor bannerului sa întâmplat ceva. Consultați jurnalul de acțiuni și încercați din nou."
"We cannot find a banner to delete.","Nu putem găsi un banner pe care să îl ștergem."
"This banner no longer exists.","Acest banner nu mai există."
"Banners","bannere"
"Edit Banner","Editați bannerul"
"This banner does not exist.","Acest banner nu există."
"You saved the banner.","Ați salvat bannerul."
"We cannot save the banner.","Nu putem salva bannerul."
"This campaign no longer exists.","Această campanie nu mai există."
"The Campaign has been deleted.","Campania a fost ștearsă."
"Campaign to delete was not found.","Campania de șters nu a fost găsită."
"Campaigns","campanii"
"Please correct the data sent.","Corectați datele trimise."
"Something went wrong while saving the Campaign.","Sa întâmplat ceva în timpul salvării Campaniei."
"The Campaign has been saved successfully.","Campania a fost salvată cu succes."
"Tier","Nivelul"
"Groups","Grupuri"
"Something went wrong while saving the Group.","Sa întâmplat ceva în timpul salvării Grupului."
"Cannot remove this group","Nu se poate elimina acest grup"
"The Group has been created successfully.","Grupul a fost creat cu succes."
"The Transaction has been canceled.","Tranzacția a fost anulată."
"The Transaction has been completed.","Tranzacția a fost finalizată."
"Transactions","tranzacţii"
"View Transaction ""%1""","Vizualizați tranzacția ""%1"""
"This Transaction no longer exists.","Această tranzacție nu mai există."
"A total of %1 record(s) have been canceled.","Un total de înregistrări %1 au fost anulate."
"A total of %1 record(s) have been completed.","Un total de înregistrări %1 au fost finalizate."
"Account balance is not enough to create this transaction.","Bilanțul contului nu este suficient pentru a crea această tranzacție."
"The Transaction has been created.","Tranzacția a fost creată."
"Something went wrong while saving the Transaction.","Sa întâmplat ceva în timp ce salvați Tranzacția."
"This withdrawal no longer exists.","Această retragere nu mai există."
"Withdraws","Retragerile"
"Edit Withdraw ""%1""","Editați retrageți ""%1"""
"Edit Withdraw ""#%1""","Editați retragerea ""# %1"""
"A total of %1 record(s) have been approved successfully.","Un total de înregistrări %1 au fost aprobate cu succes."
"A total of %1 record(s) have been cancelled.","Un total de înregistrări %1 au fost anulate."
"The Withdraw has been saved.","Anularea a fost salvată."
"Something went wrong while saving the Withdraw.","Sa întâmplat ceva în timp ce salvați Anularea."
"My Affiliate","Afiliatul meu"
"My Credit (%1)","Creditul meu (%1)"
"Active","Activ"
"Inactive","Inactiv"
"Need Approved","Aveți nevoie de aprobare"
"Enabled","Activat"
"Disabled","invalid"
"Percent of cart total","Procentajul total al căruței"
"Fixed amount discount for whole cart","Sumă fixă ​​pentru carul întreg"
"Allow Guest","Permiteți oaspeților"
"Affiliate Member Only","Numai membru afiliat"
"-- Please Select --","-- Te rog selecteaza --"
"Category page","Categoria paginii"
"Product page","Pagina produsului"
"Footer Link","Footer Link"
"Top Link","Top Link"
"Affiliate ID","Cod de afiliere"
"Affiliate Code","Codul afiliat"
"Hash","hașiș"
"Parameter","Parametru"
"Address","Adresa"
"Paypal Email","Paypal e-mail"
"Transaction Id","ID-ul de tranzacție"
"Affiliate Campaign","Afiliere Campanie"
"Campaign %1","Campania %1"
"Affiliate account must be existed.","Contul de afiliere trebuie să existe."
"Transaction amount cannot be zero.","Valoarea tranzacției nu poate fi zero."
"Account balance has been reached the limit. Please contact to store owner.","Soldul contului a atins limita. Contactați-ne pentru a stoca proprietarul."
"Invalid transaction data for canceling.","Datele de tranzacție nevalide pentru anulare."
"Account balance is not enough for canceling.","Bilanțul contului nu este suficient pentru anulare."
"Invalid transaction data to complete.","Datele tranzacției sunt nevalide pentru a fi finalizate."
"Maximum amount allowed in account balance is %1.","Suma maximă permisă în soldul contului este %1."
"Action model is invalid for %1","Modelul de acțiune este nevalid pentru %1"
"Changed by Admin","Modificat de Admin"
"Get commission for order %1","Obțineți comanda pentru comanda %1"
"Taken back commission for refunding order %1","Returnați comisionul pentru rambursarea ordinului %1"
"Subtract balance for withdraw request","Scăderea sumei pentru retragerea cererii"
"On Hold","In asteptare"
"Completed","terminat"
"Cancelled","Anulat"
"Commission","Comision"
"Paid","Plătit"
"Admin","admin"
"The amount request is not enough to pay for fee.","Suma solicitată nu este suficientă pentru plata unei taxe."
"Cannot create transaction for this withdraw.","Nu se poate crea o tranzacție pentru această retragere."
"Invalid withdraw data for canceling.","Returnează datele nevalide pentru anulare."
"Invalid withdraw data for approved.","Se retrage date nevalide pentru aprobare."
"Pending","In asteptarea"
"The Account has been saved.","Contul a fost salvat."
"Affiliate Welcome homepage content","Afiliere Bine ati venit la pagina de pornire"
"Affiliate referfriend description","Afișați descrierea prietenilor"
"Affiliate terms & conditions","Termeni și condiții afiliate"
"Delete ""%1""","Ștergeți ""%1"""
"Are you sure?","Esti sigur?"
"Type (1st Order)","Tip (prima ordine)"
"Value (1st Order)","Valoare (prima ordine)"
"Type (Next orders)","Tip (Comenzi următoare)"
"Value (Next orders)","Valoare (Comenzi următoare)"
"Action","Acțiune"
"Add","Adăuga"
"Delete","Șterge"
"No","Nu"
"Yes","da"
"Link","Legătură"
"Preview","previzualizare"
"Copy and past this source code into your website or forum.","Copiați și treceți acest cod sursă pe site-ul dvs. sau pe forum."
"No banner available","Nu există banner disponibil"
"Credit Information","Informații despre credit"
"Created Date","data creata"
"No transaction found!","Nu a fost găsită tranzacție!"
"Referral Url and Code","URL-ul recomandării și codul"
"Refer Url","Se referă URL-ul"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Recomandările care accesează această adresă URL sunt conectate ca trimiteri odată ce se înregistrează sau plasează o comandă."
"Refer Code","Consultați codul"
"Referrals should enter the code in Coupon form at shopping cart page.","Recomandările trebuie să introducă codul în formularul de cupon de pe pagina de coș de cumpărături."
"Refer Email","Trimiteți e-mail"
"Referrals can enter your e-mail address when signing up affiliate account.","Recomandările pot introduce adresa dvs. de e-mail la înscrierea în contul afiliat."
"Referral Via Social Networks","Recomandarea prin intermediul rețelelor sociale"
"Send Invitation","Trimite invitatia"
"Enter your friends' emails separated by comma","Introduceți e-mailurile prietenilor dvs. separate prin virgulă"
"Add from Address Book","Adăugați din agendă"
"Subject","Subiect"
"Your message","Mesajul tau"
"Short Message","Mesaj scurt"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} va fi înlocuită cu numele prietenului dvs., bazat pe un cont de e-mail. Nu ar trebui să o editați până nu știți ce faceți."
"Send","Trimite"
"Affiliate Subscriptions","Afiliați abonați"
"Receive affiliate email.","Primiți un e-mail afiliat."
"Affiliate Information","Afiliere Informații"
"Customer email or Affiliate code","E-mail pentru client sau cod de afiliere"
"Create an Account","Creează un cont"
"Request Withdraw","Solicitare retragere"
"Request Amount","Suma solicitată"
"Select Payment Method","Selectați metoda de plată"
"Withdraw Policy","Retrage politica"
"Send Request","Trimite cerere"
"Paypal Email Associate","Paypal Email asociat"
"Paypal Email Address","Paypal Adresa de e-mail"
"Withdraw History","Scoateți istoricul"
"Requested Date","Data solicitată"
"Withdraw Method","Retrageți metoda"
"View","Vedere"
"Are you sure you want to cancel this withdraw?","Sigur doriți să anulați retragerea?"
"No withdraw found!","Nu sa găsit retragere!"
"Requested Amount","Suma solicitată"
"Net. Amount","Net. Cantitate"
"Resolve Date","Rezolvați data"
"Back","Înapoi"
"%1 for first order.","%1 pentru prima comanda."
"%1 of Order Total for first order.","%1 din comanda Total pentru prima comanda."
"%1 of Order Profit for first order.","%1 din ordinul Profit pentru prima comanda."
"%1 for next orders.","%1 pentru comenzile următoare."
"%1 of Order Total for next orders.","%1 din Ordine Total pentru comenzile următoare."
"%1 of Order Profit for next orders.","%1 din Ordine Profit pentru comenzile următoare."
"Discount policy","Politica de reducere"
"Valid Date","Data valida"
"Always","Mereu"
"from","din"
"to","la"
"Affiliate account approved","Contul de afiliere a fost aprobat"
"%name,","%name,"
"Welcome to our Affiliate program.","Bine ați venit la programul nostru de Afiliere."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Contul dvs. de afiliere este aprobat și începeți cu caracteristicile remarcabile ale programului de afiliere."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Afilierea este extensia Magento perfectă și interesantă și se pare că este modelul de afaceri, unde aveți rolul de colaborator. Puteți recomanda alți clienți la produsele vânzătorului și apoi faceți un public mare pentru dvs. de cumpărături. Aceasta este o metodă de câștig pe internet, deși nu aveți nevoie de niciun produs sau de un site web privat."
"Specially, you will receive the typical and wonderful benefits following as:","În mod special, veți primi beneficii tipice și minunate după cum urmează:"
"Earning commission","Câștigarea comisionului"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Venind la Affiliate, pur și simplu, veți alege orice produs de pe site-ul vânzătorului și legătura de semințe a produsului cu oamenii care au nevoie de el. În cazul în care președintele cumpără articolul, veți obține procent pe comandă."
"Using available template","Utilizarea șablonului disponibil"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","În plus, vă sunt furnizate șabloane, cum ar fi e-mail, banner, buletine informative, etc pe site-ul vânzătorului. Veți trimite invitații clienților dvs. țintă prin intermediul acestor șabloane, ceea ce vă face să construiți o rețea cu ușurință și perfect."
"Tracking history activities","Urmărirea activităților din istoric"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Afiliere vă sprijină să gestionați procesul de trimitere a invitației, numele destinatarului, profitul etc. De aceea, puteți să vă urmați în mod detaliat lucrarea."
"Giving cash when achieving the target","Oferirea de numerar atunci când atingeți obiectivul"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Afiliații oferă șanse interesante de a câștiga bani în timp ce nu aveți nevoie de produse sau servicii, ci doar să faceți publicitate produsului produsului web al vânzătorului prin metodele de publicitate disponibile. Până când veniturile pe care le vor câștiga ating ratele oferite, vor retrage bani din conturile lor."
"Thank you again, %store_name","Vă mulțumim din nou, %store_name"
"Welcome to our affiliate program","Bine ați venit la programul nostru de afiliere"
"When using our affiliate program, you can use basics features in the following:","Când utilizați programul nostru de afiliere, puteți utiliza funcțiile de bază în următoarele:"
"Let come to Affiliate program to experience attractive opportunities!","Să veniți la programul de Afiliere pentru a experimenta oportunități atractive!"
"Your balance has been updated!","Soldul dvs. a fost actualizat!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Am actualizat soldul pentru tine, astfel încât să puteți avea informații relevante ale comisionului dvs. sau plătite. Acest e-mail vă ajută să vă controlați activ activitățile."
"The transaction detail","Detaliile tranzacției"
"Transaction title: %title","Titlul tranzacției: %title"
"Transaction amount: %amount","Valoarea tranzacției: %amount"
"Transaction status: %status","Starea tranzacției: %status"
"Current balance: %balance","Soldul actual: %balance"
"Withdraw request complete!","Retrageți cererea completă!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Dorim să vă informăm că cererea dvs. de retragere, creată la% request_at, a fost finalizată. Veți primi bani după câteva zile, în funcție de metoda de plată pe care o alegeți."
"The withdraw detail","Descărcați detaliile"
"Withdraw Id: %withdraw_id","Retragere Id:% retrag_id"
"Transfer Amount: %amount","Suma transferului: %amount"
"Request Amount: %amount","Solicitare de sumă: %amount"
"Tax/fee: %fee","Taxă / taxă: %fee"
"Payment Method: %payment","Mod de plată: %ppayment"
"You can check your withdraw by ","Puteți verifica retragerea"
"logging into your account","Vă conectați la contul dvs."
"Affiliate","afilia"
"General","General"
"Enable","Permite"
"Cookie Expiration","Cookie Expirare"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","zi (e). Numărul de zile în care administratorul va stoca cookie-urile acestui program. Implicit: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">aflați mai multe</a>"
"Allow overriding cookies","Permiteți cookie-uri suprasolicitate"
"Allow overriding exist affiliate cookie.","Permiteți supremație existența unui modul cookie afiliat."
"Show Affiliate link on","Afișați linkul Afiliat la"
"Default page","Pagina implicită"
"Affiliate homepage content","Conținutul paginii de pornire a afiliaților"
"Select CMS Static Block.","Selectați CMS Static Block."
"Display Policy Page","Afișați pagina de politică"
"Select CMS Page for Policy Page","Selectați pagina CMS pentru pagina de politici"
"Select CMS page","Selectați pagina CMS"
"Affiliate URL","Afiliere URL"
"URL Style","Stilul URL"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Ex: <br />Parametru: http://exemplu.ro/?<strong>c=123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","Parametru personalizat"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Acest lucru va fi folosit în adrese URL cum ar fi:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Valoarea parametrului"
"The length of Affiliate code","Lungimea codului de afiliere"
"It should be greater than 3, and smaller than 32. Default is 6.","Ar trebui să fie mai mare de 3 și mai mic de 32. Implicit este 6."
"Account Configuration","Configurarea contului"
"Affiliate Sign up","Afiliați Înscrieți-vă"
"Default Affiliate Group","Grupul afiliat implicit"
"Require admin's approval","Solicitați aprobarea administratorului"
"Checked ""Email notification"" by default","A fost selectată o notificare prin e-mail în mod implicit"
"Term and condition","Termeni și condiții"
"Enable Terms and Conditions","Activați Termenii și condițiile"
"Checkbox Text","Bifați caseta de text"
"Terms and Conditions Title","Termeni și condiții Titlu"
"Terms and Conditions Content","Termeni și condiții Conținut"
"Select CMS Block.","Selectați blocarea CMS."
"Checkbox is checked by default","Caseta de selectare este selectată în mod implicit"
"Account Balance","Balanța contului"
"Maximum of Affiliate Balance","Suma maximă a soldului afiliat"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Balanța maximă a afiliatului. Afiliatul nu poate primi comision dacă echilibrul este egal cu această valoare. Gol sau Zero nu este o limitare."
"Allow negative balance","Permiteți soldul negativ"
"Commission Configuration","Configurația Comisiei"
"Earn commission from tax","Câștigați comisionul din impozit"
"Earn commission from shipping fee","Câștigați comisionul din taxa de expediere"
"Commission calculation process","Procesul de calcul al Comisiei"
"Allow Affiliate receiving commission when Invoice created","Permiteți afiliatului să primească comision când factura a fost creată"
"Hold commission transactions for","Țineți tranzacții cu comisioane pentru"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Deduct comision de la soldul afiliat atunci când comanda este rambursat / anulat"
"Withdraw Configuration","Retrage configurația"
"Allow withdraw request","Permiteți retragerea cererii"
"Payment Methods","Metode de plata"
"The minimum balance in affiliate account for requesting withdraw","Soldul minim în contul afiliat pentru solicitarea retragerii"
"Minimum withdraw amount","Suma minimă de retragere"
"Include Fee","Includeți comision"
"Maximum withdraw amount","Suma maximă de retragere"
"Email Configuration","Configurarea e-mailului"
"Email Sender","Expeditor de e-mail"
"Account Email","Cont de email"
"Send Welcome Email","Trimiteți un mesaj de întâmpinare"
"Welcome Email","Bun venit pe e-mail"
"Welcome Email After Account Approved","Bine ați venit după e-mail după aprobarea contului"
"This email will be sent instead of welcome email, after approving account.","Acest e-mail va fi trimis în loc de e-mail de bun venit, după aprobarea contului."
"Transaction Email","E-mail de tranzacție"
"Send Transaction Email","Trimiteți e-mail pentru tranzacții"
"Update Balance Email","Actualizați balanța e-mail"
"Withdraw Email","Retrageți e-mailul"
"Send Withdraw Email","Trimiteți retragerea e-mailului"
"Withdraw Complete Email","Retrage e-mailul complet"
"Refer Friends Configuration","Consultați Configurația prietenilor"
"Enable Refer Friends Feature","Activați funcția de trimitere a prietenilor"
"Refer Sharing Email","Trimiteți partajarea e-mailului"
"Default Refer Url","Adresa URL recomandată implicită"
"Select block to show referfriend description","Selectați bloc pentru a afișa descrierea referinței"
"Refer friend homepage content","Consultați conținutul paginii cu prietenii"
"AddThis.com ID","ID-ul AddThis.com"
"Use Cloudsponge to retrieve email contacts","Utilizați Cloudsponge pentru a prelua contactele de e-mail"
"Cloudsponge Key","Cheia Cloudsponge"
"Sending Email Content","Trimiterea conținutului de e-mail"
"Default Email Subject","Subiectul e-mail implicit"
"Default Email Body","E-mailul implicit"
"Default Message Shared via Social","Mesaj prestabilit distribuit prin Social"
"ID","ID-ul"
"Email","E-mail"
"Phone","Telefon"
"ZIP/Post Code","Cod postal"
"Country","Țară"
"State/Province","Stat / Provincie"
"Signed-up Point","Punct de înscriere"
"Website","website"
"Created At","Creat la"
"Add New Account","Adăugați un cont nou"
"Delete Accounts","Ștergeți conturile"
"Are you sure you want to delete selected Accounts?","Sigur doriți să ștergeți Conturile selectate?"
"Total Commission","Comisia totală"
"Add New Banner","Adăugați un nou banner"
"Delete Banners","Ștergeți bannerele"
"Are you sure you want to delete selected banners?","Sigur doriți să ștergeți bannerele selectate?"
"URL","URL-"
"Campaign","Campanie"
"Created","Creată"
"Add New Campaign","Adăugați o nouă campanie"
"Delete Campaigns","Ștergeți campaniile"
"Are you sure you wan't to delete selected Campaigns?","Sunteți sigur că nu doriți să ștergeți Campanii selectate?"
"Add New Group","Adăugați un grup nou"
"Delete Groups","Ștergeți grupurile"
"Are you sure you want to delete selected groups?","Sigur doriți să ștergeți grupurile selectate?"
"Add New Transaction","Adăugați o nouă tranzacție"
"Complete Transactions","Tranzacții complete"
"Are you sure you want to complete selected transactions?","Sigur doriți să finalizați tranzacțiile selectate?"
"Cancel Transactions","Anulați tranzacțiile"
"Are you sure you want to cancel selected Transactions?","Sigur doriți să anulați tranzacțiile selectate?"
"Action Type","Tip de acțiune"
"Amount Used","Suma utilizată"
"Amount Hold","Suma Suspendare"
"Current Balance","Sold curent"
"Store","Magazin"
"Holding Date","Data deținerii"
"Add New Withdraw","Adăugați o nouă retragere"
"Approve","Aproba"
"Approve Withdraws","Aprobă retragerile"
"Are you sure you want to approve selected Withdraws?","Sigur doriți să aprobați selecțiile retrase?"
"Cancel Withdraws","Anulare retrage"
"Are you sure you want to cancel selected Withdraws?","Sigur doriți să anulați retragerile selectate?"
"Transaction ID","ID-ul de tranzacție"
"Transferred","transferat"
"Account Dashboard","Tabloul de bord pentru cont"
"Home","Acasă"
"Signup","Inscrie"
"Refer Friend","Trimite prietenul"
"Setting","reglaj"