"Affiliate Banners","Партнерские баннеры"
"My Credit","Мой кредит"
"Available Balance","доступные средства"
"Holding Balance","Холдинг-баланс"
"Total Earned","Всего заработало"
"Total Paid","Итого"
"Refer friends","Отправить друзьям"
"Affiliate Setting","Настройка партнера"
"Signup Affiliate","Регистрация Присоединиться"
"My Withdrawal","Мой вывод"
"You can request withdraw when your balance equal or greater than %1","Вы можете запросить снятие средств, если ваш баланс равен или больше, чем %1"
"You can withdraw a minimum %1","Вы можете снять минимум %1"
"You can withdraw a maximum %1","Вы можете снять максимум %1"
"Save Account","Сохранить аккаунт"
"Cancel","Отмена"
"New Account","Новый аккаунт"
"Please select a customer","Выберите клиента"
"Account Information","Информация об аккаунте"
"Customer","Клиент"
"Affiliate Group","Партнерская группа"
"Referred By","Отправлено"
"Affiliate account Id","Идентификатор партнерской учетной записи"
"Status","Положение дел"
"Email Notification","Уведомление по электронной почте"
"Account","Счет"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Edit Account '%1'","Изменить учетную запись '%1'"
"Balance","Баланс"
"Referral Code","Промо-код"
"Save Banner","Сохранить баннер"
"Edit Banner ""%1""","Редактировать баннер ""%1"""
"New Banner","Новый баннер"
"Banner Information","Баннерная информация"
"Title","заглавие"
"Content","содержание"
"Url","Веб-сайт"
"If empty, home page will be used.","Если пусто, будет использоваться домашняя страница."
"Related Campaign","Связанная кампания"
"Only affiliates who are in above campaign can see this banner.","Этот баннер может видеть только аффилированные лица, которые находятся в вышеуказанной кампании."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Поместите атрибут rel = ""nofollow"" в ссылку."
"Save Campaign","Сохранить кампанию"
"Edit Campaign ""%1""","Редактировать кампанию «%1»"
"New Campaign","Новая кампания"
"Campaign Information","Информация о кампании"
"Name","имя"
"Description","Описание"
"Website IDs","Идентификаторы веб-сайтов"
"Affiliate Groups","Партнерские группы"
"Display","дисплей"
"Active From Date","Активен с даты"
"Active To Date","Активен до даты"
"Sort Order","Порядок сортировки"
"Pay Per Sale","Оплата за продажу"
"Add Commission Type and Value","Добавить тип и стоимость комиссии"
"Commissions","Комиссионные"
"Percentage of grand total","Процент от общей суммы"
"Fixed amount","Фиксированное количество"
"Apply the rule only if the following conditions are met (leave blank for all products)","Примените правило только в том случае, если выполнены следующие условия (оставьте пустым для всех продуктов)"
"Condition","Состояние"
"Conditions","условия"
"Discounts","Скидки"
"Discount","скидка"
"Apply","Подать заявление"
"Discount Amount","Сумма скидки"
"Apply to Shipping Amount","Подать заявку на сумму доставки"
"Discount Description","Описание скидок"
"Save Group","Сохранить группу"
"New Group","Новая группа"
"Group Information","Информация о группе"
"Group","группа"
"label","метка"
"Reset banner traffic","Сбросить трафик баннера"
"Save Transaction","Сохранить транзакцию"
"New Transaction","Новая транзакция"
"Please select an affiliate account","Выберите партнерскую учетную запись"
"Transaction Information","Информация о транзакции"
"Amount","Количество"
"Add or subtract affiliate's balance. E.g: 99 or -99","Добавить или вычесть баланс партнера. Например: 99 или -99"
"Holding Transaction For","Ведение транзакции для"
"Transaction","Сделка"
"Are you sure you want to cancel this transaction?","Вы действительно хотите отменить эту транзакцию?"
"Are you sure you want to complete this transaction?","Вы действительно хотите завершить эту транзакцию?"
"Complete","полный"
"View Transaction '%1'","Просмотр транзакции '%1'"
"Affiliate Account","Партнерская учетная запись"
"Type","Тип"
"Order","порядок"
"Created by","Сделано"
"This transaction will be holed to","Эта сделка будет"
"Created Time","Время создания"
"Save and Approve","Сохранить и утвердить"
"Save","Сохранить"
"New Withdraw","Новый вывод"
"Withdraw Information","Вывести информацию"
"Include fee.","Включите плату."
"Fee","плата"
"If empty, configuration value will be used.","Если пусто, будет использоваться значение конфигурации."
"Payment Method","Способ оплаты"
"Payment Detail","Детали оплаты"
"Withdraw","Изымать"
"Edit Withdraw '%1'","Редактировать Снять '%1'"
"Transfer Amount","Сумма перевода"
"Real amount will be transfer to affiliate.","Реальная сумма будет передана аффилированному лицу."
"Affiliate Discount","Партнерская скидка"
"Please input your friends email address.","Введите адрес электронной почты своих друзей."
"Saved successfully!","Успешно сохранено!"
"Something went wrong while saving the Account.","При сохранении учетной записи что-то пошло не так."
"Your account is not active. Please contact us.","Ваша учетная запись неактивна. Пожалуйста свяжитесь с нами."
"You have to agree with term and conditions.","Вы должны согласиться с условиями и условиями."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Поздравления! Вы успешно зарегистрированы. Мы рассмотрим ваш партнерский аккаунт и сообщим вам, как только он будет одобрен!"
"Congratulations! You have successfully registered.","Поздравления! Вы успешно зарегистрированы."
"The withdraw has been canceled successfully.","Вывод отменен успешно."
"Something went wrong while saving the request.","При сохранении запроса произошла ошибка."
"Cannot find item.","Не удается найти элемент."
"An error occur. Please contact us.","Произошла ошибка. Пожалуйста свяжитесь с нами."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Ваш запрос отправлен успешно. Мы рассмотрим ваш запрос и сообщим вам, как только он будет одобрен!"
"Your balance is not enough for request withdraw.","Недостаточно вашего баланса для снятия запроса."
"The withdraw amount have to equal or greater than %1","Сумма отзыва должна быть равна или больше %1"
"The withdraw amount have to equal or less than %1","Сумма отзыва должна быть равна или меньше %1"
"This account no longer exists.","Этот счет больше не существует."
"The Account has been deleted.","Учетная запись удалена."
"Account to delete was not found.","Учетная запись для удаления не найдена."
"Accounts","Счета"
"Edit Account ""%1""","Изменить учетную запись «%1»"
"A total of %1 record(s) have been deleted.","Записано %1 записей (ов)."
"The customer ""%1"" has registed as an affiliate already.","Клиент «%1» уже зарегистрирован как партнер."
"Cannot find account referred.","Не удается найти аккаунт."
"The Account has been created successfully.","Аккаунт создан успешно."
"The Account has been saved successfully.","Учетная запись успешно сохранена."
"The Banner has been deleted.","Баннер удален."
"Something went wrong while deleting banner data. Please review the action log and try again.","При удалении данных баннера что-то пошло не так. Просмотрите журнал действий и повторите попытку."
"We cannot find a banner to delete.","Мы не можем найти баннер для удаления."
"This banner no longer exists.","Этот баннер больше не существует."
"Banners","Баннеры"
"Edit Banner","Изменить баннер"
"This banner does not exist.","Этот баннер не существует."
"You saved the banner.","Вы сохранили баннер."
"We cannot save the banner.","Мы не можем сохранить баннер."
"This campaign no longer exists.","Эта кампания больше не существует."
"The Campaign has been deleted.","Кампания удалена."
"Campaign to delete was not found.","Кампания для удаления не найдена."
"Campaigns","Кампании"
"Please correct the data sent.","Пожалуйста, исправьте отправленные данные."
"Something went wrong while saving the Campaign.","При сохранении Кампании что-то пошло не так."
"The Campaign has been saved successfully.","Кампания успешно сохранена."
"Tier","ярус"
"Groups","группы"
"Something went wrong while saving the Group.","При сохранении группы произошла ошибка."
"Cannot remove this group","Не удается удалить эту группу"
"The Group has been created successfully.","Группа была успешно создана."
"The Transaction has been canceled.","Сделка отменена."
"The Transaction has been completed.","Сделка завершена."
"Transactions","операции"
"View Transaction ""%1""","Открыть транзакцию ""%1"""
"This Transaction no longer exists.","Эта транзакция больше не существует."
"A total of %1 record(s) have been canceled.","Записано %1 записей (ов)."
"A total of %1 record(s) have been completed.","Завершено %1 записей (ов)."
"Account balance is not enough to create this transaction.","Сальдо счета недостаточно для создания этой транзакции."
"The Transaction has been created.","Сделка создана."
"Something went wrong while saving the Transaction.","Что-то пошло не так, экономя транзакцию."
"This withdrawal no longer exists.","Этот вывод больше не существует."
"Withdraws","отозвало"
"Edit Withdraw ""%1""","Измените удаление ""%1"""
"Edit Withdraw ""#%1""","Edit Withdraw ""# %1"""
"A total of %1 record(s) have been approved successfully.","В общей сложности было зарегистрировано %1 записей (ов)."
"A total of %1 record(s) have been cancelled.","Записано %1 записей (ов)."
"The Withdraw has been saved.","Снятие было сохранено."
"Something went wrong while saving the Withdraw.","Что-то пошло не так, при сохранении Withdraw."
"My Affiliate","Мой партнер"
"My Credit (%1)","Мой кредит (%1)"
"Active","активный"
"Inactive","Неактивный"
"Need Approved","Требуется одобрение"
"Enabled","Включено"
"Disabled","Отключено"
"Percent of cart total","Процент от общей суммы тележки"
"Fixed amount discount for whole cart","Скидка фиксированной суммы для всей тележки"
"Allow Guest","Разрешить гость"
"Affiliate Member Only","Только для партнеров"
"-- Please Select --","-- Пожалуйста выберите --"
"Category page","Страница категории"
"Product page","Страница продукта"
"Footer Link","Нижний колонтитул"
"Top Link","Верхняя ссылка"
"Affiliate ID","Идентификатор партнера"
"Affiliate Code","Партнерский код"
"Hash","гашиш"
"Parameter","параметр"
"Address","Адрес"
"Paypal Email","Электронная почта Paypal"
"Transaction Id","ID транзакции"
"Affiliate Campaign","Партнерская кампания"
"Campaign %1","Кампания %1"
"Affiliate account must be existed.","Аффилированная учетная запись должна существовать."
"Transaction amount cannot be zero.","Сумма транзакции не может быть равна нулю."
"Account balance has been reached the limit. Please contact to store owner.","Сальдо счета достигло предела. Свяжитесь с владельцем магазина."
"Invalid transaction data for canceling.","Недействительные данные транзакции для отмены."
"Account balance is not enough for canceling.","Сальдо счета недостаточно для отмены."
"Invalid transaction data to complete.","Неверные данные транзакции для завершения."
"Maximum amount allowed in account balance is %1.","Максимальная допустимая сумма на счете составляет %1."
"Action model is invalid for %1","Модель действия недействительна для %1"
"Changed by Admin","Изменено администратором"
"Get commission for order %1","Получить комиссионные для заказа %1"
"Taken back commission for refunding order %1","Собрана комиссия за возврат средств %1"
"Subtract balance for withdraw request","Вычесть остаток для запроса на возврат"
"On Hold","На удерживании"
"Completed","Завершенный"
"Cancelled","отменен"
"Commission","комиссия"
"Paid","оплаченный"
"Admin","Администратор"
"The amount request is not enough to pay for fee.","Требование суммы недостаточно для оплаты."
"Cannot create transaction for this withdraw.","Невозможно создать транзакцию для этого вывода."
"Invalid withdraw data for canceling.","Недействительный вывод данных для отмены."
"Invalid withdraw data for approved.","Недействительный вывод данных для одобренных."
"Pending","в ожидании"
"The Account has been saved.","Учетная запись сохранена."
"Affiliate Welcome homepage content","Добро пожаловать!"
"Affiliate referfriend description","Описание ссылки партнера"
"Affiliate terms & conditions","Партнерские условия"
"Delete ""%1""","Удалить ""%1"""
"Are you sure?","Ты уверен?"
"Type (1st Order)","Тип (1-й заказ)"
"Value (1st Order)","Значение (1-й порядок)"
"Type (Next orders)","Тип (следующие заказы)"
"Value (Next orders)","Значение (следующие заказы)"
"Action","действие"
"Add","Добавить"
"Delete","Удалить"
"No","нет"
"Yes","да"
"Link","Ссылка"
"Preview","предварительный просмотр"
"Copy and past this source code into your website or forum.","Скопируйте и запустите этот исходный код на свой сайт или форум."
"No banner available","Нет доступных баннеров"
"Credit Information","Кредитная информация"
"Created Date","Дата создания"
"No transaction found!","Никакой сделки не найдено!"
"Referral Url and Code","URL-адрес реферала и код"
"Refer Url","Refer Url"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Рефералы, которые обращаются к этому URL-адресу, подключаются как рефералы после регистрации или размещения заказа."
"Refer Code","Обратитесь к коду"
"Referrals should enter the code in Coupon form at shopping cart page.","Рефералы должны ввести код в форме купона на странице корзины покупок."
"Refer Email","Отправить по электронной почте"
"Referrals can enter your e-mail address when signing up affiliate account.","При регистрации партнерской учетной записи рефералы могут вводить ваш адрес электронной почты."
"Referral Via Social Networks","Направление через социальные сети"
"Send Invitation","Выслать пригласительное"
"Enter your friends' emails separated by comma","Введите электронные письма своих друзей, разделенные запятой"
"Add from Address Book","Добавить из адресной книги"
"Subject","Предмет"
"Your message","Ваше сообщение"
"Short Message","Короткое сообщение"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} будет заменено вашим именем друга на основе учетной записи электронной почты. Вы не должны редактировать его, пока не узнаете, что делаете."
"Send","послать"
"Affiliate Subscriptions","Партнерская подписка"
"Receive affiliate email.","Получайте партнерскую электронную почту."
"Affiliate Information","Информация о партнере"
"Customer email or Affiliate code","Электронная почта клиента или код партнера"
"Create an Account","Завести аккаунт"
"Request Withdraw","Запрос на снятие средств"
"Request Amount","Сумма запроса"
"Select Payment Method","Выберите метод оплаты"
"Withdraw Policy","Политика вывода средств"
"Send Request","Послать запрос"
"Paypal Email Associate","Адреса электронной почты Paypal"
"Paypal Email Address","Адрес электронной почты Paypal"
"Withdraw History","История изъятия"
"Requested Date","Запрошенная дата"
"Withdraw Method","Метод вывода"
"View","Посмотреть"
"Are you sure you want to cancel this withdraw?","Вы действительно хотите отменить это снятие?"
"No withdraw found!","Не найдено ни одного отзыва!"
"Requested Amount","Запрошенная сумма"
"Net. Amount","Сеть. Количество"
"Resolve Date","Дата разрешения"
"Back","назад"
"%1 for first order.","%1 для первого порядка."
"%1 of Order Total for first order.","%1 заказа Всего для первого заказа."
"%1 of Order Profit for first order.","%1 Прибыль Прибыль для первого заказа."
"%1 for next orders.","%1 для следующих заказов."
"%1 of Order Total for next orders.","%1 заказа Всего для следующих заказов."
"%1 of Order Profit for next orders.","%1 Прибыль Прибыль для следующих заказов."
"Discount policy","Дисконтная политика"
"Valid Date","Действительной датой"
"Always","Всегда"
"from","из"
"to","в"
"Affiliate account approved","Утвержденная партнерская учетная запись"
"%name,","%name,"
"Welcome to our Affiliate program.","Добро пожаловать в нашу Партнерскую программу."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Ваша партнерская учетная запись одобрена и начнется с выдающихся функций партнерской программы."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Affiliate является идеальным и интересным дополнением Magento и, похоже, является бизнес-моделью, где вы играете роль соавторов. Вы можете рекомендовать другим клиентам продукты продавца, а затем сделать для себя большую торговую аудиторию. Это зарабатывает методы в Интернете, хотя вам не нужен какой-либо продукт или частный веб-сайт."
"Specially, you will receive the typical and wonderful benefits following as:","Специально вы получите типичные и замечательные преимущества, следующие за:"
"Earning commission","Комиссия за вознаграждение"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Прибывая в Affiliate, вы просто выберете любой продукт с сайта продавца и ссылку на семя продукта на людей, которым это нужно. Если настоящее лицо покупает товар, вы получите процент за заказ."
"Using available template","Использование доступного шаблона"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Кроме того, вы получаете шаблоны, такие как электронная почта, баннер, информационные бюллетени и т. Д. На веб-сайте продавца. Этими шаблонами вы будете отправлять приглашения своим целевым клиентам, что позволит вам легко и просто построить сеть."
"Tracking history activities","Отслеживание истории"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Партнерская поддержка позволяет вам управлять процессом отправки приглашения, имени получателя, его прибыли и т. Д. Поэтому вы можете подробно следить за своей работой самостоятельно."
"Giving cash when achieving the target","Предоставление денежных средств при достижении цели"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Аффилиат дает интересные шансы зарабатывать деньги, пока вам не нужны какие-либо продукты или услуги, вы рекламируете продукт только на сайте продавца по доступным рекламным методам. Пока их доход, который они получают, не достигнет предложенных ставок, они будут снимать деньги со своих счетов."
"Thank you again, %store_name","Еще раз спасибо, %store_name"
"Welcome to our affiliate program","Добро пожаловать в нашу партнерскую программу"
"When using our affiliate program, you can use basics features in the following:","При использовании нашей партнерской программы вы можете использовать основные функции в следующем:"
"Let come to Affiliate program to experience attractive opportunities!","Позвольте прийти в Партнерскую программу, чтобы испытать привлекательные возможности!"
"Your balance has been updated!","Ваш баланс обновлен!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Мы обновили баланс для вас, чтобы вы могли получить соответствующую информацию о своей комиссии или заплатить. Это электронное письмо поможет вам активно контролировать свою деятельность."
"The transaction detail","Детали транзакции"
"Transaction title: %title","Название сделки: %title"
"Transaction amount: %amount","Сумма транзакции: %amount"
"Transaction status: %status","Статус транзакции: %status"
"Current balance: %balance","Текущий баланс: %balance"
"Withdraw request complete!","Запрос на аннулирование завершен!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Мы хотели бы сообщить вам, что ваш запрос на возврат, который был создан на странице% request_at, был завершен. Вы будете получать деньги через несколько дней в зависимости от выбранного вами способа оплаты."
"The withdraw detail","Детали снятия"
"Withdraw Id: %withdraw_id","Идентификатор отмены:% withdraw_id"
"Transfer Amount: %amount","Сумма перевода: %amount"
"Request Amount: %amount","Сумма запроса: %amount"
"Tax/fee: %fee","Налог / плата: %fee"
"Payment Method: %payment","Способ оплаты: %payment"
"You can check your withdraw by ","Вы можете проверить свое снятие"
"logging into your account","Вход в вашу учетную запись"
"Affiliate","филиал"
"General","Генеральная"
"Enable","включить"
"Cookie Expiration","Срок действия Cookie"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","день (ей). Количество дней для администратора для хранения файлов cookie этой программы. По умолчанию: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>"
"Allow overriding cookies","Разрешить переопределение файлов cookie"
"Allow overriding exist affiliate cookie.","Разрешить переопределять существующие файлы cookie."
"Show Affiliate link on","Показать партнерскую ссылку"
"Default page","Страница по умолчанию"
"Affiliate homepage content","Содержание домашней страницы партнера"
"Select CMS Static Block.","Выберите CMS Static Block."
"Display Policy Page","Показать страницу политики"
"Select CMS Page for Policy Page","Выберите страницу CMS для страницы политики"
"Select CMS page","Выберите страницу CMS"
"Affiliate URL","Партнерский URL"
"URL Style","Стиль URL"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Например: <br />Параметр: http://example.com/?<strong>c=123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","Пользовательский параметр"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Это будет использоваться в URL-адресе, например:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Значение параметра"
"The length of Affiliate code","Длина кода партнера"
"It should be greater than 3, and smaller than 32. Default is 6.","Он должен быть больше 3 и меньше 32. Значение по умолчанию - 6."
"Account Configuration","Конфигурация учетной записи"
"Affiliate Sign up","Присоединиться Зарегистрироваться"
"Default Affiliate Group","Партнерская группа по умолчанию"
"Require admin's approval","Требовать одобрения администратора"
"Checked ""Email notification"" by default","Проверено «Уведомление по электронной почте» по умолчанию"
"Term and condition","Срок и условие"
"Enable Terms and Conditions","Включить условия"
"Checkbox Text","Текст флага"
"Terms and Conditions Title","Условия использования"
"Terms and Conditions Content","Условия использования"
"Select CMS Block.","Выберите CMS-блок."
"Checkbox is checked by default","Флажок установлен по умолчанию"
"Account Balance","Баланс"
"Maximum of Affiliate Balance","Максимальный баланс партнерской программы"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Максимальный баланс Аффилированного лица. Партнер не может получить комиссию, если баланс равен этой стоимости. Пустой или Zero не является ограничением."
"Allow negative balance","Разрешить отрицательный баланс"
"Commission Configuration","Конфигурация комиссии"
"Earn commission from tax","Зарабатывать комиссионные с налога"
"Earn commission from shipping fee","Заработайте комиссию за доставку"
"Commission calculation process","Процесс расчета комиссии"
"Allow Affiliate receiving commission when Invoice created","Разрешить комиссионное вознаграждение партнера при создании счета-фактуры"
"Hold commission transactions for","Удерживать комиссионные"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Вычитайте комиссионные с баланса Партнера, когда заказ будет возвращен / отменен"
"Withdraw Configuration","Конфигурация вывода"
"Allow withdraw request","Разрешить отозвать запрос"
"Payment Methods","Способы оплаты"
"The minimum balance in affiliate account for requesting withdraw","Минимальный остаток на партнерском счете для запроса"
"Minimum withdraw amount","Минимальная сумма отзыва"
"Include Fee","Включить плату"
"Maximum withdraw amount","Максимальная сумма снятия"
"Email Configuration","Конфигурация электронной почты"
"Email Sender","Отправитель электронной почты"
"Account Email","Адрес электронной почты"
"Send Welcome Email","Отправить приветственный Email"
"Welcome Email","Приветственное письмо"
"Welcome Email After Account Approved","Приветственный адрес электронной почты после одобрения учетной записи"
"This email will be sent instead of welcome email, after approving account.","Это письмо будет отправлено вместо приветственного письма после подтверждения учетной записи."
"Transaction Email","Электронная почта транзакции"
"Send Transaction Email","Отправить транзакционную электронную почту"
"Update Balance Email","Обновить баланс"
"Withdraw Email","Отправить электронное письмо"
"Send Withdraw Email","Отправить Списание электронной почты"
"Withdraw Complete Email","Снять полную электронную почту"
"Refer Friends Configuration","См. Конфигурация друзей"
"Enable Refer Friends Feature","Включить функцию друзей друзей"
"Refer Sharing Email","См. Общий доступ к электронной почте"
"Default Refer Url","Default Refer Url"
"Select block to show referfriend description","Выберите блок, чтобы показать описание ссылки"
"Refer friend homepage content","Отправить ссылку на домашнюю страницу"
"AddThis.com ID","Идентификатор AddThis.com"
"Use Cloudsponge to retrieve email contacts","Используйте Cloudsponge для получения контактов электронной почты"
"Cloudsponge Key","Ключ Cloudsponge"
"Sending Email Content","Отправка содержимого электронной почты"
"Default Email Subject","Тема по умолчанию для электронной почты"
"Default Email Body","Тело электронной почты по умолчанию"
"Default Message Shared via Social","Сообщение об изменении по умолчанию через социальное"
"ID","Я БЫ"
"Email","Эл. адрес"
"Phone","Телефон"
"ZIP/Post Code","Почтовый индекс"
"Country","Страна"
"State/Province","Штат / провинция"
"Signed-up Point","Подписанный пункт"
"Website","Веб-сайт"
"Created At","Создан в"
"Add New Account","Добавить новую учетную запись"
"Delete Accounts","Удалить учетные записи"
"Are you sure you want to delete selected Accounts?","Вы действительно хотите удалить выбранные учетные записи?"
"Total Commission","Общая комиссия"
"Add New Banner","Добавить новый баннер"
"Delete Banners","Удалить баннеры"
"Are you sure you want to delete selected banners?","Вы действительно хотите удалить выбранные баннеры?"
"URL","URL"
"Campaign","кампания"
"Created","созданный"
"Add New Campaign","Добавить новую кампанию"
"Delete Campaigns","Удалить кампании"
"Are you sure you wan't to delete selected Campaigns?","Вы уверены, что не хотите удалять выбранные кампании?"
"Add New Group","Добавить новую группу"
"Delete Groups","Удалить группы"
"Are you sure you want to delete selected groups?","Вы действительно хотите удалить выбранные группы?"
"Add New Transaction","Добавить новую транзакцию"
"Complete Transactions","Полные транзакции"
"Are you sure you want to complete selected transactions?","Вы действительно хотите завершить выбранные транзакции?"
"Cancel Transactions","Отменить транзакции"
"Are you sure you want to cancel selected Transactions?","Вы действительно хотите отменить выбранные транзакции?"
"Action Type","Тип действия"
"Amount Used","Используемое количество"
"Amount Hold","Сумма удержания"
"Current Balance","Текущий баланс"
"Store","хранить"
"Holding Date","Дата проведения"
"Add New Withdraw","Добавить новый вывод"
"Approve","Одобрить"
"Approve Withdraws","Одобрить снятие"
"Are you sure you want to approve selected Withdraws?","Вы уверены, что хотите одобрить выбранные Снятие?"
"Cancel Withdraws","Отменить удаление"
"Are you sure you want to cancel selected Withdraws?","Вы действительно хотите отменить выбранные Снятие?"
"Transaction ID","ID транзакции"
"Transferred","Переданы"
"Account Dashboard","Личный кабинет"
"Home","Главная"
"Signup","Зарегистрироваться"
"Refer Friend","Отправить другу"
"Setting","настройка"