"Affiliate Banners","Аффилиате баннерс"
"My Credit","Мој кредит"
"Available Balance","Доступно Стање"
"Holding Balance","Холдинг Баланце"
"Total Earned","Тотал Еарнед"
"Total Paid","Укупно плаћено"
"Refer friends","Позовите пријатеље"
"Affiliate Setting","Аффилиате Сеттинг"
"Signup Affiliate","Сигнуп Аффилиате"
"My Withdrawal","Мој повлачење"
"You can request withdraw when your balance equal or greater than %1","Можете затражити повлачење када је ваш салдо једнак или већи од %1"
"You can withdraw a minimum %1","Можете подићи минимум %1"
"You can withdraw a maximum %1","Можете подићи највише %1"
"Save Account","Сачувај налог"
"Cancel","Отказати"
"New Account","Нови налог"
"Please select a customer","Изаберите купца"
"Account Information","Информације о налогу"
"Customer","Купац"
"Affiliate Group","Аффилиате Гроуп"
"Referred By","Препоручени од"
"Affiliate account Id","Ид картице партнера"
"Status","Статус"
"Email Notification","Обавештење о е-пошти"
"Account","Рачун"
"Save and Continue Edit","Сачувај и настави уредити"
"Edit Account '%1'","Измени налог '%1'"
"Balance","Баланс"
"Referral Code","Реферални код"
"Save Banner","Сачувај банер"
"Edit Banner ""%1""","Измени Банер ""%1"""
"New Banner","Нев Баннер"
"Banner Information","Информације о баннеру"
"Title","Наслов"
"Content","Садржај"
"Url","Урл"
"If empty, home page will be used.","Ако је празна, почетна страница ће се користити."
"Related Campaign","Повезана кампања"
"Only affiliates who are in above campaign can see this banner.","Само подружнице које су у претходној кампањи могу видјети овај банер."
"Rel Nofollow","Рел Нофоллов"
"Put the rel=""nofollow"" attribute on the link.","Ставите рел = ""нофоллов"" атрибут на линку."
"Save Campaign","Сачувај кампању"
"Edit Campaign ""%1""","Измени кампању ""%1"""
"New Campaign","Нова кампања"
"Campaign Information","Информације о кампањи"
"Name","Име"
"Description","Опис"
"Website IDs","ИД-ове веб-сајта"
"Affiliate Groups","Аффилиате Гроупс"
"Display","Приказ"
"Active From Date","Активно од датума"
"Active To Date","Активно за датум"
"Sort Order","Сорт Ордер"
"Pay Per Sale","Плаћајте по продаји"
"Add Commission Type and Value","Додајте тип и вредност комисије"
"Commissions","Комисије"
"Percentage of grand total","Проценат укупног броја"
"Fixed amount","Фиксни износ"
"Apply the rule only if the following conditions are met (leave blank for all products)","Примијените правило само ако су испуњени сљедећи услови (оставите празно за све производе)"
"Condition","Стање"
"Conditions","Услови"
"Discounts","Попусти"
"Discount","Попуст"
"Apply","Применити"
"Discount Amount","Износ попуста"
"Apply to Shipping Amount","Примени на износ отпреме"
"Discount Description","Опис попуста"
"Save Group","Сачувај групу"
"New Group","Нова група"
"Group Information","Информације о групи"
"Group","Група"
"label","етикета"
"Reset banner traffic","Ресетујте банер саобраћај"
"Save Transaction","Сачувај трансакцију"
"New Transaction","Нова трансакција"
"Please select an affiliate account","Молимо изаберите аффилиате налог"
"Transaction Information","Информације о трансакцији"
"Amount","Износ"
"Add or subtract affiliate's balance. E.g: 99 or -99","Додајте или одузмите биланс подружнице. Нпр .: 99 или -99"
"Holding Transaction For","Холдинг Трансацтион Фор"
"Transaction","Трансакција"
"Are you sure you want to cancel this transaction?","Да ли сте сигурни да желите отказати ову трансакцију?"
"Are you sure you want to complete this transaction?","Да ли сте сигурни да желите завршити ову трансакцију?"
"Complete","комплетан"
"View Transaction '%1'","Погледај трансакцију '%1'"
"Affiliate Account","Аффилиате рачун"
"Type","Тип"
"Order","Наручи"
"Created by","Цреатед би"
"This transaction will be holed to","Овом трансакцијом ће се водити"
"Created Time","Створено време"
"Save and Approve","Сачувај и одобри"
"Save","сачувати"
"New Withdraw","Ново повлачење"
"Withdraw Information","Повући податке"
"Include fee.","Укључите накнаду."
"Fee","Накнада"
"If empty, configuration value will be used.","Ако је празна, користиће се конфигурациона вредност."
"Payment Method","Начин плаћања"
"Payment Detail","Детаљи плаћања"
"Withdraw","Повлачење"
"Edit Withdraw '%1'","Едит Витхдрав '%1'"
"Transfer Amount","Трансфер износ"
"Real amount will be transfer to affiliate.","Реални износ ће бити трансфер на аффилиате."
"Affiliate Discount","Аффилиате Дисцоунт"
"Please input your friends email address.","Молимо унесите адресу е-поште пријатеља."
"Saved successfully!","Сачувано успешно!"
"Something went wrong while saving the Account.","Нешто је пошло наопако док сте сачували рачун."
"Your account is not active. Please contact us.","Ваш рачун није активан. Молимо Вас да нас контактирате."
"You have to agree with term and conditions.","Морате се сложити са термином и условима."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Честитам! Успешно сте се регистровали. Прегледаћемо ваш аффилиате рачун и обавестити вас када буде одобрен!"
"Congratulations! You have successfully registered.","Честитам! Успешно сте се регистровали."
"The withdraw has been canceled successfully.","Повлачење је успешно отказано."
"Something went wrong while saving the request.","Нешто је пошло наопако при чувању захтева."
"Cannot find item.","Не могу наћи артикал."
"An error occur. Please contact us.","Појавила се грешка. Молимо Вас да нас контактирате."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Ваш захтев је успешно послат. Прегледаћемо ваш захтев и обавијестит ћемо вас када буде одобрен!"
"Your balance is not enough for request withdraw.","Ваш салдо није довољан за повлачење захтева."
"The withdraw amount have to equal or greater than %1","Повучени износ мора бити једнак или већи од %1"
"The withdraw amount have to equal or less than %1","Повучени износ мора бити једнак или мањи од %1"
"This account no longer exists.","Овај налог више не постоји."
"The Account has been deleted.","Рачун је избрисан."
"Account to delete was not found.","Рачун који је обрисао није пронађен."
"Accounts","Аццоунтс"
"Edit Account ""%1""","Измени налог ""%1"""
"A total of %1 record(s) have been deleted.","Укупно %1 записа су избрисани."
"The customer ""%1"" has registed as an affiliate already.","Корисник ""%1"" је већ регистровао као подружницу."
"Cannot find account referred.","Не могу да пронађем налог."
"The Account has been created successfully.","Рачун је успешно креиран."
"The Account has been saved successfully.","Рачун је успешно сачуван."
"The Banner has been deleted.","Банер је избрисан."
"Something went wrong while deleting banner data. Please review the action log and try again.","Несто је погријешило приликом брисања баннер података. Прегледајте дневник акција и покушајте поново."
"We cannot find a banner to delete.","Не можемо пронаћи банер за брисање."
"This banner no longer exists.","Овај банер више не постоји."
"Banners","Банери"
"Edit Banner","Едит Баннер"
"This banner does not exist.","Овај банер не постоји."
"You saved the banner.","Сачували сте баннер."
"We cannot save the banner.","Не можемо спасити банер."
"This campaign no longer exists.","Ова кампања више не постоји."
"The Campaign has been deleted.","Кампања је избрисана."
"Campaign to delete was not found.","Кампања за брисање није пронађена."
"Campaigns","Кампање"
"Please correct the data sent.","Исправите послате податке."
"Something went wrong while saving the Campaign.","Нешто је пошло наопако док сте сачували кампању."
"The Campaign has been saved successfully.","Кампања је успешно сачувана."
"Tier","Ниво"
"Groups","Групе"
"Something went wrong while saving the Group.","Нешто је пошло наопако док сте спасили групу."
"Cannot remove this group","Не могу да уклоним ову групу"
"The Group has been created successfully.","Група је успјешно креирана."
"The Transaction has been canceled.","Трансакција је отказана."
"The Transaction has been completed.","Трансакција је завршена."
"Transactions","Трансакције"
"View Transaction ""%1""","Погледај трансакцију ""%1"""
"This Transaction no longer exists.","Ова трансакција више не постоји."
"A total of %1 record(s) have been canceled.","Укупно %1 запис (а) је отказано."
"A total of %1 record(s) have been completed.","Укупно је записано %1 запис (и)."
"Account balance is not enough to create this transaction.","Стање рачуна није довољно за креирање ове трансакције."
"The Transaction has been created.","Трансакција је створена."
"Something went wrong while saving the Transaction.","Нешто је пошло наопако при чувању Трансакције."
"This withdrawal no longer exists.","Ово повлачење више не постоји."
"Withdraws","Повлачи"
"Edit Withdraw ""%1""","Измени сажетак ""%1"""
"Edit Withdraw ""#%1""","Уреди повлачење ""# %1"""
"A total of %1 record(s) have been approved successfully.","Укупно %1 запис (и) је успешно одобрен."
"A total of %1 record(s) have been cancelled.","Укупно %1 запис (а) је отказано."
"The Withdraw has been saved.","Повлачење је сачувано."
"Something went wrong while saving the Withdraw.","Нешто је пошло наопако док сте спасили Повлачење."
"My Affiliate","Мој Аффилиате"
"My Credit (%1)","Мој кредит (%1)"
"Active","Активно"
"Inactive","Неактиван"
"Need Approved","Неед Аппровед"
"Enabled","Омогућено"
"Disabled","Онемогућено"
"Percent of cart total","Проценат колица укупно"
"Fixed amount discount for whole cart","Фиксни износ попуста за целу корпу"
"Allow Guest","Дозволи гост"
"Affiliate Member Only","Само Аффилиате Мембер"
"-- Please Select --","-- Молимо изаберите --"
"Category page","Страница странице"
"Product page","Страница производа"
"Footer Link","Фоотер Линк"
"Top Link","Топ Линк"
"Affiliate ID","Аффилиате ИД"
"Affiliate Code","Аффилиате код"
"Hash","Хасх"
"Parameter","Параметар"
"Address","Адреса"
"Paypal Email","Емаил Паипал"
"Transaction Id","Ид трансакције"
"Affiliate Campaign","Аффилиате кампања"
"Campaign %1","Кампања %1"
"Affiliate account must be existed.","Аффилиате рачун мора постојати."
"Transaction amount cannot be zero.","Количина трансакције не може бити нула."
"Account balance has been reached the limit. Please contact to store owner.","Стање на рачуну је достигнуто на граници. Молимо контактирајте власника."
"Invalid transaction data for canceling.","Невељавни подаци о трансакцији за поништење."
"Account balance is not enough for canceling.","Стање рачуна није довољно за отказивање."
"Invalid transaction data to complete.","Невељавни подаци о трансакцији за завршетак."
"Maximum amount allowed in account balance is %1.","Максимални дозвољени износ у стању на рачуну је %1."
"Action model is invalid for %1","Модел дејства је неважећи за %1"
"Changed by Admin","Промењено од стране Админ"
"Get commission for order %1","Узмите наруџбу за наручивање %1"
"Taken back commission for refunding order %1","Повраћена комисија за повраћај налога %1"
"Subtract balance for withdraw request","Одбит ће баланс за подизање захтева"
"On Hold","На чекању"
"Completed","Завршено"
"Cancelled","Отказано"
"Commission","Комисија"
"Paid","Плаћено"
"Admin","Админ"
"The amount request is not enough to pay for fee.","Захтев за износ није довољан за плаћање накнаде."
"Cannot create transaction for this withdraw.","Не може се направити трансакција за ово повлачење."
"Invalid withdraw data for canceling.","Неважећи повући податке за поништење."
"Invalid withdraw data for approved.","Неважећи подизање података за одобрење."
"Pending","У току"
"The Account has been saved.","Рачун је сачуван."
"Affiliate Welcome homepage content","Аффилиате Велцоме хомепаге садржај"
"Affiliate referfriend description","Аффилиате реферфриенд опис"
"Affiliate terms & conditions","Услови и услови партнера"
"Delete ""%1""","Избриши ""%1"""
"Are you sure?","Да ли сте сигурни?"
"Type (1st Order)","Тип (1. ред)"
"Value (1st Order)","Вредност (први ред)"
"Type (Next orders)","Тип (Следећа поруџбина)"
"Value (Next orders)","Вредност (следећа поруџбина)"
"Action","поступак"
"Add","Додати"
"Delete","Избриши"
"No","Не"
"Yes","да"
"Link","Линк"
"Preview","Преглед"
"Copy and past this source code into your website or forum.","Копирајте и проширите овај изворни код на вашу веб локацију или форум."
"No banner available","Нема банера"
"Credit Information","Кредитне информације"
"Created Date","Датум креирања"
"No transaction found!","Ниједна трансакција није пронађена!"
"Referral Url and Code","Референтни УРЛ и код"
"Refer Url","Рефер Урл"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Реферале који приступају овом УРЛ-у су повезани као реферали када се пријаве или дају налог."
"Refer Code","Позовите код"
"Referrals should enter the code in Coupon form at shopping cart page.","Реферали треба да унесу код у облику купона на страници за куповину."
"Refer Email","Погледајте е-пошту"
"Referrals can enter your e-mail address when signing up affiliate account.","Реферале могу унети вашу е-маил адресу када пријављујете аффилиате налог."
"Referral Via Social Networks","Упућивање преко друштвених мрежа"
"Send Invitation","Пошаљи позивницу"
"Enter your friends' emails separated by comma","Унесите е-пошту ваших пријатеља раздвојених зарезом"
"Add from Address Book","Додајте из адресара"
"Subject","Предмет"
"Your message","Ваша порука"
"Short Message","Кратка порука"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} ће бити замењен пријатељима на основу е-маил налога. Не треба га уређивати док не знате шта радите."
"Send","Пошаљи"
"Affiliate Subscriptions","Субсцриптион Аффилиате"
"Receive affiliate email.","Примите аффилиате е-пошту."
"Affiliate Information","Аффилиате Информатион"
"Customer email or Affiliate code","Корисничка е-пошта или Аффилиате код"
"Create an Account","Направи налог"
"Request Withdraw","Захтев за повлачење"
"Request Amount","Захтев за износ"
"Select Payment Method","Изаберите метод плаћања"
"Withdraw Policy","Политика повлачења"
"Send Request","Послати захтев"
"Paypal Email Associate","Паипал Емаил сарадник"
"Paypal Email Address","Паипал Емаил адреса"
"Withdraw History","Повући историју"
"Requested Date","Тражи датум"
"Withdraw Method","Метод повлачења"
"View","Поглед"
"Are you sure you want to cancel this withdraw?","Да ли сте сигурни да желите отказати ово повлачење?"
"No withdraw found!","Нема повлачења пронађена!"
"Requested Amount","Тражени износ"
"Net. Amount","Нет. Износ"
"Resolve Date","Одлучите датум"
"Back","Назад"
"%1 for first order.","%1 за прву наруџбу."
"%1 of Order Total for first order.","%1 од наруџбине Укупно за прву наруџбу."
"%1 of Order Profit for first order.","%1 од налога Добит за прву наруџбу."
"%1 for next orders.","%1 за наредне наредбе."
"%1 of Order Total for next orders.","%1 од поруџбине Укупно за наредне поруџбине."
"%1 of Order Profit for next orders.","%1 налога Добит за следеће налоге."
"Discount policy","Дисконтна политика"
"Valid Date","Важи датум"
"Always","Увек"
"from","Од"
"to","до"
"Affiliate account approved","Аффилиате аццоунт одобрен"
"%name,","%nаме,"
"Welcome to our Affiliate program.","Добро дошли у наш Аффилиате програм."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Ваш Аффилиате налог је одобрен и дозволите да почнете са изузетним функцијама програма Аффилиате програм."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Аффилиате је савршен и занимљив Магенто продужетак и чини се да је пословни модел, где имате улогу сарадника. Можете препоручити другим купцима производе производа, а затим направити велику куповину за себе. То су методе зарађивања на интернету иако вам није потребан производ или приватна веб страница."
"Specially, you will receive the typical and wonderful benefits following as:","Специјално, добићете типичне и дивне предности које следи као:"
"Earning commission","Зарачунавање"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Долазећи у Аффилиате, једноставно, изаберете било који производ са веб локације продавца, а затим везујете производ за људе којима је то потребно. Ако присутни купи предмет, добићете проценат по поруџбини."
"Using available template","Коришћење доступног шаблона"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Осим тога, добијате шаблоне попут е-поште, банера, билтена и сл. Путем веб странице продавца. Ови предлошци шаљу позивнице својим циљним купцима, што вас чини лако и савршено изградити мрежу."
"Tracking history activities","Праћење активности историје"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Аффилиате вас подржава да управљате процесом слања позива, имена примаоца, њиховог профита итд. Стога можете сами пратити свој рад детаљно."
"Giving cash when achieving the target","Давање новца када постигнете циљ"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Аффилиате даје интересантне шансе да зарађују новац док вам не требају никакви производи или услуге, оглашавате само производ веб странице продавца доступним методама оглашавања. Док њихови приходи не зараде до понуђених стопа, они ће повући новац са својих рачуна."
"Thank you again, %store_name","Хвала вам поново, %sторе_наме"
"Welcome to our affiliate program","Добродошли у наш аффилиате програм"
"When using our affiliate program, you can use basics features in the following:","Када користите наш аффилиате програм, можете користити основне функције у следећем:"
"Let come to Affiliate program to experience attractive opportunities!","Дозволите да дођете у Аффилиате програм да бисте доживјели атрактивне прилике!"
"Your balance has been updated!","Ваш биланс је ажуриран!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Ми смо ажурирали баланс за вас како бисте могли да имате релевантне информације о вашој провизији или платите. Ова е-пошта вам помаже да активно контролишете своје активности."
"The transaction detail","Детаљи трансакције"
"Transaction title: %title","Назив трансакције: %tiтле"
"Transaction amount: %amount","Трансакцијски износ: %aмоунт"
"Transaction status: %status","Статус трансакције: %sтатус"
"Current balance: %balance","Тренутни салдо: %bаланс"
"Withdraw request complete!","Захтев за повлачење је комплетан!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Обавештавамо вас да је ваш захтев за повлачење, који је креиран у% рекуест_ат, завршен. Добит ћете новац после неколико дана у зависности од начина плаћања који сте изабрали."
"The withdraw detail","Повлачење детаља"
"Withdraw Id: %withdraw_id","Ид изнад:% витхдрав_ид"
"Transfer Amount: %amount","Трансфер износ: %aмоунт"
"Request Amount: %amount","Захтеван износ: %aмоунт"
"Tax/fee: %fee","Порез / надокнада: %fее"
"Payment Method: %payment","Начин плаћања: %pаимент"
"You can check your withdraw by ","Можете проверити повлачење"
"logging into your account","Пријављивање на свој рачун"
"Affiliate","Аффилиате"
"General","Генерал"
"Enable","Омогући"
"Cookie Expiration","Екпиратион оф Цоокие"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","Дан (и). Број дана за админ да чува колачиће овог програма. Подразумевано: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">леарн море</a>"
"Allow overriding cookies","Дозволи превладавање колачића"
"Allow overriding exist affiliate cookie.","Дозволи надмашивање постоји аффилиате цоокие."
"Show Affiliate link on","Покажите Аффилиате линк на"
"Default page","Подразумевана страница"
"Affiliate homepage content","Аффилиате хомепаге садржај"
"Select CMS Static Block.","Изаберите ЦМС статички блок."
"Display Policy Page","Страница са приказом политике"
"Select CMS Page for Policy Page","Изаберите страницу ЦМС за страницу са смерницама"
"Select CMS page","Изаберите ЦМС страницу"
"Affiliate URL","Аффилиате УРЛ"
"URL Style","УРЛ стил"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","На пример: <br />Параметер: хттп://екампле.цом/?<strong>ц=123</strong><br />Хасх: хттп: //екампле.цом<strong>#ц123</strong>"
"Custom parameter","Прилагођени параметар"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Ово ће се користити на УРЛ-у као што су:? <span style=""font-weight:bold;color:red;"">ц</span> = 123 <br />Ор # <span style=""font-weight:bold;color:red;"">ц</span>123"
"Parameter value","Вредност параметра"
"The length of Affiliate code","Дужина партнера код"
"It should be greater than 3, and smaller than 32. Default is 6.","Требало би да буде већи од 3, а мањи од 32. Подразумевано је 6."
"Account Configuration","Конфигурација налога"
"Affiliate Sign up","Пријавите се"
"Default Affiliate Group","Дефаулт Аффилиате Гроуп"
"Require admin's approval","Захтевајте одобрење админ-а"
"Checked ""Email notification"" by default","Провјерено је ""Емаил нотифицатион"" по дефаулту"
"Term and condition","ПРАВИЛА И услови"
"Enable Terms and Conditions","Омогућите услове и одредбе"
"Checkbox Text","Текст за потврду"
"Terms and Conditions Title","Услови пословања"
"Terms and Conditions Content","Услови садржаја"
"Select CMS Block.","Изаберите ЦМС блок."
"Checkbox is checked by default","Цхецкбок се подразумевано проверава"
"Account Balance","Стање на рачуну"
"Maximum of Affiliate Balance","Максимални паралелни биланс"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Максимални салдо Аффилиате-а. Подружница не може добити провизију ако је баланс једнак овој вриједности. Празно или Зеро није ограничење."
"Allow negative balance","Дозволите негативан баланс"
"Commission Configuration","Конфигурација комисије"
"Earn commission from tax","Зарадите провизију од пореза"
"Earn commission from shipping fee","Зарадите провизију од накнаде за доставу"
"Commission calculation process","Процес обрачуна Комисије"
"Allow Affiliate receiving commission when Invoice created","Дозволи провизију примитка за Аффилиате када је креирана фактура"
"Hold commission transactions for","Задржите трансакцијске провизије за"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Провизија за одбитак из стања партнера када се налог врати / откаже"
"Withdraw Configuration","Повлачење конфигурације"
"Allow withdraw request","Дозволи повлачење захтева"
"Payment Methods","Начини плаћања"
"The minimum balance in affiliate account for requesting withdraw","Минимални износ у аффилиате рачуну за тражење повлачења"
"Minimum withdraw amount","Минимални износ повлачења"
"Include Fee","Укључите накнаду"
"Maximum withdraw amount","Максималан износ повлачења"
"Email Configuration","Конфигурација е-поште"
"Email Sender","Емаил Сендер"
"Account Email","Е-пошта налога"
"Send Welcome Email","Пошаљите Велцоме Емаил"
"Welcome Email","Велцоме Емаил"
"Welcome Email After Account Approved","Добродошли путем е-поште након одобрења налога"
"This email will be sent instead of welcome email, after approving account.","Ова е-пошта ће бити послата уместо е-поште добродошлице, након одобравања налога."
"Transaction Email","Е-маил трансакције"
"Send Transaction Email","Пошаљите е-поруку трансакције"
"Update Balance Email","Упдате Баланце Емаил"
"Withdraw Email","Повуците Емаил"
"Send Withdraw Email","Пошаљите Повуци Емаил"
"Withdraw Complete Email","Повуците комплетну е-пошту"
"Refer Friends Configuration","Погледајте Конфигурација пријатеља"
"Enable Refer Friends Feature","Омогући функцију препоручивања пријатеља"
"Refer Sharing Email","Погледајте дељење е-поште"
"Default Refer Url","Дефаулт Урл"
"Select block to show referfriend description","Изаберите блок да бисте приказали опис реферфриенд-а"
"Refer friend homepage content","Позовите садашњег садржаја за пријатеља"
"AddThis.com ID","АддТхис.цом ИД"
"Use Cloudsponge to retrieve email contacts","Користите Цлоудспонге за преузимање контаката е-поште"
"Cloudsponge Key","Цлоудспонге Кеи"
"Sending Email Content","Слање садржаја путем е-поште"
"Default Email Subject","Дефаулт Емаил Субјецт"
"Default Email Body","Дефаулт Емаил тело"
"Default Message Shared via Social","Подразумевана порука дељена путем друштвене мреже"
"ID","ИД"
"Email","Емаил"
"Phone","Телефон"
"ZIP/Post Code","ЗИП / Пост Цоде"
"Country","Земља"
"State/Province","Стате / Провинце"
"Signed-up Point","Потписана тачка"
"Website","Веб сајт"
"Created At","Цреатед Ат"
"Add New Account","Додајте нови налог"
"Delete Accounts","Обришите налоге"
"Are you sure you want to delete selected Accounts?","Да ли сте сигурни да желите избрисати изабране налоге?"
"Total Commission","Укупна комисија"
"Add New Banner","Додај нови банер"
"Delete Banners","Обриши банере"
"Are you sure you want to delete selected banners?","Да ли сте сигурни да желите избрисати изабране банере?"
"URL","УРЛ"
"Campaign","Кампања"
"Created","Креиран"
"Add New Campaign","Додај нову кампању"
"Delete Campaigns","Избришите кампање"
"Are you sure you wan't to delete selected Campaigns?","Да ли сте сигурни да не бисте избрисали изабране кампање?"
"Add New Group","Додај нову групу"
"Delete Groups","Избриши групе"
"Are you sure you want to delete selected groups?","Да ли сте сигурни да желите избрисати изабране групе?"
"Add New Transaction","Додај нову трансакцију"
"Complete Transactions","Комплетна трансакција"
"Are you sure you want to complete selected transactions?","Да ли сте сигурни да желите завршити изабране трансакције?"
"Cancel Transactions","Откажи трансакције"
"Are you sure you want to cancel selected Transactions?","Да ли сте сигурни да желите отказати одабране трансакције?"
"Action Type","Тип акције"
"Amount Used","Количина коришћена"
"Amount Hold","Износ задржи"
"Current Balance","Тренутно стање на рацуну"
"Store","Сторе"
"Holding Date","Датум одржавања"
"Add New Withdraw","Додај нови повлачити"
"Approve","Одобрите"
"Approve Withdraws","Одобрити повлачења"
"Are you sure you want to approve selected Withdraws?","Да ли сте сигурни да желите одобрити изабране позиве?"
"Cancel Withdraws","Откажи Повлачење"
"Are you sure you want to cancel selected Withdraws?","Да ли сте сигурни да желите отказати одабране повластице?"
"Transaction ID","ИД трансакције"
"Transferred","Трансферред"
"Account Dashboard","Контролна табла налога"
"Home","Кућа"
"Signup","Пријави се"
"Refer Friend","Позовите пријатеља"
"Setting","Подешавање"