"Affiliate Banners","Партнерські банери"
"My Credit","Мій кредит"
"Available Balance","Доступний залишок"
"Holding Balance","Холдинг-баланс"
"Total Earned","Всього зароблено"
"Total Paid","Всього сплачено"
"Refer friends","Зверніться до друзів"
"Affiliate Setting","Партнерська настройка"
"Signup Affiliate","Реєстрація партнера"
"My Withdrawal","Мій зняття"
"You can request withdraw when your balance equal or greater than %1","Ви можете подати запит на вилучення, якщо ваш баланс рівний або більше %1"
"You can withdraw a minimum %1","Ви можете зняти мінімум %1"
"You can withdraw a maximum %1","Ви можете зняти максимум %1"
"Save Account","Зберегти рахунок"
"Cancel","Скасувати"
"New Account","Новий акаунт"
"Please select a customer","Виберіть клієнта"
"Account Information","Інформація про обліковий запис"
"Customer","Клієнт"
"Affiliate Group","Партнерська група"
"Referred By","Віднесено"
"Affiliate account Id","Ідентифікатор афілійованого акаунта"
"Status","Статус"
"Email Notification","Повідомлення електронною поштою"
"Account","Рахунок"
"Save and Continue Edit","Зберегти та продовжити редагування"
"Edit Account '%1'","Редагувати обліковий запис ""%1"""
"Balance","Баланс"
"Referral Code","Промо-Код"
"Save Banner","Зберегти банер"
"Edit Banner ""%1""","Редагувати банер ""%1"""
"New Banner","Новий банер"
"Banner Information","Інформація про банер"
"Title","Назва"
"Content","Вміст"
"Url","Url"
"If empty, home page will be used.","Якщо порожній, буде використана домашня сторінка."
"Related Campaign","Пов'язана кампанія"
"Only affiliates who are in above campaign can see this banner.","Такі банери можуть бачити лише філії, які перебувають у вищевказаній кампанії."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Покладіть атрибут rel = ""nofollow"" на посилання."
"Save Campaign","Зберегти кампанію"
"Edit Campaign ""%1""","Редагувати кампанію ""%1"""
"New Campaign","Нова Кампанія"
"Campaign Information","Інформація про кампанію"
"Name","Ім'я"
"Description","Опис"
"Website IDs","Ідентифікатори веб-сайту"
"Affiliate Groups","Партнерські групи"
"Display","Дисплей"
"Active From Date","Активний з дати"
"Active To Date","Активний на дату"
"Sort Order","Порядок сортування"
"Pay Per Sale","Платити за продаж"
"Add Commission Type and Value","Додайте тип та вартість комісії"
"Commissions","Комісії"
"Percentage of grand total","Відсоток загальної кількості"
"Fixed amount","Фіксована сума"
"Apply the rule only if the following conditions are met (leave blank for all products)","Застосовуйте правило лише в тому випадку, якщо виконуються наступні умови (залиште порожнім для всіх продуктів)."
"Condition","Стан"
"Conditions","Умови"
"Discounts","Знижки"
"Discount","Знижка"
"Apply","Застосувати"
"Discount Amount","Сума дисконту"
"Apply to Shipping Amount","Заявка на суму доставки"
"Discount Description","Опис знижок"
"Save Group","Зберегти групу"
"New Group","Нова група"
"Group Information","Інформація про групу"
"Group","Група"
"label","Етикетка"
"Reset banner traffic","Скидання банерного трафіку"
"Save Transaction","Зберегти транзакцію"
"New Transaction","Нова транзакція"
"Please select an affiliate account","Будь ласка, виберіть партнерський рахунок"
"Transaction Information","Інформація про транзакцію"
"Amount","Сума"
"Add or subtract affiliate's balance. E.g: 99 or -99","Додайте або відніміть баланс партнера. Наприклад: 99 або -99"
"Holding Transaction For","Проведення транзакції для"
"Transaction","Транзакція"
"Are you sure you want to cancel this transaction?","Ви впевнені, що хочете скасувати цю транзакцію?"
"Are you sure you want to complete this transaction?","Ви впевнені, що хочете завершити цю транзакцію?"
"Complete","Завершити"
"View Transaction '%1'","Переглянути транзакцію '%1'"
"Affiliate Account","Партнерський рахунок"
"Type","Тип"
"Order","Замовлення"
"Created by","Створений"
"This transaction will be holed to","Ця трансакція буде зафіксована"
"Created Time","Створено час"
"Save and Approve","Зберегти та затвердити"
"Save","Зберегти"
"New Withdraw","Новий витяг"
"Withdraw Information","Вилучити інформацію"
"Include fee.","Включити плату."
"Fee","Комісія"
"If empty, configuration value will be used.","Якщо порожнє, буде використано значення конфігурації."
"Payment Method","Спосіб оплати"
"Payment Detail","Деталі оплати"
"Withdraw","Вилучити"
"Edit Withdraw '%1'","Редагувати Зняти ""%1"""
"Transfer Amount","Сума переказу"
"Real amount will be transfer to affiliate.","Реальна сума буде перерахована на афілійований."
"Affiliate Discount","Партнерська знижка"
"Please input your friends email address.","Будь ласка, введіть адресу електронної пошти друзів."
"Saved successfully!","Збережено успішно!"
"Something went wrong while saving the Account.","Під час збереження облікового запису сталося помилку."
"Your account is not active. Please contact us.","Ваш обліковий запис не активний. Будь ласка, зв'яжіться з нами."
"You have to agree with term and conditions.","Ви повинні погодитися з терміном та умовами."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Вітаю! Ви успішно зареєструвалися. Ми перевіримо ваш афілійований рахунок і повідомимо вас, коли воно буде затверджено!"
"Congratulations! You have successfully registered.","Вітаю! Ви успішно зареєструвалися."
"The withdraw has been canceled successfully.","Зняття було успішно скасовано."
"Something went wrong while saving the request.","Під час збереження запиту сталася помилка."
"Cannot find item.","Не вдається знайти товар."
"An error occur. Please contact us.","Виникла помилка. Будь ласка, зв'яжіться з нами."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Ваш запит надіслано успішно. Ми розглянемо ваш запит і повідомимо вас, як тільки буде схвалено!"
"Your balance is not enough for request withdraw.","Ваш баланс недостатньо для відкликання запиту."
"The withdraw amount have to equal or greater than %1","Сума вилучення повинна бути рівною або більшою, ніж %1"
"The withdraw amount have to equal or less than %1","Сума вилучення має бути рівною або меншою, ніж %1"
"This account no longer exists.","Цей обліковий запис більше не існує."
"The Account has been deleted.","Обліковий запис видалено."
"Account to delete was not found.","Обліковий запис для видалення не знайдено."
"Accounts","Рахунки"
"Edit Account ""%1""","Редагувати обліковий запис ""%1"""
"A total of %1 record(s) have been deleted.","Всього %1 запит було видалено."
"The customer ""%1"" has registed as an affiliate already.","Клієнт ""%1"" вже зареєстрований як філія."
"Cannot find account referred.","Не вдалося знайти обліковий запис."
"The Account has been created successfully.","Обліковий запис створено успішно."
"The Account has been saved successfully.","Обліковий запис успішно збережено."
"The Banner has been deleted.","Банер видалено."
"Something went wrong while deleting banner data. Please review the action log and try again.","Під час видалення даних банера виникла помилка. Будь ласка, перегляньте журнал дій і повторіть спробу."
"We cannot find a banner to delete.","Ми не можемо знайти банер, який потрібно видалити."
"This banner no longer exists.","Цей банер більше не існує."
"Banners","Банери"
"Edit Banner","Редагувати банер"
"This banner does not exist.","Цей банер не існує."
"You saved the banner.","Ви зберегли прапор."
"We cannot save the banner.","Ми не можемо зберегти банер."
"This campaign no longer exists.","Ця кампанія більше не існує."
"The Campaign has been deleted.","Кампанія була знищена."
"Campaign to delete was not found.","Кампанія для видалення не знайдена."
"Campaigns","Кампанії"
"Please correct the data sent.","Будь ласка, виправте дані, надіслані."
"Something went wrong while saving the Campaign.","Під час збереження кампанії сталася помилка."
"The Campaign has been saved successfully.","Кампанія успішно збережена."
"Tier","Рівень"
"Groups","Групи"
"Something went wrong while saving the Group.","Під час збереження групи сталася помилка."
"Cannot remove this group","Не вдається видалити цю групу"
"The Group has been created successfully.","Група була успішно створено."
"The Transaction has been canceled.","Транзакція скасована."
"The Transaction has been completed.","Транзакція завершена."
"Transactions","Операції"
"View Transaction ""%1""","Переглянути транзакцію ""%1"""
"This Transaction no longer exists.","Ця транзакція більше не існує."
"A total of %1 record(s) have been canceled.","Всього %1 запис була скасована."
"A total of %1 record(s) have been completed.","Усього зареєстровано %1 записів."
"Account balance is not enough to create this transaction.","Сальдо рахунку недостатньо для створення цієї транзакції."
"The Transaction has been created.","Транзакція була створена."
"Something went wrong while saving the Transaction.","Під час збереження транзакції сталося помилка."
"This withdrawal no longer exists.","Цей висновок більше не існує."
"Withdraws","Знімає"
"Edit Withdraw ""%1""","Редагувати Зняти ""%1"""
"Edit Withdraw ""#%1""","Редагувати вилучення ""# %1"""
"A total of %1 record(s) have been approved successfully.","Всього %1 запис успішно затверджено."
"A total of %1 record(s) have been cancelled.","Всього %1 запис була скасована."
"The Withdraw has been saved.","Вилучення було збережено."
"Something went wrong while saving the Withdraw.","Щось не вдалось, коли зберігати вилучення."
"My Affiliate","Мій партнер"
"My Credit (%1)","Мій кредит (%1)"
"Active","Активний"
"Inactive","Неактивний"
"Need Approved","Необхідно схвалити"
"Enabled","Увімкнено"
"Disabled","Вимкнено"
"Percent of cart total","Відсоток кошика всього"
"Fixed amount discount for whole cart","Фіксована сума знижки на весь кошик"
"Allow Guest","Дозволити Гість"
"Affiliate Member Only","Партнерська особа тільки"
"-- Please Select --","-- Виберіть будь ласка --"
"Category page","Категорія категорії"
"Product page","Сторінка продукту"
"Footer Link","Посилання на нижній колонтитул"
"Top Link","Найпопулярніше посилання"
"Affiliate ID","Партнерський ідентифікатор"
"Affiliate Code","Партнерський кодекс"
"Hash","Хаш"
"Parameter","Параметр"
"Address","Адреса"
"Paypal Email","Paypal електронною поштою"
"Transaction Id","ID транзакції"
"Affiliate Campaign","Партнерська кампанія"
"Campaign %1","Кампанія %1"
"Affiliate account must be existed.","Партнерський рахунок повинен існувати."
"Transaction amount cannot be zero.","Сума транзакції не може бути нулем."
"Account balance has been reached the limit. Please contact to store owner.","Баланс рахунку досягнуто ліміту. Будь ласка, зв'яжіться з власником магазину."
"Invalid transaction data for canceling.","Недійсні дані транзакцій для скасування."
"Account balance is not enough for canceling.","На рахунку недостатньо для скасування."
"Invalid transaction data to complete.","Недійсні дані транзакції для завершення."
"Maximum amount allowed in account balance is %1.","Максимальна сума, що дозволена на залишок коштів на рахунку, - %1."
"Action model is invalid for %1","Модель дій недійсна для %1"
"Changed by Admin","Змінено Адміністратором"
"Get commission for order %1","Отримайте комісію за замовленням %1"
"Taken back commission for refunding order %1","Знята комісія за відшкодування замовлення %1"
"Subtract balance for withdraw request","Відніміть баланс для запиту на вилучення"
"On Hold","На утриманні"
"Completed","Завершено"
"Cancelled","Скасовано"
"Commission","Комісія"
"Paid","Оплачений"
"Admin","Адміністратор"
"The amount request is not enough to pay for fee.","Запит на суму недостатній, щоб сплачувати комісію."
"Cannot create transaction for this withdraw.","Неможливо створити транзакцію для цього зняття."
"Invalid withdraw data for canceling.","Недійсне зняття даних для скасування."
"Invalid withdraw data for approved.","Недійсні дані щодо зняття даних для схваленої."
"Pending","Очікує на розгляд"
"The Account has been saved.","Обліковий запис збережено."
"Affiliate Welcome homepage content","Партнерська підтримка вмісту веб-сторінки привітання"
"Affiliate referfriend description","Партнерська референтна інформація"
"Affiliate terms & conditions","Партнерські умови та положення"
"Delete ""%1""","Видалити ""%1"""
"Are you sure?","Ти впевнений?"
"Type (1st Order)","Тип (1-й порядок)"
"Value (1st Order)","Значення (1-й порядок)"
"Type (Next orders)","Тип (наступні замовлення)"
"Value (Next orders)","Значення (наступні замовлення)"
"Action","Дія"
"Add","Додати"
"Delete","Видалити"
"No","Немає"
"Yes","Так"
"Link","Посилання"
"Preview","Попередній перегляд"
"Copy and past this source code into your website or forum.","Скопіюйте і залиште цей вихідний код на свій веб-сайт або форум."
"No banner available","Немає банера"
"Credit Information","Кредитна інформація"
"Created Date","Створена дата"
"No transaction found!","Транзакції не знайдено!"
"Referral Url and Code","URL-адреса переходу та код"
"Refer Url","Зверніться до Url"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Реферали, які мають доступ до цієї URL-адреси, підключаються як реферали після реєстрації або розміщення замовлення."
"Refer Code","Див. Кодекс"
"Referrals should enter the code in Coupon form at shopping cart page.","Рефестрація повинна вводити код у формі купонів на сторінці кошика для покупок."
"Refer Email","Переслати електронну пошту"
"Referrals can enter your e-mail address when signing up affiliate account.","Реферали можуть вводити вашу адресу електронної пошти під час реєстрації афілійованого акаунта."
"Referral Via Social Networks","Реферал через соціальні мережі"
"Send Invitation","Надіслати запрошення"
"Enter your friends' emails separated by comma","Введіть електронні листи друзів, розділені комою"
"Add from Address Book","Додати з адресної книги"
"Subject","Тема"
"Your message","Ваше повідомлення"
"Short Message","Коротке повідомлення"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} буде замінено на ім'я вашого друга на основі облікового запису електронної пошти. Ви не повинні редагувати його, поки не знаєте, що ви робите."
"Send","Відправити"
"Affiliate Subscriptions","Партнерські підписки"
"Receive affiliate email.","Отримати афілійований електронний лист."
"Affiliate Information","Партнерська інформація"
"Customer email or Affiliate code","Електронна пошта клієнта або Код партнера"
"Create an Account","Створити аккаунт"
"Request Withdraw","Запит на вилучення"
"Request Amount","Сума заявки"
"Select Payment Method","Виберіть метод оплати"
"Withdraw Policy","Вилучити політику"
"Send Request","Відправляти запит"
"Paypal Email Associate","Paypal Асоційований по електронній пошті"
"Paypal Email Address","Електронна адреса Paypal"
"Withdraw History","Вилучити історію"
"Requested Date","Запитувана дата"
"Withdraw Method","Спосіб вилучення"
"View","Вид"
"Are you sure you want to cancel this withdraw?","Ви впевнені, що хочете скасувати це відкликання?"
"No withdraw found!","Не знайдено!"
"Requested Amount","Запитана сума"
"Net. Amount","Мережа Сума"
"Resolve Date","Дата вирішення"
"Back","Назад"
"%1 for first order.","%1 для першого замовлення."
"%1 of Order Total for first order.","%1 загальної кількості замовлень для першого замовлення."
"%1 of Order Profit for first order.","%1 замовлення прибутку для першого замовлення."
"%1 for next orders.","%1 для наступних замовлень."
"%1 of Order Total for next orders.","%1 із загальної кількості замовлень для наступних замовлень."
"%1 of Order Profit for next orders.","%1 замовлення прибутку для наступних замовлень."
"Discount policy","Дисконтна політика"
"Valid Date","Дійсна дата"
"Always","Завжди"
"from","Від"
"to","До"
"Affiliate account approved","Афілійований рахунок підтверджено"
"%name,","%nзведемо"
"Welcome to our Affiliate program.","Ласкаво просимо до нашої Партнерської програми."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Ваш афілійований обліковий запис схвалено та дозвольте почати з видатних функцій Партнерської програми."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Партнерська компанія є ідеальним та цікавим розширенням Magento і, здавалося б, є бізнес-моделлю, де ви маєте роль як співавторів. Ви можете порекомендувати іншим клієнтам продукти продавця, а потім зробити покупки для себе великими. Це заробляє в Інтернеті, хоча вам не потрібен жодний продукт чи приватний веб-сайт."
"Specially, you will receive the typical and wonderful benefits following as:","Спеціально ви отримаєте типові та чудові переваги наступні:"
"Earning commission","Комісія заробітку"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Прийшовши до Партнерської компанії, ви просто виберете будь-який продукт із веб-сайту продавця, а також насичений зв'язок продукту з людьми, які потребують цього. Якщо продавець придбає товар, ви отримаєте відсоток за замовлення."
"Using available template","Використання доступного шаблону"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Крім того, на веб-сайті продавця ви отримуєте такі шаблони, як електронна пошта, банер, інформаційні бюлетені тощо. Ви будете надсилати запрошення вашим цільовим клієнтам за допомогою цих шаблонів, що спрощує побудову мережі."
"Tracking history activities","Відстеження історії діяльності"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Партнерська програма підтримує вас, щоб керувати процесом надсилання запрошення, ім'я одержувача, їх прибуток тощо. Тому ви можете самостійно стежити за своєю роботою."
"Giving cash when achieving the target","Надання готівки при досягненні мети"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Партнерська компанія надає цікаві шанси заробляти гроші, поки вам не потрібні жодні товари чи послуги, рекламуйте продукт веб-сайту продавця лише за наявними методами реклами. До того моменту, коли вони отримають дохід, вони досягнуть запропонованих ставок, вони знімуть гроші з своїх рахунків."
"Thank you again, %store_name","Дякую ще раз, %sповертає ім'я"
"Welcome to our affiliate program","Ласкаво просимо до нашої партнерської програми"
"When using our affiliate program, you can use basics features in the following:","Використовуючи нашу партнерську програму, ви можете використовувати основні функції:"
"Let come to Affiliate program to experience attractive opportunities!","Дозвольте прийти до Партнерської програми, щоб випробувати привабливі можливості!"
"Your balance has been updated!","Ваш баланс оновлено!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Ми оновили баланс для вас, щоб ви могли мати відповідну інформацію про вашу комісію або плату. Цей електронний лист допомагає активно керувати вашою діяльністю."
"The transaction detail","Деталі транзакції"
"Transaction title: %title","Назва транзакції: %title"
"Transaction amount: %amount","Сума транзакції: %aм"
"Transaction status: %status","Статус транзакції: %status"
"Current balance: %balance","Поточний баланс: %bналаштування"
"Withdraw request complete!","Запит на вилучення завершено!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Ми хотіли б повідомити вас, що ваш запит на відкликання, який був створений у% request_at, був завершений. Ви будете отримувати гроші через кілька днів залежно від обраного вами способу оплати."
"The withdraw detail","Зняти детальну інформацію"
"Withdraw Id: %withdraw_id","Вилучити ідентифікатор:% withdraw_id"
"Transfer Amount: %amount","Сума переказу: %aм"
"Request Amount: %amount","Сума запиту: %aм"
"Tax/fee: %fee","Податковий / комісійний: %fee"
"Payment Method: %payment","Спосіб оплати: %pзаплата"
"You can check your withdraw by ","Ви можете перевірити свою відмову"
"logging into your account","Вхід у свій акаунт"
"Affiliate","Партнерська компанія"
"General","Генерал"
"Enable","Увімкнути"
"Cookie Expiration","Термін дії файлу cookie"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","День (д) Кількість днів для адміністратора для зберігання файлів cookie цієї програми. За умовчанням: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">докладніше</a>"
"Allow overriding cookies","Дозволити переважаючі файли cookie"
"Allow overriding exist affiliate cookie.","Дозволити переоцінювати наявність афілійованих файлів cookie."
"Show Affiliate link on","Показати партнерську посилання на"
"Default page","Сторінка за замовчуванням"
"Affiliate homepage content","Вміст домашньої сторінки партнера"
"Select CMS Static Block.","Виберіть CMS Static Block."
"Display Policy Page","Сторінка ""Показувати політику"""
"Select CMS Page for Policy Page","Виберіть сторінку CMS для сторінки політики"
"Select CMS page","Виберіть сторінку CMS"
"Affiliate URL","Партнерська URL-адреса"
"URL Style","Стиль URL"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Наприклад: <br />Параметр: http://example.com/?<strong>c=123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","Спеціальний параметр"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Це буде використано в URL-адресах, таких як:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Значення параметра"
"The length of Affiliate code","Довжина коду партнера"
"It should be greater than 3, and smaller than 32. Default is 6.","Він має бути більше 3, а менше 32. За замовчуванням 6."
"Account Configuration","Конфігурація профілю"
"Affiliate Sign up","Реєстрація партнерів"
"Default Affiliate Group","Партнерська група за умовчанням"
"Require admin's approval","Потрібне підтвердження адміністратора"
"Checked ""Email notification"" by default","За умовчанням встановлено ""Повідомлення електронною поштою"""
"Term and condition","Термін та умови"
"Enable Terms and Conditions","Увімкнути Загальні положення та умови"
"Checkbox Text","Текстове поле для прапорця"
"Terms and Conditions Title","Загальні положення та умови Назва"
"Terms and Conditions Content","Загальні положення та умови Зміст"
"Select CMS Block.","Виберіть CMS Block."
"Checkbox is checked by default","Поле позначено як прапорець"
"Account Balance","Баланс"
"Maximum of Affiliate Balance","Максимальний розмір Партнерського балансу"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Максимальний баланс партнера. Партнерська компанія не може отримати комісію, якщо баланс дорівнює такому значенню. Пустий або нульовий - це не обмеження."
"Allow negative balance","Дозволити від'ємний баланс"
"Commission Configuration","Конфігурація комісії"
"Earn commission from tax","Заробіть комісію з податку"
"Earn commission from shipping fee","Заробити комісію з вартості доставки"
"Commission calculation process","Процес розрахунку комісії"
"Allow Affiliate receiving commission when Invoice created","Дозволити Приймальну комісію отримувати рахунок, коли створюється рахунок"
"Hold commission transactions for","Провести комісійні операції для"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Вираховуйте комісію з балансу Афілійованого, коли замовлення повертається / скасовується"
"Withdraw Configuration","Зняття конфігурації"
"Allow withdraw request","Дозволити запит на вилучення"
"Payment Methods","методи оплати"
"The minimum balance in affiliate account for requesting withdraw","Мінімальний залишок на афілійованому рахунку для запиту на відкликання"
"Minimum withdraw amount","Мінімальна сума вилучення"
"Include Fee","Включити плату"
"Maximum withdraw amount","Максимальна сума вилучення"
"Email Configuration","Конфігурація електронної пошти"
"Email Sender","Відправник електронної пошти"
"Account Email","Електронна пошта рахунку"
"Send Welcome Email","Надіслати вітальний лист"
"Welcome Email","Вітаємо електронною поштою"
"Welcome Email After Account Approved","Вітаємо електронною поштою після схвалення облікового запису"
"This email will be sent instead of welcome email, after approving account.","Після затвердження облікового запису цей електронний лист буде надіслано замість вітального електронного листа."
"Transaction Email","Електронна пошта транзакції"
"Send Transaction Email","Надіслати транзакцію електронною поштою"
"Update Balance Email","Оновити баланс електронної пошти"
"Withdraw Email","Вилучити електронну пошту"
"Send Withdraw Email","Надіслати відкликати електронну пошту"
"Withdraw Complete Email","Зняти повне повідомлення електронної пошти"
"Refer Friends Configuration","Див. Конфігурацію друзів"
"Enable Refer Friends Feature","Увімкнути функцію ""Відправити друзів"""
"Refer Sharing Email","Перегляньте спільний доступ до електронної пошти"
"Default Refer Url","За замовчуванням подивитися URL-адресу"
"Select block to show referfriend description","Виберіть блок, щоб відобразити опис відправника"
"Refer friend homepage content","Зверніться до змісту домашньої сторінки друга"
"AddThis.com ID","Ідентифікатор AddThis.com"
"Use Cloudsponge to retrieve email contacts","Використовуйте Cloudsponge для отримання адрес електронної пошти"
"Cloudsponge Key","Хмарний ключ"
"Sending Email Content","Надсилання вмісту електронної пошти"
"Default Email Subject","Тема електронної пошти за умовчанням"
"Default Email Body","Поштовий Email Body"
"Default Message Shared via Social","Повідомлення за умовчанням надіслано через соціальні повідомлення"
"ID","Ідентифікатор"
"Email","Електронна пошта"
"Phone","Телефон"
"ZIP/Post Code","Поштовий індекс"
"Country","Країна"
"State/Province","Штат / провінція"
"Signed-up Point","Підписаний пункт"
"Website","Веб-сайт"
"Created At","Створено в"
"Add New Account","Додати новий акаунт"
"Delete Accounts","Видалити облікові записи"
"Are you sure you want to delete selected Accounts?","Ви впевнені, що хочете видалити вибрані облікові записи?"
"Total Commission","Загальна комісія"
"Add New Banner","Додати новий банер"
"Delete Banners","Видалити банери"
"Are you sure you want to delete selected banners?","Ви впевнені, що хочете видалити вибрані банери?"
"URL","URL-адреса"
"Campaign","Кампанія"
"Created","Створено"
"Add New Campaign","Додати нову кампанію"
"Delete Campaigns","Видалити кампанії"
"Are you sure you wan't to delete selected Campaigns?","Ви впевнені, що Ви не можете видалити вибрані Кампанії?"
"Add New Group","Додати нову групу"
"Delete Groups","Видалити групи"
"Are you sure you want to delete selected groups?","Ви впевнені, що хочете видалити вибрані групи?"
"Add New Transaction","Додати нову транзакцію"
"Complete Transactions","Повні транзакції"
"Are you sure you want to complete selected transactions?","Ви впевнені, що хочете виконати вибрані транзакції?"
"Cancel Transactions","Скасування транзакцій"
"Are you sure you want to cancel selected Transactions?","Ви впевнені, що хочете скасувати вибрані транзакції?"
"Action Type","Тип дії"
"Amount Used","Використана сума"
"Amount Hold","Тримайте суму"
"Current Balance","Поточний баланс"
"Store","Магазин"
"Holding Date","Дата проведення"
"Add New Withdraw","Додати новий вилучення"
"Approve","Затвердити"
"Approve Withdraws","Затвердити вилучення"
"Are you sure you want to approve selected Withdraws?","Ви впевнені, що хочете схвалити вибрані відкликання?"
"Cancel Withdraws","Скасувати відкликання"
"Are you sure you want to cancel selected Withdraws?","Ви впевнені, що хочете скасувати вибрані відкликання?"
"Transaction ID","ID транзакції"
"Transferred","Передається"
"Account Dashboard","Панель облікових записів"
"Home","Будинок"
"Signup","Реєстрація"
"Refer Friend","Відправте Друзі"
"Setting","Налаштування"